task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250922_134900,BUY,2025-09-22 13:49:00+00:00,2025-09-22 13:50:00+00:00,2025-09-24 00:00:00+00:00,45566.01,45458.49,45933.49,45458.49,SL,10.0,-78.74580871811297,-5.9071890749869205,-0.0,72.69039651151276,-1.0833041570441997,49921.254191281885,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250925_140100,BUY,2025-09-25 14:01:00+00:00,2025-09-25 14:02:00+00:00,2025-09-26 09:01:00+00:00,45461.01,45251.01,46238.41,45251.01,SL,10.0,-143.11310225676127,-2.90933945482249,-0.0,141.0569870227572,-1.0145764862655995,49778.14108902512,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250926_134800,BUY,2025-09-26 13:48:00+00:00,2025-09-26 13:50:00+00:00,2025-09-26 14:07:00+00:00,45450.99,45333.49,45871.09,45333.49,SL,10.0,-78.44734347251337,0.0,-0.0,78.44734347251337,-1.0,49699.693745552606,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600,BUY,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-09-30 14:09:00+00:00,44679.99,44574.99,44974.99,44574.99,SL,10.0,-70.66757300633316,0.0,-0.0,70.66757300633316,-1.0,49629.02617254627,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251001_142000,BUY,2025-10-01 14:20:00+00:00,2025-10-01 14:22:00+00:00,2025-10-03 00:35:00+00:00,44805.01,44632.49,45369.99,45369.99,TP,10.0,377.9041153963958,-5.830398839637095,-0.0,116.66136961476056,3.239325208029973,50006.93028794267,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251003_134800,BUY,2025-10-03 13:48:00+00:00,2025-10-03 13:50:00+00:00,2025-10-03 17:51:00+00:00,46065.01,45917.49,46617.59,45917.49,SL,10.0,-100.19560965007885,0.0,-0.0,100.19560965007885,-1.0,49906.73467829259,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251006_144900,BUY,2025-10-06 14:49:00+00:00,2025-10-06 14:50:00+00:00,2025-10-06 23:55:00+00:00,48535.51,48380.51,49117.91,48380.51,SL,10.0,-106.1970252648556,-3.0857249315732713,-0.0,105.19743182527723,-1.0095020707467326,49800.537653027735,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251007_134700,BUY,2025-10-07 13:47:00+00:00,2025-10-07 13:48:00+00:00,2025-10-07 14:02:00+00:00,48185.51,48100.51,48450.51,48100.51,SL,10.0,-56.54490663438063,0.0,-0.0,56.54490663438063,-1.0,49743.992746393356,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251008_140000,BUY,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-09 00:23:00+00:00,48024.99,47892.51,48342.41,48342.41,TP,10.0,204.9054210862675,-3.0125174200178457,-0.0,87.22618365693927,2.349127435084869,49948.89816747962,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251013_135000,BUY,2025-10-13 13:50:00+00:00,2025-10-13 13:52:00+00:00,2025-10-14 00:01:00+00:00,46749.01,46574.01,47486.51,47486.51,TP,10.0,481.43631402958755,-2.945253856078651,-0.0,115.75834948437924,4.158977008345769,50430.33448150921,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251014_140100,BUY,2025-10-14 14:01:00+00:00,2025-10-14 14:02:00+00:00,2025-10-15 05:01:00+00:00,46783.99,46526.49,47751.59,47751.59,TP,10.0,634.3632589635943,-2.9536342812145056,-0.0,169.1230559058428,3.7508975672528546,51064.69774047281,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251015_140300,BUY,2025-10-15 14:03:00+00:00,2025-10-15 14:04:00+00:00,2025-10-15 15:35:00+00:00,48153.51,47993.49,48743.59,47993.49,SL,10.0,-105.39835599115031,0.0,-0.0,105.39835599115031,-1.0,50959.29938448166,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251017_135300,BUY,2025-10-17 13:53:00+00:00,2025-10-17 13:54:00+00:00,2025-10-17 15:25:00+00:00,48100.49,47850.49,49050.59,47850.49,SL,10.0,-166.20903778263846,0.0,-0.0,166.20903778263846,-1.0,50793.09034669902,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251020_134500,BUY,2025-10-20 13:45:00+00:00,2025-10-20 13:46:00+00:00,2025-10-21 04:55:00+00:00,49585.49,49438.01,50125.51,49438.01,SL,10.0,-100.98758873607534,-3.1444111548240095,-0.0,97.94259453571965,-1.0310895807364504,50692.102757962944,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251021_142200,BUY,2025-10-21 14:22:00+00:00,2025-10-21 14:24:00+00:00,2025-10-21 23:46:00+00:00,49415.49,49255.51,50230.41,49255.51,SL,10.0,-108.41014168461956,-3.103331431722669,-0.0,106.1360967551439,-1.0214257448596578,50583.69261627833,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251022_135100,BUY,2025-10-22 13:51:00+00:00,2025-10-22 13:52:00+00:00,2025-10-22 14:26:00+00:00,49105.49,48932.99,49745.59,48932.99,SL,10.0,-113.54809831619689,0.0,-0.0,113.54809831619689,-1.0,50470.14451796213,False,False
