task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500,BUY,2025-09-19 16:25:00+00:00,2025-09-19 16:30:00+00:00,2025-09-24 15:48:00+00:00,24572.12,24491.65,24890.6,24491.65,SL,0.15,-316.6485528833259,-75.23855288333333,-0.0,241.40999999999258,-1.3116629505129682,49683.35144711667,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250925_141500,BUY,2025-09-25 14:15:00+00:00,2025-09-25 14:20:00+00:00,2025-10-08 19:18:00+00:00,24370.34,24187.03,25100.18,25100.18,TP,0.06,797.3909880833335,-78.41701191666667,-0.0,219.97200000000157,3.624965850577927,50480.7424352,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000,BUY,2025-10-09 22:40:00+00:00,2025-10-09 22:46:00+00:00,2025-10-10 14:58:00+00:00,25134.149999999998,25053.35,25455.25,25053.35,SL,0.15,-242.39999999999782,0.0,-0.0,242.39999999999782,-1.0,50238.3424352,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000,BUY,2025-10-13 14:00:00+00:00,2025-10-13 14:06:00+00:00,2025-10-14 05:39:00+00:00,24732.93,24549.02,25448.07,24549.02,SL,0.06,-226.73289244666648,-6.040892446666667,-0.0,220.6919999999998,-1.0273725030661134,50011.60954275334,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000,BUY,2025-10-14 14:20:00+00:00,2025-10-14 14:26:00+00:00,2025-10-17 08:20:00+00:00,24526.05,24247.13,25596.23,24247.13,SL,0.04,-235.18358148444304,-12.047581484444445,-0.0,223.1359999999986,-1.0539921011600302,49776.42596126889,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251017_141000,BUY,2025-10-17 14:10:00+00:00,2025-10-17 14:16:00+00:00,2025-10-17 15:36:00+00:00,24790.76,24506.4,25798.15,24506.4,SL,0.04,-227.48799999999756,0.0,-0.0,227.48799999999756,-1.0,49548.93796126889,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251020_140500,BUY,2025-10-20 14:05:00+00:00,2025-10-20 14:10:00+00:00,2025-10-22 14:30:00+00:00,25085.45,24950.83,25619.93,24950.83,SL,0.09,-260.73448681999815,-18.41848682,-0.0,242.31599999999816,-1.0760101966853206,49288.20347444889,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251023_143500,BUY,2025-10-23 14:35:00+00:00,2025-10-23 14:40:00+00:00,2025-10-27 17:42:00+00:00,25033.5,24846.13,25777.73,25777.73,TP,0.06,868.3491245999994,-24.726875399999997,-0.0,224.84399999999877,3.8620071009233254,50156.55259904889,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251028_163000,BUY,2025-10-28 16:30:00+00:00,2025-10-28 16:36:00+00:00,2025-10-30 13:35:00+00:00,25958.96,25885.7,26278.35,25885.7,SL,0.15,-251.60714098332852,-31.827140983333337,-0.0,219.7799999999952,-1.144813636287806,49904.94545806556,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251030_220000,BUY,2025-10-30 22:00:00+00:00,2025-10-30 22:06:00+00:00,2025-10-31 16:58:00+00:00,26014.75,25801.88,26880.48,25801.88,SL,0.05,-212.86999999999898,0.0,-0.0,212.86999999999898,-1.0,49692.07545806556,False,False
