task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250919_164800,BUY,2025-09-19 16:48:00+00:00,2025-09-19 16:50:00+00:00,2025-09-22 07:22:00+00:00,6652.28,6638.13,6714.98,6638.13,SL,0.32,-291.4809198666608,-65.08091986666666,-0.0,226.39999999999418,-1.287459893404012,49708.51908013334,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250919_164800_sar,SELL,2025-09-22 07:22:00+00:00,2025-09-22 07:22:00+00:00,2025-09-22 08:19:00+00:00,6638.13,6652.28,6631.055,6652.28,SL,0.32,-226.39999999999418,0.0,-0.0,226.39999999999418,-1.0,49482.11908013334,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250922_143500,BUY,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-23 17:41:00+00:00,6668.42,6646.63,6753.08,6646.63,SL,0.23,-266.25314580277734,-15.668145802777778,-0.0,250.58499999999958,-1.0625262717352506,49215.86593433056,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250922_143500_sar,SELL,2025-09-23 17:41:00+00:00,2025-09-23 17:41:00+00:00,2025-09-24 06:15:00+00:00,6646.63,6668.42,6635.735000000001,6668.93,SL,0.23,-259.27933282916877,-2.829332829166667,-0.0,250.58499999999958,-1.0346961423435928,48956.586601501396,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250925_154300,BUY,2025-09-25 15:43:00+00:00,2025-09-25 15:44:00+00:00,2025-09-25 18:01:00+00:00,6619.7,6575.93,6792.28,6575.93,SL,0.11,-240.7349999999974,0.0,-0.0,240.7349999999974,-1.0,48715.851601501396,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250925_154300_sar,SELL,2025-09-25 18:01:00+00:00,2025-09-25 18:01:00+00:00,2025-09-26 06:26:00+00:00,6575.93,6619.7,6554.045,6619.7,SL,0.11,-242.0775849402752,-1.3425849402777779,-0.0,240.7349999999974,-1.0055770242809636,48473.77401656112,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250930_162100,BUY,2025-09-30 16:21:00+00:00,2025-09-30 16:22:00+00:00,2025-09-30 17:24:00+00:00,6664.63,6644.63,6743.38,6644.63,SL,0.24,-240.0,0.0,-0.0,240.0,-1.0,48233.77401656112,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250930_162100_sar,SELL,2025-09-30 17:24:00+00:00,2025-09-30 17:24:00+00:00,2025-09-30 18:15:00+00:00,6644.63,6664.63,6634.63,6664.63,SL,0.24,-240.0,0.0,-0.0,240.0,-1.0,47993.77401656112,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251001_143400,BUY,2025-10-01 14:34:00+00:00,2025-10-01 14:36:00+00:00,2025-10-10 15:24:00+00:00,6684.38,6654.08,6794.33,6654.08,SL,0.17,-362.2740093083349,-104.72400930833334,-0.0,257.55000000000155,-1.406616227172715,47631.500007252784,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251001_143400_sar,SELL,2025-10-10 15:24:00+00:00,2025-10-10 15:24:00+00:00,2025-10-10 15:30:00+00:00,6654.08,6684.38,6638.93,6638.93,TP,0.17,128.7749999999969,0.0,-0.0,257.55000000000155,0.499999999999985,47760.27500725278,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251013_161400,BUY,2025-10-13 16:14:00+00:00,2025-10-13 16:16:00+00:00,2025-10-14 04:31:00+00:00,6659.13,6621.13,6799.88,6621.13,SL,0.13,-255.7979536486111,-8.797953648611111,-0.0,247.0,-1.0356192455409357,47504.47705360417,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251013_161400_sar,SELL,2025-10-14 04:31:00+00:00,2025-10-14 04:31:00+00:00,2025-10-14 05:41:00+00:00,6621.13,6659.13,6602.13,6602.13,TP,0.13,123.5,0.0,-0.0,247.0,0.5,47627.97705360417,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251014_143600,BUY,2025-10-14 14:36:00+00:00,2025-10-14 14:38:00+00:00,2025-10-17 07:14:00+00:00,6619.88,6552.53,6901.13,6552.53,SL,0.06,-214.22762830833443,-12.177628308333333,-0.0,202.0500000000011,-1.0602703702466383,47413.749425295835,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251014_143600_sar,SELL,2025-10-17 07:14:00+00:00,2025-10-17 07:14:00+00:00,2025-10-17 12:02:00+00:00,6552.53,6619.88,6518.855,6619.88,SL,0.06,-202.0500000000011,0.0,-0.0,202.0500000000011,-1.0,47211.69942529583,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251017_180800,BUY,2025-10-17 18:08:00+00:00,2025-10-17 18:10:00+00:00,2025-10-28 00:34:00+00:00,6659.13,6604.38,6884.38,6884.38,TP,0.08,840.5798443444445,-60.420155655555554,-0.0,219.0,3.8382641294266873,48052.279269640276,False,False
