task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250919_164800,BUY,2025-09-19 16:48:00+00:00,2025-09-19 16:50:00+00:00,2025-09-22 07:22:00+00:00,6652.28,6638.13,6714.98,6638.13,SL,0.32,-291.4809198666608,-65.08091986666666,-0.0,226.39999999999418,-1.287459893404012,49708.51908013334,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250922_143500,BUY,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-23 17:41:00+00:00,6668.42,6646.63,6753.08,6646.63,SL,0.23,-266.25314580277734,-15.668145802777778,-0.0,250.58499999999958,-1.0625262717352506,49442.26593433056,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250925_154300,BUY,2025-09-25 15:43:00+00:00,2025-09-25 15:44:00+00:00,2025-09-25 18:01:00+00:00,6619.7,6575.93,6792.28,6575.93,SL,0.11,-240.7349999999974,0.0,-0.0,240.7349999999974,-1.0,49201.530934330556,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250930_162100,BUY,2025-09-30 16:21:00+00:00,2025-09-30 16:22:00+00:00,2025-09-30 17:24:00+00:00,6664.63,6644.63,6743.38,6644.63,SL,0.24,-240.0,0.0,-0.0,240.0,-1.0,48961.530934330556,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251001_143400,BUY,2025-10-01 14:34:00+00:00,2025-10-01 14:36:00+00:00,2025-10-10 15:24:00+00:00,6684.38,6654.08,6794.33,6654.08,SL,0.17,-362.2740093083349,-104.72400930833334,-0.0,257.55000000000155,-1.406616227172715,48599.25692502222,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251013_161400,BUY,2025-10-13 16:14:00+00:00,2025-10-13 16:16:00+00:00,2025-10-14 04:31:00+00:00,6659.13,6621.13,6799.88,6621.13,SL,0.13,-255.7979536486111,-8.797953648611111,-0.0,247.0,-1.0356192455409357,48343.45897137361,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251014_143600,BUY,2025-10-14 14:36:00+00:00,2025-10-14 14:38:00+00:00,2025-10-17 07:14:00+00:00,6619.88,6552.53,6901.13,6552.53,SL,0.06,-214.22762830833443,-12.177628308333333,-0.0,202.0500000000011,-1.0602703702466383,48129.23134306528,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251017_180800,BUY,2025-10-17 18:08:00+00:00,2025-10-17 18:10:00+00:00,2025-10-28 00:34:00+00:00,6659.13,6604.38,6884.38,6884.38,TP,0.08,840.5798443444445,-60.420155655555554,-0.0,219.0,3.8382641294266873,48969.81118740972,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251028_180100,BUY,2025-10-28 18:01:00+00:00,2025-10-28 18:02:00+00:00,2025-10-29 19:35:00+00:00,6896.5,6880.63,6954.38,6880.63,SL,0.33,-285.0155643499982,-23.160564349999998,-0.0,261.8549999999982,-1.0884480508296583,48684.79562305973,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251030_145400,BUY,2025-10-30 14:54:00+00:00,2025-10-30 14:56:00+00:00,2025-10-30 15:24:00+00:00,6873.78,6856.28,6956.28,6856.28,SL,0.24,-210.0,0.0,-0.0,210.0,-1.0,48474.79562305973,False,False
