task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500_inv,SELL,2025-09-19 16:25:00+00:00,2025-09-19 16:30:00+00:00,2025-09-24 15:48:00+00:00,24571.32,24890.6,24491.65,24491.65,TP,0.03,45.071651423332284,-2.7303485766666666,-0.0,191.5679999999993,0.2352775590042828,50045.071651423335,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250925_141500_inv,SELL,2025-09-25 14:15:00+00:00,2025-09-25 14:20:00+00:00,2025-10-08 19:15:00+00:00,24369.54,25100.18,24187.03,25100.18,SL,0.01,-148.49941031944434,-2.3714103194444447,-0.0,146.1279999999999,-1.0162283088760842,49896.57224110389,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000_inv,SELL,2025-10-09 22:40:00+00:00,2025-10-09 22:46:00+00:00,2025-10-10 14:58:00+00:00,25131.85,25455.25,25053.35,25053.35,TP,0.03,47.1,0.0,-0.0,194.04000000000087,0.2427334570191702,49943.672241103886,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000_inv,SELL,2025-10-13 14:00:00+00:00,2025-10-13 14:06:00+00:00,2025-10-14 05:39:00+00:00,24732.13,25448.07,24549.02,24549.02,TP,0.01,36.43931725888901,-0.1826827411111111,-0.0,143.18799999999973,0.25448583162617733,49980.111558362776,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000_inv,SELL,2025-10-14 14:20:00+00:00,2025-10-14 14:26:00+00:00,2025-10-17 08:20:00+00:00,24525.25,25596.23,24247.13,24247.13,TP,0.01,55.07750329555535,-0.5464967044444445,-0.0,214.1959999999999,0.2571360029858418,50035.18906165833,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251017_141000_inv,SELL,2025-10-17 14:10:00+00:00,2025-10-17 14:16:00+00:00,2025-10-27 19:55:00+00:00,24789.96,25798.15,24506.4,25798.15,SL,0.01,-203.49208686944493,-1.8540868694444446,-0.0,201.6380000000005,-1.0091951262631271,49831.69697478889,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251028_140000_inv,SELL,2025-10-28 14:00:00+00:00,2025-10-28 14:06:00+00:00,2025-10-28 20:28:00+00:00,25908.38,26080.9,25857.75,26080.9,SL,0.06,-207.0240000000005,0.0,-0.0,207.0240000000005,-1.0,49624.67297478889,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251029_143000_inv,SELL,2025-10-29 14:30:00+00:00,2025-10-29 14:36:00+00:00,2025-10-29 16:12:00+00:00,26126.38,26269.6,26099.1,26099.1,TP,0.09,49.10400000000445,0.0,-0.0,257.7959999999955,0.19047619047621106,49673.776974788896,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251031_012000_inv,SELL,2025-10-31 01:20:00+00:00,2025-10-31 01:26:00+00:00,2025-10-31 15:04:00+00:00,26039.83,26434.73,25943.48,25943.48,TP,0.03,57.81000000000131,0.0,-0.0,236.9399999999987,0.24398581919473972,49731.586974788894,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251105_153000_inv,SELL,2025-11-05 15:30:00+00:00,2025-11-05 15:36:00+00:00,2025-11-06 15:00:00+00:00,25583.97,26400.15,25364.85,25364.85,TP,0.01,43.63480070222275,-0.1891992977777778,-0.0,163.23600000000008,0.2673111366501429,49775.22177549112,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251107_195500_inv,SELL,2025-11-07 19:55:00+00:00,2025-11-07 20:00:00+00:00,2025-11-14 08:42:00+00:00,25008.65,25795.04,24811.74,24811.74,TP,0.01,38.07428511055553,-1.3077148894444448,-0.0,157.2779999999999,0.2420827141148511,49813.29606060167,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251114_152500_inv,SELL,2025-11-14 15:25:00+00:00,2025-11-14 15:30:00+00:00,2025-11-18 04:20:00+00:00,24917.67,26439.13,24537.93,24537.93,TP,0.01,75.20935767833294,-0.7386423216666669,-0.0,304.29200000000054,0.2471617974785167,49888.50541828,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251119_150000_inv,SELL,2025-11-19 15:00:00+00:00,2025-11-19 15:06:00+00:00,2025-11-19 17:33:00+00:00,24847.08,26247.96,24491.16,24491.16,TP,0.01,71.18400000000038,0.0,-0.0,280.1759999999995,0.2540688709953762,49959.68941828,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251120_154000_inv,SELL,2025-11-20 15:40:00+00:00,2025-11-20 15:46:00+00:00,2025-11-20 16:00:00+00:00,25209.54,25798.48,25060.38,25060.38,TP,0.02,59.663999999999945,0.0,-0.0,235.57599999999948,0.2532685842360855,50019.35341828,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251121_165500_inv,SELL,2025-11-21 16:55:00+00:00,2025-11-21 17:00:00+00:00,2025-11-28 17:10:00+00:00,24298.96,25383.21,24028.21,25383.21,SL,0.01,-218.12968410500002,-1.2796841050000005,-0.0,216.85000000000002,-1.0059012409730228,49801.223734175,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251201_155000_inv,SELL,2025-12-01 15:50:00+00:00,2025-12-01 15:56:00+00:00,2025-12-12 16:05:00+00:00,25357.04,26157.23,25157.73,25157.73,TP,0.01,37.7778532033336,-2.0841467966666674,-0.0,160.03799999999976,0.2360555193349933,49839.001587378334,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251216_203500_inv,SELL,2025-12-16 20:35:00+00:00,2025-12-16 20:40:00+00:00,2025-12-17 15:41:00+00:00,25154.48,26019.08,24938.33,24938.33,TP,0.01,43.04475316666623,-0.1852468333333334,-0.0,172.92000000000044,0.24892871366334793,49882.046340545,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251218_153000_inv,SELL,2025-12-18 15:30:00+00:00,2025-12-18 15:36:00+00:00,2026-01-21 11:55:00+00:00,25114.01,25883.33,24925.63,24925.63,TP,0.01,31.2761801672217,-6.399819832777777,-0.0,153.8640000000007,0.20327159158231659,49913.32252071222,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260121_151500_inv,SELL,2026-01-21 15:15:00+00:00,2026-01-21 15:20:00+00:00,2026-01-28 01:01:00+00:00,25205.52,26087.93,24985.38,26087.93,SL,0.01,-177.8062014955555,-1.3242014955555557,-0.0,176.48199999999997,-1.0075033232599107,49735.516319216666,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260202_150500_inv,SELL,2026-02-02 15:05:00+00:00,2026-02-02 15:10:00+00:00,2026-02-03 15:13:00+00:00,25718.83,26879.6,25427.7,25427.7,TP,0.01,58.03566000555576,-0.19033999444444447,-0.0,232.15399999999937,0.24998776676497464,49793.55197922222,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260206_161000_inv,SELL,2026-02-06 16:10:00+00:00,2026-02-06 16:16:00+00:00,2026-02-13 06:26:00+00:00,24910.97,26121.83,24610.58,24610.58,TP,0.01,58.78174365166656,-1.2962563483333334,-0.0,242.17200000000014,0.24272725026702727,49852.33372287388,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260213_152500_inv,SELL,2026-02-13 15:25:00+00:00,2026-02-13 15:30:00+00:00,2026-02-17 05:20:00+00:00,24779.33,25876.68,24506.08,24506.08,TP,0.01,53.920005412222224,-0.729994587777778,-0.0,219.46999999999971,0.24568280590614797,49906.2537282861,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260217_183500_inv,SELL,2026-02-17 18:35:00+00:00,2026-02-17 18:40:00+00:00,2026-03-03 10:02:00+00:00,24749.69,26122.15,24405.95,24405.95,TP,0.01,66.16817313888848,-2.579826861111111,-0.0,274.4920000000006,0.241056836406483,49972.42190142499,False,False
