task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250919_135000_inv,SELL,2025-09-19 13:50:00+00:00,2025-09-19 13:52:00+00:00,2025-09-19 18:24:00+00:00,3659.74,3682.83,3653.93,3682.83,SL,0.1,-231.40000000000146,0.0,-0.5,230.90000000000146,-1.0021654395842357,49768.6,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250922_145300_inv,SELL,2025-09-22 14:53:00+00:00,2025-09-22 14:54:00+00:00,2025-09-23 08:39:00+00:00,3725.99,3766.78,3715.98,3766.78,SL,0.06,-243.5384400000025,1.50156,-0.3,244.7400000000025,-0.9950904633488601,49525.061559999995,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250925_175700_inv,SELL,2025-09-25 17:57:00+00:00,2025-09-25 17:58:00+00:00,2025-09-29 11:15:00+00:00,3743.73,3820.12,3724.57,3820.12,SL,0.03,-227.8184399999996,1.50156,-0.15,229.16999999999962,-0.9941023694200811,49297.24311999999,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250929_141000_inv,SELL,2025-09-29 14:10:00+00:00,2025-09-29 14:12:00+00:00,2025-09-29 14:20:00+00:00,3830.24,3870.66,3818.26,3818.26,TP,0.05,59.64999999999782,0.0,-0.25,202.10000000000036,0.29515091538841026,49356.89311999999,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250930_134600_inv,SELL,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-10-01 07:52:00+00:00,3828.04,3879.52,3812.32,3879.52,SL,0.04,-205.11896000000007,1.00104,-0.2,205.92000000000007,-0.9961099456099456,49151.77415999999,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251001_143300_inv,SELL,2025-10-01 14:33:00+00:00,2025-10-01 14:34:00+00:00,2025-10-01 14:46:00+00:00,3877.31,3910.19,3869.09,3869.09,TP,0.07,57.189999999998605,0.0,-0.35000000000000003,230.1600000000008,0.24847931873478626,49208.96415999999,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251003_152700_inv,SELL,2025-10-03 15:27:00+00:00,2025-10-03 15:28:00+00:00,2025-10-06 14:33:00+00:00,3888.68,3953.32,3872.42,3953.32,SL,0.03,-193.319220000001,0.75078,-0.15,193.92000000000098,-0.9969019183168317,49015.64493999999,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251007_143500_inv,SELL,2025-10-07 14:35:00+00:00,2025-10-07 14:36:00+00:00,2025-10-07 15:45:00+00:00,3983.73,4037.14,3970.39,3970.39,TP,0.04,53.16000000000058,0.0,-0.2,213.63999999999942,0.24882980715222208,49068.804939999995,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251008_140000_inv,SELL,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-08 22:09:00+00:00,4039.99,4093.13,4026.43,4026.43,TP,0.04,57.04311999999978,3.00312,-0.2,212.5600000000013,0.2683624388407952,49125.84806,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251010_150500_inv,SELL,2025-10-10 15:05:00+00:00,2025-10-10 15:06:00+00:00,2025-10-10 16:06:00+00:00,4002.57,4058.93,3988.53,3988.53,TP,0.04,55.95999999999985,0.0,-0.2,225.4399999999987,0.24822569198012853,49181.808059999996,False,False
