task,broker,symbol,case,params,deployed,n,win_pct,pf,net_r,max_dd_r,balance,dd_pct,ret_pct,swap,commission,open_trades,tp,sl,median_spread,financing_pct,capped_pct,risk_median,commission_per_lot,volume_max
OrbBreakout_DJI30_Demo,fundingpips,DJI30,Demo (rev 0.5R),60m OR / M1 / 4R,True,113,39.823008849557525,0.7560639110767329,-18.075484934272993,20.851687113464187,45980.17474754042,9.493523558861124,-8.039650504919162,-1834.8847524595833,0.0,0,45,68,1.0,-7.33,0.0,232.14400000000023,0.0,10.0
OrbBreakout_DJI30_Paper,fundingpips,DJI30,Paper,60m OR / M1 / 4R,False,61,18.0327868852459,0.6802835754595465,-18.162808676161294,20.101078394615264,45909.567442000676,8.70750651917207,-8.180865115998648,-2065.2295579993056,0.0,0,11,50,1.0,-7.33,0.0,234.36750000000393,0.0,10.0
OrbBreakoutinv_DJI30_Paper,fundingpips,DJI30,Paper (inverse),60m OR / M1 / 4R,False,60,81.66666666666667,1.0592373725319018,0.6634328449144369,3.3288660347029033,50189.419830979576,1.549382294097291,0.37883966195915125,-91.64166902041667,0.0,0,49,11,1.0,-7.33,0.0,228.23099999999943,0.0,10.0
OrbBreakout_GER40_Demo,fundingpips,GER40,Demo,30m OR / M1 / 4R,False,118,22.033898305084747,0.9317946614922634,-6.9996602117297,23.718763071868718,48239.400906793104,11.033339529586451,-3.5211981864137925,-2038.8197462318785,0.0,0,26,92,2.0,-5.410000000000001,0.0,240.48449212499918,0.0,10.0
OrbBreakout_GER40_Paper,fundingpips,GER40,Paper,30m OR / M1 / 4R,False,118,22.033898305084747,0.9317946614922634,-6.9996602117297,23.718763071868718,48239.400906793104,11.033339529586451,-3.5211981864137925,-2038.8197462318785,0.0,0,26,92,2.0,-5.410000000000001,0.0,240.48449212499918,0.0,10.0
OrbBreakout_JP225_Demo,fundingpips,JP225,Demo (rev 0.5R),15m OR / M1 / 4R,True,328,37.5,0.8173790424367638,-40.65342400462897,41.13855479588412,44773.26957112784,11.7040788246068,-10.453460857744314,-550.0880773386166,0.0,0,122,206,10.0,-3.4399999999999995,78.35365853658537,153.4289472036049,0.0,10.0
OrbBreakout_JP225_Paper,fundingpips,JP225,Paper,15m OR / M1 / 4R,False,186,22.043010752688172,0.910196129625515,-13.923320538071337,21.450193631722776,48207.287989945566,7.89157467984269,-3.5854240201088685,-489.7467723347914,0.0,0,40,146,10.0,-3.4399999999999995,81.72043010752688,152.9526286693636,0.0,10.0
OrbBreakoutinv_JP225_Paper,fundingpips,JP225,Paper (inverse),15m OR / M1 / 4R,False,184,75.54347826086956,0.8138932190558502,-8.302821486028321,13.178898866432725,48265.36747579382,5.783370091951035,-3.4692650484123586,-156.36026023891503,0.0,0,140,44,10.0,-3.4399999999999995,5.978260869565218,240.91847535013983,0.0,10.0
OrbBreakout_NDX100_Demo,fundingpips,NDX100,Demo (rev 0.5R),30m OR / M5 / 4R,True,127,36.22047244094488,0.8254991483419971,-15.35651411833342,24.916473966426416,46386.25169778902,11.411678271359726,-7.227496604421962,-1477.383302211111,0.0,1,46,81,1.6,-7.33,0.0,228.21599999999597,0.0,10.0
OrbBreakout_NDX100_Paper,fundingpips,NDX100,Paper,30m OR / M5 / 4R,False,70,21.428571428571427,0.900787399314133,-6.193318787177867,15.400756050031916,48409.5174779901,7.170090875716167,-3.180965044019802,-1556.86852201,0.0,1,15,55,1.6,-7.33,0.0,233.57199999999796,0.0,10.0
