task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260622_140500,BUY,2026-06-22 14:05:00+00:00,2026-06-22 14:10:00+00:00,2026-06-22 14:27:00+00:00,30634.649999999998,30441.1,31404.85,30441.1,SL,0.06,-232.2599999999991,0.0,-0.0,232.2599999999991,-1.0,49767.74,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260622_140500_sar,SELL,2026-06-22 14:27:00+00:00,2026-06-22 14:27:00+00:00,2026-06-22 14:33:00+00:00,30441.1,30634.649999999998,30344.324999999997,30344.324999999997,TP,0.06,116.13000000000174,0.0,-0.0,232.2599999999991,0.5000000000000094,49883.87,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260623_140000,BUY,2026-06-23 14:00:00+00:00,2026-06-23 14:06:00+00:00,2026-06-23 18:45:00+00:00,29653.28,29307.48,31148.08,29307.48,SL,0.03,-207.47999999999956,0.0,-0.0,207.47999999999956,-1.0,49676.39,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260623_140000_sar,SELL,2026-06-23 18:45:00+00:00,2026-06-23 18:45:00+00:00,2026-06-24 17:25:00+00:00,29307.48,29653.28,29134.58,29134.58,TP,0.03,104.20085154299869,0.460851543,-0.0,207.47999999999956,0.5022211853817183,49780.590851543,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260626_140000,BUY,2026-06-26 14:00:00+00:00,2026-06-26 14:06:00+00:00,2026-07-08 08:25:00+00:00,29233.59,28886.42,30659.02,28886.42,SL,0.03,-246.7098184200011,-38.40781842,-0.0,208.30200000000113,-1.1843852599590967,49533.881033123,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260626_140000_sar,SELL,2026-07-08 08:25:00+00:00,2026-07-08 08:25:00+00:00,2026-07-08 09:09:00+00:00,28886.42,29233.59,28712.835,28712.835,TP,0.03,104.15099999999947,0.0,-0.0,208.30200000000113,0.4999999999999947,49638.032033122996,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260708_172000,BUY,2026-07-08 17:20:00+00:00,2026-07-08 17:26:00+00:00,2026-07-16 19:15:00+00:00,29208.48,28971.13,30089.53,28971.13,SL,0.05,-280.0253537999985,-42.675353799999996,-0.0,237.34999999999854,-1.179799257636403,49358.006679323,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260708_172000_sar,SELL,2026-07-16 19:15:00+00:00,2026-07-16 19:15:00+00:00,2026-07-17 00:10:00+00:00,28971.13,29208.48,28852.455,28852.455,TP,0.05,119.44308590499928,0.768085905,-0.0,237.34999999999854,0.503236089761955,49477.449765228,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260717_140000,BUY,2026-07-17 14:00:00+00:00,2026-07-17 14:06:00+00:00,2026-07-24 13:52:00+00:00,28581.649999999998,28218.73,29783.73,28218.73,SL,0.03,-240.15656074499896,-22.404560744999998,-0.0,217.75199999999896,-1.1028902639011358,49237.293204483,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260717_140000_sar,SELL,2026-07-24 13:52:00+00:00,2026-07-24 13:52:00+00:00,2026-07-27 08:42:00+00:00,28218.73,28581.649999999998,28037.27,28581.649999999998,SL,0.03,-216.36944537099896,1.382554629,-0.0,217.75199999999896,-0.9936507833269039,49020.923759112,False,False
