task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260624_144400,BUY,2026-06-24 14:44:00+00:00,2026-06-24 14:46:00+00:00,2026-06-24 17:16:00+00:00,7406.57,7368.67,7550.92,7368.67,SL,0.13,-246.34999999999764,0.0,-0.0,246.34999999999764,-1.0,49753.65,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260624_144400_sar,SELL,2026-06-24 17:16:00+00:00,2026-06-24 17:16:00+00:00,2026-06-24 17:28:00+00:00,7368.67,7406.57,7349.72,7349.72,TP,0.13,123.17499999999882,0.0,-0.0,246.34999999999764,0.5,49876.825,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260626_152900,BUY,2026-06-26 15:29:00+00:00,2026-06-26 15:30:00+00:00,2026-07-29 20:10:00+00:00,7373.23,7292.49,7695.19,7292.49,SL,0.06,-380.30658853439934,-138.08658853439997,-0.0,242.21999999999935,-1.5700874764032713,49496.5184114656,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260626_152900_sar,SELL,2026-07-29 20:10:00+00:00,2026-07-29 20:10:00+00:00,2026-07-30 12:30:00+00:00,7292.49,7373.23,7252.12,7373.23,SL,0.06,-241.61749560719934,0.6025043928,-0.0,242.21999999999935,-0.9975125737230617,49254.9009158584,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260730_170000,BUY,2026-07-30 17:00:00+00:00,2026-07-30 17:02:00+00:00,2026-08-04 11:44:00+00:00,7421.889999999999,7366.94,7627.19,7627.19,TP,0.09,892.4666844240008,-31.383315575999994,-0.0,247.27499999999918,3.6092070950318624,50147.3676002824,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260804_144200,BUY,2026-08-04 14:42:00+00:00,2026-08-04 14:44:00+00:00,2026-09-01 13:30:00+00:00,7681.679999999999,7628.78,7881.18,7628.78,SL,0.09,-413.7965672255983,-175.74656722559996,-0.0,238.04999999999836,-1.7382758547599293,49733.5710330568,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260804_144200_sar,SELL,2026-09-01 13:30:00+00:00,2026-09-01 13:30:00+00:00,2026-09-03 08:05:00+00:00,7628.78,7681.679999999999,7602.33,7681.679999999999,SL,0.09,-236.24248682159836,1.8075131783999998,-0.0,238.04999999999836,-0.9924070019810963,49497.32854623521,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260903_150400,BUY,2026-09-03 15:04:00+00:00,2026-09-03 15:06:00+00:00,2026-09-08 06:19:00+00:00,7720.7699999999995,7689.31,7838.11,7689.31,SL,0.16,-307.472561023993,-55.792561023999994,-0.0,251.67999999999302,-1.221680550794666,49189.855985211216,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260903_150400_sar,SELL,2026-09-08 06:19:00+00:00,2026-09-08 06:19:00+00:00,2026-09-08 14:10:00+00:00,7689.31,7720.7699999999995,7673.580000000001,7673.580000000001,TP,0.16,125.83999999999651,0.0,-0.0,251.67999999999302,0.5,49315.69598521121,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260914_153700,BUY,2026-09-14 15:37:00+00:00,2026-09-14 15:38:00+00:00,2026-09-15 05:08:00+00:00,7623.96,7594.05,7741.55,7594.05,SL,0.16,-250.43851220479883,-11.1585122048,-0.0,239.27999999999884,-1.0466337019592111,49065.257473006415,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260914_153700_sar,SELL,2026-09-15 05:08:00+00:00,2026-09-15 05:08:00+00:00,2026-09-15 08:07:00+00:00,7594.05,7623.96,7579.095,7579.095,TP,0.16,119.63999999999942,0.0,-0.0,239.27999999999884,0.5,49184.897473006415,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260916_150000,BUY,2026-09-16 15:00:00+00:00,2026-09-16 15:02:00+00:00,2026-09-16 18:31:00+00:00,7614.73,7596.81,7689.31,7596.81,SL,0.26,-232.95999999998912,0.0,-0.0,232.95999999998912,-1.0,48951.93747300642,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260916_150000_sar,SELL,2026-09-16 18:31:00+00:00,2026-09-16 18:31:00+00:00,2026-09-16 18:33:00+00:00,7596.81,7614.73,7587.85,7587.85,TP,0.26,116.48000000000047,0.0,-0.0,232.95999999998912,0.5000000000000254,49068.417473006426,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260918_194800,BUY,2026-09-18 19:48:00+00:00,2026-09-18 19:50:00+00:00,2026-09-18 20:58:00+00:00,7645.509999999999,7613.54,7768.74,7655.04,OPEN,0.15,71.47500000000491,0.0,-0.0,239.7749999999951,0.2980919612136644,49139.89247300643,False,False
