task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260622_134600,BUY,2026-06-22 13:46:00+00:00,2026-06-22 13:48:00+00:00,2026-06-22 15:39:00+00:00,4198.74,4183.01,4251.61,4183.01,SL,0.18,-283.13999999999214,0.0,-0.0,283.13999999999214,-1.0,49716.86000000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260622_134600_sar,SELL,2026-06-22 15:39:00+00:00,2026-06-22 15:39:00+00:00,2026-06-22 15:49:00+00:00,4183.01,4198.74,4175.145,4175.145,TP,0.18,141.56999999999607,0.0,-0.0,283.13999999999214,0.5,49858.43000000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260623_134800,BUY,2026-06-23 13:48:00+00:00,2026-06-23 13:50:00+00:00,2026-06-23 20:00:00+00:00,4131.29,4110.09,4230.64,4110.09,SL,0.1,-211.99999999999818,0.0,-0.0,211.99999999999818,-1.0,49646.43000000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260623_134800_sar,SELL,2026-06-23 20:00:00+00:00,2026-06-23 20:00:00+00:00,2026-06-23 22:34:00+00:00,4110.09,4131.29,4099.49,4099.49,TP,0.1,109.31360000000363,3.3136,-0.0,211.99999999999818,0.5156301886792668,49755.74360000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260624_134900,BUY,2026-06-24 13:49:00+00:00,2026-06-24 13:50:00+00:00,2026-06-24 17:58:00+00:00,4019.79,3974.08,4202.53,3974.08,SL,0.05,-228.55000000000018,0.0,-0.0,228.55000000000018,-1.0,49527.193600000006,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260624_134900_sar,SELL,2026-06-24 17:58:00+00:00,2026-06-24 17:58:00+00:00,2026-06-25 13:00:00+00:00,3974.08,4019.79,3951.225,4019.79,SL,0.05,-223.57960000000017,4.9704,-0.0,228.55000000000018,-0.9782524611682345,49303.61400000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260625_152200,BUY,2026-06-25 15:22:00+00:00,2026-06-25 15:24:00+00:00,2026-06-26 02:19:00+00:00,4032.43,4010.95,4125.4,4010.95,SL,0.1,-220.7083500000002,-5.90835,-0.0,214.80000000000018,-1.027506284916201,49082.90565000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260625_152200_sar,SELL,2026-06-26 02:19:00+00:00,2026-06-26 02:19:00+00:00,2026-06-26 02:36:00+00:00,4010.95,4032.43,4000.21,4000.21,TP,0.1,107.39999999999782,0.0,-0.0,214.80000000000018,0.4999999999999894,49190.30565000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260626_135000,BUY,2026-06-26 13:50:00+00:00,2026-06-26 13:52:00+00:00,2026-06-29 05:30:00+00:00,4066.84,4045.05,4159.55,4045.05,SL,0.1,-223.80834999999965,-5.90835,-0.0,217.89999999999964,-1.0271149609912804,48966.49730000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260626_135000_sar,SELL,2026-06-29 05:30:00+00:00,2026-06-29 05:30:00+00:00,2026-06-29 07:51:00+00:00,4045.05,4066.84,4034.155,4066.84,SL,0.1,-217.89999999999964,0.0,-0.0,217.89999999999964,-1.0,48748.59730000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260630_135100,BUY,2026-06-30 13:51:00+00:00,2026-06-30 13:52:00+00:00,2026-06-30 20:27:00+00:00,4027.79,4013.25,4085.85,4013.25,SL,0.16,-232.63999999999942,0.0,-0.0,232.63999999999942,-1.0,48515.95730000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260630_135100_sar,SELL,2026-06-30 20:27:00+00:00,2026-06-30 20:27:00+00:00,2026-06-30 23:57:00+00:00,4013.25,4027.79,4005.98,4005.98,TP,0.16,121.62175999999971,5.301760000000001,-0.0,232.63999999999942,0.52278954607978,48637.57906000001,False,False
