task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260622_140700,BUY,2026-06-22 14:07:00+00:00,2026-06-22 14:08:00+00:00,2026-06-22 16:02:00+00:00,25162.42,25081.1,25477.75,25081.1,SL,0.1,-233.26845299999917,0.0,-0.0,233.26845299999917,-1.0,49766.731547,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260623_140100,BUY,2026-06-23 14:01:00+00:00,2026-06-23 14:02:00+00:00,2026-06-23 23:07:00+00:00,24950.26,24852.54,25338.54,24852.54,SL,0.08,-230.95356914174138,-8.525259541747,-0.0,223.35274079999434,-1.0340306025102837,49535.77797785826,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260624_144700,BUY,2026-06-24 14:47:00+00:00,2026-06-24 14:48:00+00:00,2026-06-26 13:18:00+00:00,24698.83,24597.93,25094.93,24597.93,SL,0.08,-246.4384790832994,-16.993897083296112,-0.0,229.66656200000332,-1.0730272484476684,49289.33949877496,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260626_140000,BUY,2026-06-26 14:00:00+00:00,2026-06-26 14:02:00+00:00,2026-06-26 14:56:00+00:00,24670.14,24596.03,24956.48,24596.03,SL,0.12,-252.78698670000196,0.0,-0.0,252.78698670000196,-1.0,49036.55251207496,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260629_180500,BUY,2026-06-29 18:05:00+00:00,2026-06-29 18:06:00+00:00,2026-06-30 18:16:00+00:00,24727.8,24650.17,25025.82,25025.82,TP,0.11,924.444097852361,-11.676209797640437,-0.0,243.0626352000032,3.803316363667684,49960.99660992732,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260701_141800,BUY,2026-07-01 14:18:00+00:00,2026-07-01 14:20:00+00:00,2026-07-02 12:22:00+00:00,25013.52,24918.08,25353.53,25353.53,TP,0.1,956.3718285526336,-10.693113697361877,-0.0,272.51698999999627,3.5094025827624424,50917.368438479956,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260703_010500,BUY,2026-07-03 01:05:00+00:00,2026-07-03 01:06:00+00:00,2026-07-07 14:14:00+00:00,25662.98,25496.97,26316.97,25496.97,SL,0.05,-259.6135783218862,-22.18607632188851,-0.0,237.18886262499774,-1.0945437127557822,50657.75486015807,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260709_143200,BUY,2026-07-09 14:32:00+00:00,2026-07-09 14:34:00+00:00,2026-07-10 14:33:00+00:00,25071.62,24979.72,25478.37,24979.72,SL,0.08,-218.70804200696867,-8.626480006973667,-0.0,209.820565999995,-1.0423575065895774,50439.0468181511,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260714_143400,BUY,2026-07-14 14:34:00+00:00,2026-07-14 14:36:00+00:00,2026-07-15 06:56:00+00:00,25138.7,25003.71,25664.31,25003.71,SL,0.06,-237.67731671298,-6.445521262977251,-0.0,230.46032760000276,-1.0313155378547556,50201.36950143812,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260715_142100,BUY,2026-07-15 14:21:00+00:00,2026-07-15 14:22:00+00:00,2026-07-15 16:14:00+00:00,25058.2,24954.84,25464.14,24954.84,SL,0.08,-236.0680384000013,0.0,-0.0,236.0680384000013,-1.0,49965.30146303812,False,False
