task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260622_140400,BUY,2026-06-22 14:04:00+00:00,2026-06-22 14:06:00+00:00,2026-06-22 14:32:00+00:00,73568.49,73290.99,74690.99,73290.99,SL,10.0,-172.0524775556768,0.0,-0.0,172.0524775556768,-1.0,49827.94752244432,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260622_140400_sar,SELL,2026-06-22 14:32:00+00:00,2026-06-22 14:32:00+00:00,2026-06-22 14:46:00+00:00,73290.99,73568.49,73152.24,73152.24,TP,10.0,86.0262387778384,0.0,-0.0,172.0524775556768,0.5,49913.97376122216,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260623_134800,BUY,2026-06-23 13:48:00+00:00,2026-06-23 13:50:00+00:00,2026-06-24 20:44:00+00:00,68782.01,68282.01,70831.91,70831.91,TP,7.9,999.0650986532968,-3.231724415203774,-0.0,244.47305226153048,4.086606230876214,50913.03885987546,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260626_135700,BUY,2026-06-26 13:57:00+00:00,2026-06-26 13:58:00+00:00,2026-06-29 00:21:00+00:00,69347.01,68971.99,70821.99,68971.99,SL,10.0,-244.15995074642214,-12.3054610464014,-0.0,231.78713804505054,-1.0533800658903119,50668.87890912904,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260626_135700_sar,SELL,2026-06-29 00:21:00+00:00,2026-06-29 00:21:00+00:00,2026-06-29 00:26:00+00:00,68971.99,69347.01,68784.48000000001,68784.48000000001,TP,10.0,115.92724485001037,0.0,-0.0,231.85448970002074,0.5,50784.80615397905,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260629_134500,BUY,2026-06-29 13:45:00+00:00,2026-06-29 13:46:00+00:00,2026-06-29 13:55:00+00:00,69811.01,69478.49,71066.09,69478.49,SL,10.0,-205.5790488908608,0.0,-0.0,205.5790488908608,-1.0,50579.22710508819,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260629_134500_sar,SELL,2026-06-29 13:55:00+00:00,2026-06-29 13:55:00+00:00,2026-06-29 13:57:00+00:00,69478.49,69811.01,69312.23000000001,69312.23000000001,TP,10.0,102.7895244454304,0.0,-0.0,205.5790488908608,0.5,50682.016629533624,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260630_134600,BUY,2026-06-30 13:46:00+00:00,2026-06-30 13:48:00+00:00,2026-07-01 02:05:00+00:00,70581.01,70175.99,72325.99,70175.99,SL,9.540000000000001,-241.737230046391,-3.9739662472463233,-0.0,238.61340941511506,-1.0130915552438273,50440.27939948723,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260630_134600_sar,SELL,2026-07-01 02:05:00+00:00,2026-07-01 02:05:00+00:00,2026-07-01 03:38:00+00:00,70175.99,70581.01,69973.48000000001,70581.01,SL,9.540000000000001,-237.76326379914468,0.0,-0.0,237.76326379914468,-1.0,50202.516135688085,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260702_134800,BUY,2026-07-02 13:48:00+00:00,2026-07-02 13:50:00+00:00,2026-07-02 14:20:00+00:00,69616.99,69129.49,71517.09,69129.49,SL,8.540000000000001,-256.0755079069252,0.0,-0.0,256.0755079069252,-1.0,49946.44062778116,False,False
