task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260622_140500,BUY,2026-06-22 14:05:00+00:00,2026-06-22 14:10:00+00:00,2026-06-22 14:27:00+00:00,30635.68,30440.95,31407.2,30440.95,SL,0.06,-233.67599999999948,0.0,-0.0,233.67599999999948,-1.0,49766.324,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260622_140500_sar,SELL,2026-06-22 14:27:00+00:00,2026-06-22 14:27:00+00:00,2026-06-22 14:33:00+00:00,30440.95,30635.68,30343.585,30343.585,TP,0.06,116.83800000000191,0.0,-0.0,233.67599999999948,0.5000000000000093,49883.162000000004,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260623_140000,BUY,2026-06-23 14:00:00+00:00,2026-06-23 14:06:00+00:00,2026-06-23 18:45:00+00:00,29654.05,29307.08,31142.68,29307.08,SL,0.03,-208.1819999999985,0.0,-0.0,208.1819999999985,-1.0,49674.98,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260623_140000_sar,SELL,2026-06-23 18:45:00+00:00,2026-06-23 18:45:00+00:00,2026-06-24 17:25:00+00:00,29307.08,29654.05,29133.595,29133.595,TP,0.03,103.43843306166701,-0.6525669383333335,-0.0,208.1819999999985,0.4968654017238174,49778.41843306167,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260626_140000,BUY,2026-06-26 14:00:00+00:00,2026-06-26 14:06:00+00:00,2026-07-08 08:25:00+00:00,29231.489999999998,28885.89,30645.39,28885.89,SL,0.03,-250.58773187333247,-43.22773187333333,-0.0,207.35999999999913,-1.2084670711484062,49527.83070118834,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260626_140000_sar,SELL,2026-07-08 08:25:00+00:00,2026-07-08 08:25:00+00:00,2026-07-08 09:09:00+00:00,28885.89,29231.489999999998,28713.09,28713.09,TP,0.03,103.67999999999957,0.0,-0.0,207.35999999999913,0.5,49631.51070118834,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260708_172000,BUY,2026-07-08 17:20:00+00:00,2026-07-08 17:26:00+00:00,2026-07-16 19:15:00+00:00,29207.14,28970.85,30088.65,28970.85,SL,0.05,-284.49678341666754,-48.20678341666666,-0.0,236.29000000000087,-1.204015334617066,49347.01391777167,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260708_172000_sar,SELL,2026-07-16 19:15:00+00:00,2026-07-16 19:15:00+00:00,2026-07-17 00:10:00+00:00,28970.85,29207.14,28852.704999999998,28852.704999999998,TP,0.05,117.07447598055599,-1.0705240194444445,-0.0,236.29000000000087,0.49546944847668356,49464.08839375222,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260717_140000,BUY,2026-07-17 14:00:00+00:00,2026-07-17 14:06:00+00:00,2026-07-24 13:52:00+00:00,28583.05,28218.33,29776.43,28218.33,SL,0.03,-243.39251005499852,-24.560510054999995,-0.0,218.83199999999852,-1.1122345454732405,49220.695883697226,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260717_140000_sar,SELL,2026-07-24 13:52:00+00:00,2026-07-24 13:52:00+00:00,2026-07-27 08:42:00+00:00,28218.33,28583.05,28035.97,28583.05,SL,0.03,-220.7031876399985,-1.8711876400000003,-0.0,218.83199999999852,-1.0085507953132997,48999.99269605723,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260728_153500,BUY,2026-07-28 15:35:00+00:00,2026-07-28 15:40:00+00:00,2026-07-29 14:14:00+00:00,27856.07,27490.62,29310.52,27490.62,SL,0.03,-222.66680263000043,-3.3968026299999994,-0.0,219.27000000000044,-1.0154914152870889,48777.32589342722,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260728_153500_sar,SELL,2026-07-29 14:14:00+00:00,2026-07-29 14:14:00+00:00,2026-07-29 16:05:00+00:00,27490.62,27856.07,27307.894999999997,27307.894999999997,TP,0.03,109.63500000000131,0.0,-0.0,219.27000000000044,0.500000000000005,48886.960893427226,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260729_184500,BUY,2026-07-29 18:45:00+00:00,2026-07-29 18:50:00+00:00,2026-07-29 19:26:00+00:00,27903.75,27519.84,29380.19,27519.84,SL,0.03,-230.34599999999992,0.0,-0.0,230.34599999999992,-1.0,48656.61489342723,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260729_184500_sar,SELL,2026-07-29 19:26:00+00:00,2026-07-29 19:26:00+00:00,2026-07-29 19:44:00+00:00,27519.84,27903.75,27327.885000000002,27327.885000000002,TP,0.03,115.17299999999886,0.0,-0.0,230.34599999999992,0.4999999999999952,48771.78789342723,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260730_140000,BUY,2026-07-30 14:00:00+00:00,2026-07-30 14:06:00+00:00,2026-08-04 14:07:00+00:00,28006.43,27672.58,29404.43,29404.43,TP,0.03,821.4783291783333,-17.321670821666665,-0.0,200.30999999999912,4.10103504157724,49593.26622260556,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260804_140500,BUY,2026-08-04 14:05:00+00:00,2026-08-04 14:10:00+00:00,2026-08-24 06:02:00+00:00,29397.449999999997,29092.1,30609.6,29092.1,SL,0.04,-340.83778376888773,-96.55778376888891,-0.0,244.27999999999884,-1.395275027709552,49252.42843883667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260804_140500_sar,SELL,2026-08-24 06:02:00+00:00,2026-08-24 06:02:00+00:00,2026-08-24 13:44:00+00:00,29092.1,29397.449999999997,28939.425,28939.425,TP,0.04,122.13999999999942,0.0,-0.0,244.27999999999884,0.5,49374.56843883667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260826_190000,BUY,2026-08-26 19:00:00+00:00,2026-08-26 19:06:00+00:00,2026-09-01 12:06:00+00:00,29286.26,29104.58,30065.38,29104.58,SL,0.06,-261.20361478332933,-43.18761478333332,-0.0,218.01599999999598,-1.1980937857007474,49113.364824053344,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260826_190000_sar,SELL,2026-09-01 12:06:00+00:00,2026-09-01 12:06:00+00:00,2026-09-01 13:39:00+00:00,29104.58,29286.26,29013.740000000005,29013.740000000005,TP,0.06,109.0079999999958,0.0,-0.0,218.01599999999598,0.49999999999998995,49222.37282405334,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260901_142000,BUY,2026-09-01 14:20:00+00:00,2026-09-01 14:26:00+00:00,2026-09-01 18:42:00+00:00,29125.71,28988.25,29600.85,28988.25,SL,0.1,-274.91999999999825,0.0,-0.0,274.91999999999825,-1.0,48947.45282405334,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260901_142000_sar,SELL,2026-09-01 18:42:00+00:00,2026-09-01 18:42:00+00:00,2026-09-02 08:54:00+00:00,28988.25,29125.71,28919.52,28919.52,TP,0.1,135.31100373333246,-2.148996266666667,-0.0,274.91999999999825,0.4921831941413259,49082.76382778667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260902_141000,BUY,2026-09-02 14:10:00+00:00,2026-09-02 14:16:00+00:00,2026-09-03 18:00:00+00:00,29081.25,28967.63,29513.88,29513.88,TP,0.11,938.7525636500023,-13.03343635,-0.0,249.96399999999778,3.7555510539518115,50021.51639143667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260908_010500,BUY,2026-09-08 01:05:00+00:00,2026-09-08 01:10:00+00:00,2026-09-08 06:02:00+00:00,29630.83,29572.83,29844.68,29572.83,SL,0.23,-266.8,0.0,-0.0,266.8,-1.0,49754.71639143667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260908_010500_sar,SELL,2026-09-08 06:02:00+00:00,2026-09-08 06:02:00+00:00,2026-09-08 06:18:00+00:00,29572.83,29630.83,29543.83,29543.83,TP,0.23,133.4,0.0,-0.0,266.8,0.5,49888.11639143667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260909_140000,BUY,2026-09-09 14:00:00+00:00,2026-09-09 14:06:00+00:00,2026-09-09 15:11:00+00:00,29564.0,29391.88,30189.98,29391.88,SL,0.07,-240.9679999999986,0.0,-0.0,240.9679999999986,-1.0,49647.14839143667,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260909_140000_sar,SELL,2026-09-09 15:11:00+00:00,2026-09-09 15:11:00+00:00,2026-09-10 11:11:00+00:00,29391.88,29564.0,29305.82,29305.82,TP,0.07,118.96200585500185,-1.5219941450000003,-0.0,240.9679999999986,0.49368383293633405,49766.11039729167,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260910_142000,BUY,2026-09-10 14:20:00+00:00,2026-09-10 14:26:00+00:00,2026-09-11 03:33:00+00:00,29215.25,29029.63,29887.73,29029.63,SL,0.07,-268.1641001083319,-8.296100108333333,-0.0,259.8679999999986,-1.0319242850536943,49497.946297183335,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260910_142000_sar,SELL,2026-09-11 03:33:00+00:00,2026-09-11 03:33:00+00:00,2026-09-11 05:56:00+00:00,29029.63,29215.25,28936.82,29215.25,SL,0.07,-259.8679999999986,0.0,-0.0,259.8679999999986,-1.0,49238.07829718334,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260911_152500,BUY,2026-09-11 15:25:00+00:00,2026-09-11 15:30:00+00:00,2026-09-13 22:00:00+00:00,29463.81,29326.58,29999.58,29074.95,SL_GAP_PROXY,0.09,-732.235862025001,-32.287862025,-0.0,247.01399999999919,-2.9643496402025935,48505.84243515834,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260911_152500_sar,SELL,2026-09-13 22:00:00+00:00,2026-09-13 22:00:00+00:00,2026-09-13 22:05:00+00:00,29074.95,29212.18,29006.335,29006.335,TP,0.09,123.50700000000288,0.0,-0.0,247.01399999999919,0.5000000000000133,48629.34943515834,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260914_140500,BUY,2026-09-14 14:05:00+00:00,2026-09-14 14:10:00+00:00,2026-09-16 19:10:00+00:00,29051.2,28864.08,29784.08,28864.08,SL,0.06,-238.75014838999877,-14.206148390000001,-0.0,224.54399999999876,-1.0632666577151921,48390.599286768345,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260914_140500_sar,SELL,2026-09-16 19:10:00+00:00,2026-09-16 19:10:00+00:00,2026-09-16 19:25:00+00:00,28864.08,29051.2,28770.520000000004,28770.520000000004,TP,0.06,112.2719999999972,0.0,-0.0,224.54399999999876,0.49999999999999034,48502.87128676834,False,False
