task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260622_140500,BUY,2026-06-22 14:05:00+00:00,2026-06-22 14:10:00+00:00,2026-06-22 14:27:00+00:00,30635.68,30440.95,31407.2,30440.95,SL,0.06,-233.67599999999948,0.0,-0.0,233.67599999999948,-1.0,49766.324,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260623_140000,BUY,2026-06-23 14:00:00+00:00,2026-06-23 14:06:00+00:00,2026-06-23 18:45:00+00:00,29654.05,29307.08,31142.68,29307.08,SL,0.03,-208.1819999999985,0.0,-0.0,208.1819999999985,-1.0,49558.142,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260624_145500,BUY,2026-06-24 14:55:00+00:00,2026-06-24 15:00:00+00:00,2026-06-24 17:07:00+00:00,29583.91,29256.5,30881.85,29256.5,SL,0.03,-196.4459999999999,0.0,-0.0,196.4459999999999,-1.0,49361.695999999996,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260626_140000,BUY,2026-06-26 14:00:00+00:00,2026-06-26 14:06:00+00:00,2026-07-08 08:25:00+00:00,29231.489999999998,28885.89,30645.39,28885.89,SL,0.03,-250.58773187333247,-43.22773187333333,-0.0,207.35999999999913,-1.2084670711484062,49111.10826812666,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260708_172000,BUY,2026-07-08 17:20:00+00:00,2026-07-08 17:26:00+00:00,2026-07-16 19:15:00+00:00,29207.14,28970.85,30088.65,28970.85,SL,0.05,-284.49678341666754,-48.20678341666666,-0.0,236.29000000000087,-1.204015334617066,48826.611484709996,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260717_140000,BUY,2026-07-17 14:00:00+00:00,2026-07-17 14:06:00+00:00,2026-07-24 13:52:00+00:00,28583.05,28218.33,29776.43,28218.33,SL,0.03,-243.39251005499852,-24.560510054999995,-0.0,218.83199999999852,-1.1122345454732405,48583.218974655,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260728_153500,BUY,2026-07-28 15:35:00+00:00,2026-07-28 15:40:00+00:00,2026-07-29 14:14:00+00:00,27856.07,27490.62,29310.52,27490.62,SL,0.03,-222.66680263000043,-3.3968026299999994,-0.0,219.27000000000044,-1.0154914152870889,48360.552172024996,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260729_184500,BUY,2026-07-29 18:45:00+00:00,2026-07-29 18:50:00+00:00,2026-07-29 19:26:00+00:00,27903.75,27519.84,29380.19,27519.84,SL,0.03,-230.34599999999992,0.0,-0.0,230.34599999999992,-1.0,48130.206172025,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260730_140000,BUY,2026-07-30 14:00:00+00:00,2026-07-30 14:06:00+00:00,2026-08-04 14:07:00+00:00,28006.43,27672.58,29404.43,29404.43,TP,0.03,821.4783291783333,-17.321670821666665,-0.0,200.30999999999912,4.10103504157724,48951.68450120333,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260804_140500,BUY,2026-08-04 14:05:00+00:00,2026-08-04 14:10:00+00:00,2026-08-24 06:02:00+00:00,29397.449999999997,29092.1,30609.6,29092.1,SL,0.04,-340.83778376888773,-96.55778376888891,-0.0,244.27999999999884,-1.395275027709552,48610.84671743444,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260826_190000,BUY,2026-08-26 19:00:00+00:00,2026-08-26 19:06:00+00:00,2026-09-01 12:06:00+00:00,29286.26,29104.58,30065.38,29104.58,SL,0.06,-261.20361478332933,-43.18761478333332,-0.0,218.01599999999598,-1.1980937857007474,48349.64310265111,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260901_142000,BUY,2026-09-01 14:20:00+00:00,2026-09-01 14:26:00+00:00,2026-09-01 18:42:00+00:00,29125.71,28988.25,29600.85,28988.25,SL,0.09,-247.4279999999984,0.0,-0.0,247.4279999999984,-1.0,48102.21510265111,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260902_141000,BUY,2026-09-02 14:10:00+00:00,2026-09-02 14:16:00+00:00,2026-09-03 18:00:00+00:00,29081.25,28967.63,29513.88,29513.88,TP,0.11,938.7525636500023,-13.03343635,-0.0,249.96399999999778,3.7555510539518115,49040.96766630111,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260908_010500,BUY,2026-09-08 01:05:00+00:00,2026-09-08 01:10:00+00:00,2026-09-08 06:02:00+00:00,29630.83,29572.83,29844.68,29572.83,SL,0.22,-255.20000000000002,0.0,-0.0,255.20000000000002,-1.0,48785.767666301115,False,False
OrbBreakout_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260909_140000,BUY,2026-09-09 14:00:00+00:00,2026-09-09 14:06:00+00:00,2026-09-09 15:11:00+00:00,29564.0,29391.88,30189.98,29391.88,SL,0.07,-240.9679999999986,0.0,-0.0,240.9679999999986,-1.0,48544.799666301114,False,False
