task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_160100,BUY,2026-03-23 16:01:00+00:00,2026-03-23 16:02:00+00:00,2026-03-23 16:58:00+00:00,46651.549999999996,46292.0,48086.75,46292.0,SL,0.06,-215.72999999999737,0.0,-0.0,215.72999999999737,-1.0,49784.270000000004,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_160100_sar,SELL,2026-03-23 16:58:00+00:00,2026-03-23 16:58:00+00:00,2026-03-23 17:29:00+00:00,46292.0,46651.549999999996,46112.225000000006,46112.225000000006,TP,0.06,107.8649999999965,0.0,-0.0,215.72999999999737,0.49999999999998984,49892.135,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_152700,BUY,2026-03-24 15:27:00+00:00,2026-03-24 15:28:00+00:00,2026-03-27 11:55:00+00:00,46117.36,45797.5,47391.3,45797.5,SL,0.07,-243.43168500000044,-19.529685000000004,-0.0,223.90200000000044,-1.087224254361283,49648.703315,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_152700_sar,SELL,2026-03-27 11:55:00+00:00,2026-03-27 11:55:00+00:00,2026-03-27 14:30:00+00:00,45797.5,46117.36,45637.57,45637.57,TP,0.07,111.95100000000022,0.0,-0.0,223.90200000000044,0.5,49760.654315,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260331_013200,BUY,2026-03-31 01:32:00+00:00,2026-03-31 01:34:00+00:00,2026-04-07 22:06:00+00:00,45635.799999999996,45280.95,47047.2,47047.2,TP,0.07,935.9008400000012,-52.07916000000001,-0.0,248.39499999999902,3.767792588417661,50696.555155,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:01:00+00:00,47983.549999999996,47694.95,48987.45,47454.2,SL_GAP_PROXY,0.09,-509.8944599999987,-33.47946,-0.0,259.73999999999864,-1.9630956340956391,50186.660695000006,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200_sar,SELL,2026-04-12 22:01:00+00:00,2026-04-12 22:01:00+00:00,2026-04-13 11:00:00+00:00,47454.2,47742.799999999996,47309.899999999994,47742.799999999996,SL,0.09,-259.73999999999864,0.0,-0.0,259.73999999999864,-1.0,49926.92069500001,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260413_161700,BUY,2026-04-13 16:17:00+00:00,2026-04-13 16:18:00+00:00,2026-04-17 12:24:00+00:00,47772.89,47500.45,48859.65,48859.65,TP,0.09,944.6045400000017,-33.47946,-0.0,245.19600000000207,3.8524467772720343,50871.52523500001,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300,BUY,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-19 22:01:00+00:00,49584.549999999996,49064.45,51656.95,48907.7,SL_GAP_PROXY,0.04,-281.89981999999947,-11.15982,-0.0,208.03999999999942,-1.3550270140357636,50589.62541500001,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300_sar,SELL,2026-04-19 22:01:00+00:00,2026-04-19 22:01:00+00:00,2026-04-20 13:30:00+00:00,48907.7,49427.799999999996,48647.649999999994,49427.799999999996,SL,0.04,-208.03999999999942,0.0,-0.0,208.03999999999942,-1.0,50381.58541500001,False,False
