task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_160100,BUY,2026-03-23 16:01:00+00:00,2026-03-23 16:02:00+00:00,2026-03-23 16:58:00+00:00,46651.549999999996,46292.0,48086.75,46292.0,SL,0.06,-215.72999999999737,0.0,-0.0,215.72999999999737,-1.0,49784.270000000004,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_152700,BUY,2026-03-24 15:27:00+00:00,2026-03-24 15:28:00+00:00,2026-03-27 11:55:00+00:00,46117.36,45797.5,47391.3,45797.5,SL,0.07,-243.43168500000044,-19.529685000000004,-0.0,223.90200000000044,-1.087224254361283,49540.838315,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260331_013200,BUY,2026-03-31 01:32:00+00:00,2026-03-31 01:34:00+00:00,2026-04-07 22:06:00+00:00,45635.799999999996,45280.95,47047.2,47047.2,TP,0.07,935.9008400000012,-52.07916000000001,-0.0,248.39499999999902,3.767792588417661,50476.739155,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:01:00+00:00,47983.549999999996,47694.95,48987.45,47454.2,SL_GAP_PROXY,0.09,-509.8944599999987,-33.47946,-0.0,259.73999999999864,-1.9630956340956391,49966.84469500001,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260413_161700,BUY,2026-04-13 16:17:00+00:00,2026-04-13 16:18:00+00:00,2026-04-17 12:24:00+00:00,47772.89,47500.45,48859.65,48859.65,TP,0.09,944.6045400000017,-33.47946,-0.0,245.19600000000207,3.8524467772720343,50911.44923500001,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300,BUY,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-19 22:01:00+00:00,49584.549999999996,49064.45,51656.95,48907.7,SL_GAP_PROXY,0.04,-281.89981999999947,-11.15982,-0.0,208.03999999999942,-1.3550270140357636,50629.54941500001,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260420_203400,BUY,2026-04-20 20:34:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 15:26:00+00:00,49510.6,49345.95,50051.95,49345.95,SL,0.17,-295.71474500000255,-15.809745000000003,-0.0,279.90500000000253,-1.0564825387184933,50333.834670000004,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260423_145000,BUY,2026-04-23 14:50:00+00:00,2026-04-23 14:52:00+00:00,2026-04-23 17:09:00+00:00,49478.26,49217.45,50593.05,49217.45,SL,0.09,-234.72900000000442,0.0,-0.0,234.72900000000442,-1.0,50099.10567,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260430_143100,BUY,2026-04-30 14:31:00+00:00,2026-04-30 14:32:00+00:00,2026-05-04 15:48:00+00:00,49466.049999999996,49045.75,51139.25,49045.75,SL,0.05,-228.74969999999783,-18.599700000000002,-0.0,210.14999999999782,-1.0885067808708075,49870.35597,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260505_145900,BUY,2026-05-05 14:59:00+00:00,2026-05-05 15:00:00+00:00,2026-05-21 17:52:00+00:00,49272.42,49006.45,50328.3,50328.3,TP,0.09,816.3741600000042,-133.91784,-0.0,239.373000000001,3.410468849870289,50686.73013,False,False
