task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260323_151900,BUY,2026-03-23 15:19:00+00:00,2026-03-23 15:20:00+00:00,2026-03-23 17:01:00+00:00,22942.570000000003,22659.33,24070.58,22659.33,SL,0.03,-245.7836343000014,0.0,-0.0,245.7836343000014,-1.0,49754.2163657,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260324_155200,BUY,2026-03-24 15:52:00+00:00,2026-03-24 15:54:00+00:00,2026-03-27 09:28:00+00:00,22612.570000000003,22417.18,23306.43,22417.18,SL,0.04,-235.84529266200352,-10.580161661999998,-0.0,226.84583610000354,-1.039672125866276,49518.371073038,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260327_144800,BUY,2026-03-27 14:48:00+00:00,2026-03-27 14:50:00+00:00,2026-03-27 14:53:00+00:00,22335.070000000003,22281.08,22638.08,22281.08,SL,0.12,-186.73521300000556,0.0,-0.0,186.73521300000556,-1.0,49331.63586003799,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260330_143800,BUY,2026-03-30 14:38:00+00:00,2026-03-30 14:40:00+00:00,2026-03-30 19:11:00+00:00,22426.29,22340.69,22845.19,22340.69,SL,0.08,-197.083728000005,0.0,-0.0,197.083728000005,-1.0,49134.552132037985,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260331_164000,BUY,2026-03-31 16:40:00+00:00,2026-03-31 16:42:00+00:00,2026-04-02 11:59:00+00:00,23036.760000000002,22711.99,23627.79,22711.99,SL,0.04,-383.46511880800057,-7.0534411079999995,-0.0,372.1539430000005,-1.0303938088545257,48751.08701322998,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260402_141500,BUY,2026-04-02 14:15:00+00:00,2026-04-02 14:16:00+00:00,2026-04-07 22:01:00+00:00,22896.09,22755.94,23449.89,23464.35,TP,0.06,956.7250546139973,-31.74048498599999,-0.0,243.65287725000255,3.9265904240988694,49707.81206784398,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:03:00+00:00,23797.02,23676.93,24326.38,23461.55,SL_GAP_PROXY,0.06,-611.4147562740021,-21.160323323999997,-0.0,210.05902620000026,-2.9106807135812636,49096.39731156998,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260413_145800,BUY,2026-04-13 14:58:00+00:00,2026-04-13 15:00:00+00:00,2026-04-17 12:49:00+00:00,23740.56,23562.32,24496.37,24496.37,TP,0.04,876.4262502839972,-14.106882215999999,-0.0,209.07373760000186,4.19194806743623,49972.82356185398,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260417_142100,BUY,2026-04-17 14:21:00+00:00,2026-04-17 14:22:00+00:00,2026-04-17 17:24:00+00:00,24716.980000000003,24570.74,25295.24,24570.74,SL,0.05,-215.38410000000238,0.0,-0.0,215.38410000000238,-1.0,49757.43946185397,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260420_203500,BUY,2026-04-20 20:35:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 13:17:00+00:00,24496.42,24415.22,24789.72,24415.22,SL,0.11,-272.89995852349057,-9.6984815235,-0.0,262.6633239999906,-1.038972454804921,49484.53950333048,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260423_145200,BUY,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 15:44:00+00:00,24174.66,24101.07,24456.82,24101.07,SL,0.11,-236.88712987500045,0.0,-0.0,236.88712987500045,-1.0,49247.65237345548,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260424_144300,BUY,2026-04-24 14:43:00+00:00,2026-04-24 14:44:00+00:00,2026-04-27 14:59:00+00:00,24160.050000000003,24092.41,24422.76,24092.41,SL,0.12,-269.60127978601076,-31.740484985999995,-0.0,237.0612900000107,-1.1372640374394258,48978.05109366947,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260429_140400,BUY,2026-04-29 14:04:00+00:00,2026-04-29 14:06:00+00:00,2026-04-29 15:53:00+00:00,23971.7,23864.76,24404.51,23864.76,SL,0.07,-219.21416720000482,0.0,-0.0,219.21416720000482,-1.0,48758.83692646946,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260430_142200,BUY,2026-04-30 14:22:00+00:00,2026-04-30 14:24:00+00:00,2026-05-04 10:07:00+00:00,24158.320000000003,24076.94,24493.49,24076.94,SL,0.1,-273.71264004001364,-35.26720554,-0.0,237.48921950001363,-1.1525265888542697,48485.12428642945,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260505_150400,BUY,2026-05-05 15:04:00+00:00,2026-05-05 15:06:00+00:00,2026-05-06 07:10:00+00:00,24353.45,24265.61,24701.86,24701.86,TP,0.09,908.7838502534996,-7.9351212465,-0.0,231.0629004000004,3.933058265434541,49393.90813668295,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260506_141600,BUY,2026-05-06 14:16:00+00:00,2026-05-06 14:18:00+00:00,2026-05-07 13:33:00+00:00,24919.24,24825.98,25284.58,24825.98,SL,0.09,-254.4261973965054,-7.9351212465,-0.0,245.38104900000536,-1.0368616420598147,49139.481939286445,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260511_152200,BUY,2026-05-11 15:22:00+00:00,2026-05-11 15:24:00+00:00,2026-05-11 16:42:00+00:00,24349.52,24286.35,24566.4,24286.35,SL,0.14,-260.6046765000078,0.0,-0.0,260.6046765000078,-1.0,48878.87726278644,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260512_141500,BUY,2026-05-12 14:15:00+00:00,2026-05-12 14:16:00+00:00,2026-05-12 14:31:00+00:00,24067.850000000002,24014.43,24275.98,24014.43,SL,0.15,-236.00087925000835,0.0,-0.0,236.00087925000835,-1.0,48642.87638353643,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260513_140800,BUY,2026-05-13 14:08:00+00:00,2026-05-13 14:10:00+00:00,2026-05-14 07:00:00+00:00,24102.95,24052.31,24350.61,24350.61,TP,0.13,931.3277695994994,-11.4618418005,-0.0,193.21856579999778,4.820073918587745,49574.20415313593,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260514_140400,BUY,2026-05-14 14:04:00+00:00,2026-05-14 14:06:00+00:00,2026-05-14 17:16:00+00:00,24405.9,24344.51,24610.26,24344.51,SL,0.15,-269.6525055000134,0.0,-0.0,269.6525055000134,-1.0,49304.55164763591,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260518_222200,BUY,2026-05-18 22:22:00+00:00,2026-05-18 22:24:00+00:00,2026-05-19 01:00:00+00:00,24440.809999999998,24304.15,24965.95,24304.15,SL,0.06,-238.9158449999934,0.0,-0.0,238.9158449999934,-1.0,49065.635802635916,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260520_141500,BUY,2026-05-20 14:15:00+00:00,2026-05-20 14:16:00+00:00,2026-05-25 09:39:00+00:00,24597.83,24436.17,25237.17,25237.17,TP,0.05,905.2007902874949,-22.0420034625,-0.0,234.51409975000507,3.859899218223766,49970.83659292341,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260525_142000,BUY,2026-05-25 14:20:00+00:00,2026-05-25 14:22:00+00:00,2026-05-26 00:09:00+00:00,25348.81,25281.04,25573.29,25281.04,SL,0.14,-288.5144043390019,-12.343521939,-0.0,275.20549875000177,-1.0483598825221512,49682.32218858441,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260528_141200,BUY,2026-05-28 14:12:00+00:00,2026-05-28 14:14:00+00:00,2026-06-01 13:33:00+00:00,25229.11,24968.21,26015.26,24968.21,SL,0.04,-318.30323721600166,-14.106882215999999,-0.0,303.3353850000017,-1.0493442339936698,49364.01895136841,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260601_153000,BUY,2026-06-01 15:30:00+00:00,2026-06-01 15:32:00+00:00,2026-06-03 07:01:00+00:00,25027.31,24915.35,25557.9,24915.35,SL,0.06,-205.90277866200478,-10.580161661999998,-0.0,195.80964300000485,-1.0515456517225745,49158.1161727064,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260611_140100,BUY,2026-06-11 14:01:00+00:00,2026-06-11 14:02:00+00:00,2026-06-11 17:03:00+00:00,24325.13,24181.64,24890.64,24181.64,SL,0.06,-248.28863895000276,0.0,-0.0,248.28863895000276,-1.0,48909.8275337564,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260612_145300,BUY,2026-06-12 14:53:00+00:00,2026-06-12 14:54:00+00:00,2026-07-02 10:47:00+00:00,24582.320000000003,24410.21,25267.06,25267.06,TP,0.04,708.4600499199977,-70.53441108,-0.0,199.2724002000049,3.555234188020686,49618.28758367639,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260703_010500,BUY,2026-07-03 01:05:00+00:00,2026-07-03 01:06:00+00:00,2026-07-07 14:15:00+00:00,25673.809999999998,25496.72,26355.67,25496.72,SL,0.05,-270.890011769995,-17.63360277,-0.0,253.10809612499503,-1.0702542349187383,49347.3975719064,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260709_143200,BUY,2026-07-09 14:32:00+00:00,2026-07-09 14:34:00+00:00,2026-07-10 14:33:00+00:00,25060.91,24967.92,25473.82,24967.92,SL,0.08,-219.61556250800365,-7.0534411079999995,-0.0,212.33150620000367,-1.0343051129733842,49127.78200939839,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260714_143400,BUY,2026-07-14 14:34:00+00:00,2026-07-14 14:36:00+00:00,2026-07-15 06:55:00+00:00,25135.070000000003,25001.08,25672.33,25001.08,SL,0.06,-234.83303948100277,-5.290080830999999,-0.0,228.70686105000277,-1.0267861593783172,48892.94896991739,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260715_142100,BUY,2026-07-15 14:21:00+00:00,2026-07-15 14:22:00+00:00,2026-07-15 16:14:00+00:00,25054.79,24950.66,25467.36,24950.66,SL,0.08,-237.85166340000234,0.0,-0.0,237.85166340000234,-1.0,48655.09730651738,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260716_141100,BUY,2026-07-16 14:11:00+00:00,2026-07-16 14:12:00+00:00,2026-07-17 01:54:00+00:00,24805.54,24724.43,25121.28,24724.43,SL,0.1,-240.86034488500164,-8.816801385,-0.0,232.45720450000164,-1.0361491931518085,48414.23696163238,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260717_145200,BUY,2026-07-17 14:52:00+00:00,2026-07-17 14:54:00+00:00,2026-07-20 19:05:00+00:00,24804.940000000002,24717.0,25164.6,24717.0,SL,0.09,-250.11939343950598,-23.8053637395,-0.0,226.42483410000597,-1.1046464688101958,48164.11756819287,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260721_142000,BUY,2026-07-21 14:20:00+00:00,2026-07-21 14:22:00+00:00,2026-07-22 10:21:00+00:00,24901.980000000003,24810.86,25268.51,25268.51,TP,0.09,932.1153656534876,-7.9351212465,-0.0,233.9975268000067,3.9834411004273096,49096.23293384636,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260724_145700,BUY,2026-07-24 14:57:00+00:00,2026-07-24 14:58:00+00:00,2026-07-26 22:02:00+00:00,25000.56,24939.57,25237.92,25284.29,TP,0.14,1092.0729691829983,-37.030565817,-0.0,242.8655344500064,4.496615675238186,50188.30590302936,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260728_140400,BUY,2026-07-28 14:04:00+00:00,2026-07-28 14:06:00+00:00,2026-07-29 03:52:00+00:00,25386.99,25308.84,25638.79,25308.84,SL,0.13,-300.67486817550537,-11.4618418005,-0.0,288.73045012500535,-1.0413687508377751,49887.63103485385,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260729_180000,BUY,2026-07-29 18:00:00+00:00,2026-07-29 18:02:00+00:00,2026-07-29 19:21:00+00:00,25563.49,25442.77,26016.22,25442.77,SL,0.07,-240.55964940000234,0.0,-0.0,240.55964940000234,-1.0,49647.07138545385,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260730_142200,BUY,2026-07-30 14:22:00+00:00,2026-07-30 14:24:00+00:00,2026-08-04 01:53:00+00:00,25623.79,25506.15,26121.65,26121.65,TP,0.07,971.8162993525015,-30.8588048475,-0.0,236.05054199999887,4.116983977747046,50618.88768480635,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260804_153800,BUY,2026-08-04 15:38:00+00:00,2026-08-04 15:40:00+00:00,2026-08-05 10:21:00+00:00,26246.74,26189.02,26488.87,26189.02,SL,0.14,-245.31298593900476,-12.343521939,-0.0,232.49269680000475,-1.0551427606778905,50373.57469886735,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260806_140100,BUY,2026-08-06 14:01:00+00:00,2026-08-06 14:02:00+00:00,2026-08-11 14:20:00+00:00,26187.13,26113.77,26476.97,26476.97,TP,0.12,950.7252612900006,-52.90080830999999,-0.0,254.249620800002,3.7393379714727706,51324.29996015735,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260813_192400,BUY,2026-08-13 19:24:00+00:00,2026-08-13 19:26:00+00:00,2026-08-17 15:31:00+00:00,26397.86,26347.73,26577.83,26347.73,SL,0.19,-342.48820745100556,-67.00769052599999,-0.0,274.42565640000555,-1.2480181771043717,50981.811752706344,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260819_143700,BUY,2026-08-19 14:37:00+00:00,2026-08-19 14:38:00+00:00,2026-08-19 18:10:00+00:00,26123.050000000003,26059.73,26368.48,26059.73,SL,0.14,-256.5207176000136,0.0,-0.0,256.5207176000136,-1.0,50725.29103510633,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260820_144700,BUY,2026-08-20 14:47:00+00:00,2026-08-20 14:48:00+00:00,2026-08-20 20:14:00+00:00,25989.63,25941.47,26175.22,25941.47,SL,0.18,-253.08995039999928,0.0,-0.0,253.08995039999928,-1.0,50472.201084706336,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260821_140500,BUY,2026-08-21 14:05:00+00:00,2026-08-21 14:06:00+00:00,2026-08-21 16:20:00+00:00,26158.16,26099.92,26384.92,26099.92,SL,0.15,-255.04533600000704,0.0,-0.0,255.04533600000704,-1.0,50217.155748706326,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260824_145700,BUY,2026-08-24 14:57:00+00:00,2026-08-24 14:58:00+00:00,2026-08-25 09:57:00+00:00,26098.5,26036.17,26341.37,26341.37,TP,0.14,979.1404656109959,-12.343521939,-0.0,254.7286857500072,3.8438563082444994,51196.29621431732,False,False
OrbBreakout_GER40_Demo,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260825_141000,BUY,2026-08-25 14:10:00+00:00,2026-08-25 14:12:00+00:00,2026-08-25 17:02:00+00:00,26294.440000000002,26244.4,26481.05,26244.4,SL,0.18,-262.6477002000046,0.0,-0.0,262.6477002000046,-1.0,50933.64851411732,False,False
