task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260323_140100,BUY,2026-03-23 14:01:00+00:00,2026-03-23 14:02:00+00:00,2026-03-23 15:58:00+00:00,22899.570000000003,22684.33,23751.83,22684.33,SL,0.04,-249.03483240000187,0.0,-0.0,249.03483240000187,-1.0,49750.9651676,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260324_140000,BUY,2026-03-24 14:00:00+00:00,2026-03-24 14:02:00+00:00,2026-03-25 00:39:00+00:00,22458.070000000003,22340.18,22949.18,22949.18,TP,0.07,991.2800156804938,-6.1717609695,-0.0,239.52094442500626,4.13859430147188,50742.245183280495,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260326_143200,BUY,2026-03-26 14:32:00+00:00,2026-03-26 14:34:00+00:00,2026-03-26 16:22:00+00:00,22759.620000000003,22588.43,23472.93,22588.43,SL,0.04,-197.86653770000268,0.0,-0.0,197.86653770000268,-1.0,50544.378645580495,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260327_153000,BUY,2026-03-27 15:30:00+00:00,2026-03-27 15:32:00+00:00,2026-03-27 17:56:00+00:00,22373.070000000003,22246.08,22810.08,22246.08,SL,0.07,-256.2118492500033,0.0,-0.0,256.2118492500033,-1.0,50288.16679633049,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260330_143800,BUY,2026-03-30 14:38:00+00:00,2026-03-30 14:40:00+00:00,2026-03-30 19:11:00+00:00,22426.29,22340.69,22845.19,22340.69,SL,0.08,-197.083728000005,0.0,-0.0,197.083728000005,-1.0,50091.08306833049,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260331_164000,BUY,2026-03-31 16:40:00+00:00,2026-03-31 16:42:00+00:00,2026-04-02 11:59:00+00:00,23036.760000000002,22711.99,23627.79,22711.99,SL,0.04,-383.46511880800057,-7.0534411079999995,-0.0,372.1539430000005,-1.0303938088545257,49707.617949522486,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260402_141500,BUY,2026-04-02 14:15:00+00:00,2026-04-02 14:16:00+00:00,2026-04-07 22:01:00+00:00,22896.09,22755.94,23449.89,23464.35,TP,0.06,956.7250546139973,-31.74048498599999,-0.0,243.65287725000255,3.9265904240988694,50664.343004136485,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:03:00+00:00,23797.02,23676.93,24326.38,23461.55,SL_GAP_PROXY,0.06,-611.4147562740021,-21.160323323999997,-0.0,210.05902620000026,-2.9106807135812636,50052.92824786248,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260413_145800,BUY,2026-04-13 14:58:00+00:00,2026-04-13 15:00:00+00:00,2026-04-17 12:49:00+00:00,23740.56,23562.32,24496.37,24496.37,TP,0.04,876.4262502839972,-14.106882215999999,-0.0,209.07373760000186,4.19194806743623,50929.35449814648,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260417_142100,BUY,2026-04-17 14:21:00+00:00,2026-04-17 14:22:00+00:00,2026-04-17 17:24:00+00:00,24716.980000000003,24570.74,25295.24,24570.74,SL,0.05,-215.38410000000238,0.0,-0.0,215.38410000000238,-1.0,50713.97039814648,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260420_203500,BUY,2026-04-20 20:35:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 13:17:00+00:00,24496.42,24415.22,24789.72,24415.22,SL,0.11,-272.89995852349057,-9.6984815235,-0.0,262.6633239999906,-1.038972454804921,50441.070439622985,False,False
