task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260323_135100,BUY,2026-03-23 13:51:00+00:00,2026-03-23 13:52:00+00:00,2026-03-23 14:35:00+00:00,53450.549999999996,52877.2,55708.45,52877.2,SL,0.14,-252.03622182729256,0.0,-0.0,252.03622182729256,-1.0,49747.96377817271,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260323_135100_sar,SELL,2026-03-23 14:35:00+00:00,2026-03-23 14:35:00+00:00,2026-03-23 15:03:00+00:00,52877.2,53450.549999999996,52590.524999999994,53450.549999999996,SL,0.14,-252.03622182729256,0.0,-0.0,252.03622182729256,-1.0,49495.927556345414,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260324_155200,BUY,2026-03-24 15:52:00+00:00,2026-03-24 15:54:00+00:00,2026-03-25 09:15:00+00:00,52795.799999999996,52388.95,54202.7,54202.7,TP,0.21,923.9524949599527,-6.6717451353,-0.0,269.64797444863757,3.4265137605769285,50419.880051305365,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260325_135200,BUY,2026-03-25 13:52:00+00:00,2026-03-25 13:54:00+00:00,2026-03-25 15:00:00+00:00,53801.049999999996,53580.95,54620.95,53580.95,SL,0.38,-263.4483453763125,0.0,-0.0,263.4483453763125,-1.0,50156.431705929055,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260325_135200_sar,SELL,2026-03-25 15:00:00+00:00,2026-03-25 15:00:00+00:00,2026-03-25 15:10:00+00:00,53580.95,53801.049999999996,53470.899999999994,53801.049999999996,SL,0.38,-263.4483453763125,0.0,-0.0,263.4483453763125,-1.0,49892.983360552746,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260326_140000,BUY,2026-03-26 14:00:00+00:00,2026-03-26 14:02:00+00:00,2026-03-26 17:26:00+00:00,53052.049999999996,52859.7,53742.2,52859.7,SL,0.45,-271.3809601444711,0.0,-0.0,271.3809601444711,-1.0,49621.60240040827,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260326_140000_sar,SELL,2026-03-26 17:26:00+00:00,2026-03-26 17:26:00+00:00,2026-03-26 18:20:00+00:00,52859.7,53052.049999999996,52763.524999999994,52763.524999999994,TP,0.45,135.6904800722407,0.0,-0.0,271.3809601444711,0.500000000000019,49757.29288048051,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260327_135500,BUY,2026-03-27 13:55:00+00:00,2026-03-27 13:56:00+00:00,2026-03-27 14:03:00+00:00,52206.799999999996,52093.2,52621.95,52093.2,SL,0.75,-266.64162989390326,0.0,-0.0,266.64162989390326,-1.0,49490.65125058661,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260327_135500_sar,SELL,2026-03-27 14:03:00+00:00,2026-03-27 14:03:00+00:00,2026-03-27 14:32:00+00:00,52093.2,52206.799999999996,52036.399999999994,52036.399999999994,TP,0.75,133.32081494696016,0.0,-0.0,266.64162989390326,0.500000000000032,49623.97206553357,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260331_013400,BUY,2026-03-31 01:34:00+00:00,2026-03-31 01:36:00+00:00,2026-03-31 03:35:00+00:00,52015.549999999996,51599.7,53632.2,51599.7,SL,0.19,-247.34378913097837,0.0,-0.0,247.34378913097837,-1.0,49376.62827640259,False,False
