task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_150200,BUY,2026-03-23 15:02:00+00:00,2026-03-23 15:04:00+00:00,2026-03-23 15:58:00+00:00,6650.9,6587.13,6911.98,6587.13,SL,0.07,-223.19499999999837,0.0,-0.0,223.19499999999837,-1.0,49776.805,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_144400,BUY,2026-03-24 14:44:00+00:00,2026-03-24 14:46:00+00:00,2026-03-26 16:17:00+00:00,6552.25,6523.22,6719.67,6523.22,SL,0.12,-190.91776830719846,-16.7377683072,-0.0,174.17999999999847,-1.0960946624595254,49585.8872316928,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800,BUY,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:01:00+00:00,6475.389999999999,6408.69,6674.94,6677.24,TP,0.09,858.1116950784017,-50.2133049216,-0.0,300.1499999999992,2.858942845505261,50443.99892677121,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500,BUY,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:01:00+00:00,6784.5199999999995,6762.84,6869.24,6743.66,SL_GAP_PROXY,0.23,-534.0514451775962,-64.1614451776,-0.0,249.3199999999929,-2.1420321080443263,49909.94748159361,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144500,BUY,2026-04-13 14:45:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:23:00+00:00,6824.0599999999995,6788.59,6963.79,6963.79,TP,0.14,968.3463018208034,-9.7636981792,-0.0,248.28999999999544,3.900061628824444,50878.29378341442,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100,BUY,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:08:00+00:00,6994.9,6966.79,7104.49,7104.49,TP,0.18,961.2033475392013,-25.106652460799996,-0.0,252.98999999999705,3.799372890387812,51839.49713095362,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100,BUY,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:01:00+00:00,7119.92,7079.84,7277.44,7052.07,SL_GAP_PROXY,0.13,-468.22387349920234,-27.198873499199998,-0.0,260.5199999999995,-1.7972665188822479,51371.27325745442,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500,BUY,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7123.639999999999,7104.62,7197.97,7104.62,SL,0.27,-256.7699999999936,0.0,-0.0,256.7699999999936,-1.0,51114.503257454424,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_195000,BUY,2026-04-22 19:50:00+00:00,2026-04-22 19:52:00+00:00,2026-04-23 00:12:00+00:00,7132.599999999999,7105.55,7239.55,7105.55,SL,0.19,-270.2257332431931,-13.2507332432,-0.0,256.9749999999931,-1.0515642893012953,50844.27752421123,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200,BUY,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 17:04:00+00:00,7137.719999999999,7115.11,7224.21,7115.11,SL,0.23,-260.01499999999623,0.0,-0.0,260.01499999999623,-1.0,50584.26252421123,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600,BUY,2026-04-24 14:46:00+00:00,2026-04-24 14:48:00+00:00,2026-04-29 18:08:00+00:00,7132.67,7111.54,7230.24,7111.54,SL,0.21,-295.09273634400114,-73.227736344,-0.0,221.86500000000115,-1.330055377567438,50289.169787867235,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260430_153100,BUY,2026-04-30 15:31:00+00:00,2026-04-30 15:32:00+00:00,2026-05-06 15:00:00+00:00,7171.929999999999,7127.71,7346.26,7346.26,TP,0.11,912.7861371552046,-46.028862844799995,-0.0,243.2099999999964,3.753078151207673,51201.95592502244,False,False
