task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_160100_inv,SELL,2026-03-23 16:01:00+00:00,2026-03-23 16:02:00+00:00,2026-03-23 16:58:00+00:00,46650.45,48086.75,46292.0,46292.0,TP,0.01,35.84499999999971,0.0,-0.0,143.6300000000003,0.24956485413910487,50035.845,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_152700_inv,SELL,2026-03-24 15:27:00+00:00,2026-03-24 15:28:00+00:00,2026-03-27 11:55:00+00:00,46116.26,47391.3,45797.5,45797.5,TP,0.01,32.240700000100205,0.36470000010000003,-0.0,127.50400000000009,0.25286030242267055,50068.0857000001,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260331_013200_inv,SELL,2026-03-31 01:32:00+00:00,2026-03-31 01:34:00+00:00,2026-04-07 22:05:00+00:00,45633.2,47047.2,45280.95,47047.2,SL,0.01,-140.4274666664,0.9725333336000002,-0.0,141.4,-0.9931221122093351,49927.6582333337,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200_inv,SELL,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:01:00+00:00,47982.45,48987.45,47694.95,47456.799999999996,TP,0.02,106.10253333360029,0.9725333336,-0.0,201.0,0.5278733001671656,50033.7607666673,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260413_161700_inv,SELL,2026-04-13 16:17:00+00:00,2026-04-13 16:18:00+00:00,2026-04-17 12:13:00+00:00,47771.79,48859.65,47500.45,48859.65,SL,0.02,-216.5994666664001,0.9725333336,-0.0,217.57200000000012,-0.9955300620778409,49817.1613000009,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300_inv,SELL,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-19 22:01:00+00:00,49583.45,51656.95,49064.45,48910.299999999996,TP,0.01,67.67970000010015,0.36470000010000003,-0.0,207.35000000000002,0.32640318302435567,49884.841000001004,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260420_203400_inv,SELL,2026-04-20 20:34:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 15:26:00+00:00,49509.5,50051.95,49345.95,49345.95,TP,0.04,65.90626666680117,0.4862666668,-0.0,216.97999999999885,0.3037435093870473,49950.74726666781,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260423_145000_inv,SELL,2026-04-23 14:50:00+00:00,2026-04-23 14:52:00+00:00,2026-04-23 17:09:00+00:00,49477.16,50593.05,49217.45,49217.45,TP,0.02,51.942000000001286,0.0,-0.0,223.17799999999988,0.23273799388829236,50002.68926666781,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260430_143100_inv,SELL,2026-04-30 14:31:00+00:00,2026-04-30 14:32:00+00:00,2026-05-04 15:48:00+00:00,49464.95,51139.25,49045.75,49045.75,TP,0.01,42.40626666679971,0.4862666668,-0.0,167.4300000000003,0.2532775886448046,50045.095533334614,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260505_145900_inv,SELL,2026-05-05 14:59:00+00:00,2026-05-05 15:00:00+00:00,2026-05-21 17:52:00+00:00,49271.32,50328.3,49006.45,50328.3,SL,0.02,-207.50586666560065,3.8901333343999998,-0.0,211.39600000000064,-0.9815978857953794,49837.58966666901,False,False
