task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260323_135100_inv,SELL,2026-03-23 13:51:00+00:00,2026-03-23 13:52:00+00:00,2026-03-23 14:35:00+00:00,53443.45,55708.45,52877.2,52877.2,TP,0.03,53.33896421147819,0.0,-0.0,213.35585684591277,0.25,50053.33896421148,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260324_155200_inv,SELL,2026-03-24 15:52:00+00:00,2026-03-24 15:54:00+00:00,2026-03-25 09:15:00+00:00,52788.7,54202.7,52388.95,54202.7,SL,0.05,-223.41931556068118,-0.7239137325,-0.0,223.13256662416526,-1.0012851057147516,49829.91964865079,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260325_135200_inv,SELL,2026-03-25 13:52:00+00:00,2026-03-25 13:54:00+00:00,2026-03-25 16:16:00+00:00,53793.95,54620.95,53580.95,53580.95,TP,0.09,60.38289749711787,0.0,-0.0,234.44439544655623,0.25755743651753327,49890.30254614791,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260326_140000_inv,SELL,2026-03-26 14:00:00+00:00,2026-03-26 14:02:00+00:00,2026-03-26 17:28:00+00:00,53044.95,53742.2,52859.7,52859.7,TP,0.11,63.88892372520003,0.0,-0.0,240.4672176377637,0.2656866260308354,49954.19146987311,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260327_135500_inv,SELL,2026-03-27 13:55:00+00:00,2026-03-27 13:56:00+00:00,2026-03-27 14:03:00+00:00,52199.7,52621.95,52093.2,52093.2,TP,0.18,59.99436672612901,0.0,-0.0,237.86498920289176,0.2522202486678508,50014.185836599245,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260331_013400_inv,SELL,2026-03-31 01:34:00+00:00,2026-03-31 01:36:00+00:00,2026-03-31 03:35:00+00:00,52010.45,53632.2,51599.7,51599.7,TP,0.04,51.43375907838718,0.0,-0.0,203.07412972702232,0.2532757823338985,50065.619595677636,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260331_134900_inv,SELL,2026-03-31 13:49:00+00:00,2026-03-31 13:50:00+00:00,2026-03-31 14:53:00+00:00,51896.95,52877.95,51651.7,51651.7,TP,0.08,61.41998497370399,0.0,-0.0,245.67993989481596,0.25,50127.03958065134,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260401_142200_inv,SELL,2026-04-01 14:22:00+00:00,2026-04-01 14:24:00+00:00,2026-04-02 01:05:00+00:00,54163.95,55683.95,53830.2,53830.2,TP,0.05,51.82355611666711,-0.7239137325,-0.0,239.40627244433804,0.21646699389931853,50178.86313676801,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260402_135100_inv,SELL,2026-04-02 13:51:00+00:00,2026-04-02 13:52:00+00:00,2026-04-02 14:36:00+00:00,52392.7,53400.45,52140.45,53400.45,SL,0.07,-222.1321283496552,0.0,-0.0,222.1321283496552,-1.0,49956.73100841835,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260406_162800_inv,SELL,2026-04-06 16:28:00+00:00,2026-04-06 16:30:00+00:00,2026-04-06 17:13:00+00:00,53788.95,54815.2,53546.45,53546.45,TP,0.07,53.17082949626316,0.0,-0.0,225.0167578166601,0.23629719853836784,50009.901837914615,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260407_191900_inv,SELL,2026-04-07 19:19:00+00:00,2026-04-07 19:20:00+00:00,2026-04-07 22:32:00+00:00,53569.95,54720.7,53283.2,54720.7,SL,0.06,-217.0816119478762,-0.8686964789999999,-0.0,216.18042118314517,-1.0041686974231934,49792.82022596674,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260409_151900_inv,SELL,2026-04-09 15:19:00+00:00,2026-04-09 15:20:00+00:00,2026-04-10 12:30:00+00:00,56218.95,57141.2,55987.45,57141.2,SL,0.08,-233.1504136064473,-1.158261972,-0.0,232.63733422461578,-1.0022054902904627,49559.66981236029,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260410_140200_inv,SELL,2026-04-10 14:02:00+00:00,2026-04-10 14:04:00+00:00,2026-04-10 15:57:00+00:00,57222.95,57769.45,57073.2,57073.2,TP,0.14,65.92186851472198,0.0,-0.0,240.57630145773328,0.27401646843549865,49625.59168087501,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260413_134800_inv,SELL,2026-04-13 13:48:00+00:00,2026-04-13 13:50:00+00:00,2026-04-13 18:44:00+00:00,56893.95,57379.45,56546.95,57379.45,SL,0.11,-167.63345072854085,0.0,-0.0,167.63345072854085,-1.0,49457.95823014647,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260414_135600_inv,SELL,2026-04-14 13:56:00+00:00,2026-04-14 13:58:00+00:00,2026-04-15 02:20:00+00:00,58295.45,58969.95,58156.2,58156.2,TP,0.12,50.8719816484529,-1.7373929579999998,-0.0,253.82111475574342,0.20042454583578642,49508.83021179492,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260415_142500_inv,SELL,2026-04-15 14:25:00+00:00,2026-04-15 14:26:00+00:00,2026-04-16 00:17:00+00:00,58328.95,59027.7,58153.95,59027.7,SL,0.11,-243.3518024865291,-1.5926102115,-0.0,241.99210387124398,-1.0056187726522208,49265.478409308394,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260416_151000_inv,SELL,2026-04-16 15:10:00+00:00,2026-04-16 15:12:00+00:00,2026-04-16 16:33:00+00:00,59203.95,59859.2,59062.95,59062.95,TP,0.12,53.2192621017205,0.0,-0.0,247.31859214292453,0.21518504387638307,49318.69767141012,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260417_143300_inv,SELL,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-17 17:24:00+00:00,59833.95,60702.95,59616.7,59616.7,TP,0.09,61.4201796821009,0.0,-0.0,245.6807187284036,0.25,49380.11785109222,False,False
