task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_152300_inv,SELL,2026-03-23 15:23:00+00:00,2026-03-23 15:24:00+00:00,2026-03-23 16:52:00+00:00,6649.52,6849.78,6599.43,6599.43,TP,0.02,50.090000000000146,0.0,-0.0,200.2599999999993,0.2501248377109773,50050.09,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_155100_inv,SELL,2026-03-24 15:51:00+00:00,2026-03-24 15:52:00+00:00,2026-03-26 13:00:00+00:00,6570.76,6735.87,6529.72,6529.72,TP,0.03,62.162504392799946,0.6025043928,-0.0,247.6649999999995,0.25099430437405396,50112.252504392796,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260326_144300_inv,SELL,2026-03-26 14:43:00+00:00,2026-03-26 14:44:00+00:00,2026-03-26 17:17:00+00:00,6547.57,6629.34,6526.99,6526.99,TP,0.06,61.73999999999978,0.0,-0.0,245.3100000000013,0.2516815457991906,50173.992504392794,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800_inv,SELL,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:01:00+00:00,6474.99,6674.94,6408.69,6677.719999999999,SL_GAP_PROXY,0.02,-201.12332161919957,1.6066783808,-0.0,199.94999999999982,-1.0058680751147775,49972.8691827736,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500_inv,SELL,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:01:00+00:00,6784.12,6869.24,6762.84,6744.139999999999,TP,0.05,101.95834797600118,2.008347976,-0.0,212.79999999999973,0.4791275750751941,50074.8275307496,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144500_inv,SELL,2026-04-13 14:45:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:22:00+00:00,6823.66,6963.79,6788.59,6963.79,SL,0.03,-209.89374780360018,0.3012521964,-0.0,210.19500000000016,-0.9985667965631914,49864.933782946,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100_inv,SELL,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:08:00+00:00,6994.5,7104.49,6966.79,7104.49,SL,0.04,-219.17666080959955,0.8033391904,-0.0,219.97999999999956,-0.9963481262369306,49645.7571221364,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100_inv,SELL,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:01:00+00:00,7119.52,7277.44,7079.84,7052.549999999999,TP,0.03,101.35875658920175,0.9037565892,-0.0,236.87999999999874,0.42789073197062766,49747.1158787256,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500_inv,SELL,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7123.16,7197.97,7104.62,7104.62,TP,0.06,55.61999999999989,0.0,-0.0,224.4300000000012,0.2478278305039415,49802.7358787256,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_195000_inv,SELL,2026-04-22 19:50:00+00:00,2026-04-22 19:52:00+00:00,2026-04-23 00:12:00+00:00,7132.2,7239.55,7105.55,7105.55,TP,0.04,53.70166959519927,0.4016695952,-0.0,214.70000000000073,0.25012421795621376,49856.4375483208,False,False
