task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_150100,BUY,2026-03-23 15:01:00+00:00,2026-03-23 15:02:00+00:00,2026-03-23 16:25:00+00:00,46652.0,46176.1,48553.1,46176.1,SL,0.1,-237.95000000000073,0.0,-0.0,237.95000000000073,-1.0,49762.05,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_143400,BUY,2026-03-24 14:34:00+00:00,2026-03-24 14:36:00+00:00,2026-03-27 11:01:00+00:00,46115.75,45748.0,47696.3,45748.0,SL,0.12,-237.61445793166666,-16.964457931666665,-0.0,220.65,-1.0768840150993277,49524.435542068335,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260331_013200,BUY,2026-03-31 01:32:00+00:00,2026-03-31 01:34:00+00:00,2026-04-07 22:00:00+00:00,45635.0,45282.0,47047.0,47047.0,TP,0.14,935.3822592469445,-53.01774075305557,-0.0,247.10000000000002,3.78544014264243,50459.81780131528,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:00:00+00:00,47983.0,47695.5,48980.5,47441.1,SL_GAP_PROXY,0.19,-551.9472722122235,-37.14227221222222,-0.0,273.125,-2.0208595778937246,49907.87052910306,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260413_161900,BUY,2026-04-13 16:19:00+00:00,2026-04-13 16:20:00+00:00,2026-04-17 12:24:00+00:00,47774.09,47501.5,48861.9,48861.9,TP,0.18,943.4939406450043,-35.535059354999994,-0.0,245.33099999999683,3.845799921921879,50851.36446974806,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300,BUY,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-19 22:00:00+00:00,49584.0,49064.5,51649.5,48894.1,SL_GAP_PROXY,0.09,-324.04563912750064,-13.590639127500001,-0.0,233.77499999999998,-1.3861432536734068,50527.31883062056,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260420_203400,BUY,2026-04-20 20:34:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 15:26:00+00:00,49514.54,49343.1,50081.1,49343.1,SL,0.34,-308.5804212166707,-17.132421216666668,-0.0,291.448000000004,-1.0587838009410475,50218.73840940389,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260423_145000,BUY,2026-04-23 14:50:00+00:00,2026-04-23 14:52:00+00:00,2026-04-23 17:09:00+00:00,49478.21,49218.0,50591.1,49218.0,SL,0.18,-234.1889999999992,0.0,-0.0,234.1889999999992,-1.0,49984.549409403895,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260430_143100,BUY,2026-04-30 14:31:00+00:00,2026-04-30 14:32:00+00:00,2026-05-04 15:48:00+00:00,49465.5,49045.8,51134.3,49045.8,SL,0.11,-253.0272853991651,-22.19228539916667,-0.0,230.83499999999842,-1.0961391703994925,49731.52212400473,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260505_145900,BUY,2026-05-05 14:59:00+00:00,2026-05-05 15:00:00+00:00,2026-05-21 17:51:00+00:00,49271.87,49007.0,50321.35,50321.35,TP,0.18,799.0038164224964,-145.5281835775,-0.0,238.38300000000234,3.3517650856918846,50530.52594042723,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260522_152900,BUY,2026-05-22 15:29:00+00:00,2026-05-22 15:30:00+00:00,2026-05-26 14:53:00+00:00,50708.76,50533.5,51412.25,50533.5,SL,0.28,-303.14176802778064,-57.77776802777778,-0.0,245.36400000000287,-1.2354777719134717,50227.38417239945,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260527_143100,BUY,2026-05-27 14:31:00+00:00,2026-05-27 14:32:00+00:00,2026-05-28 04:01:00+00:00,50828.3,50537.3,51982.3,50537.3,SL,0.17,-256.12780704180557,-8.777807041805557,-0.0,247.35000000000002,-1.0354873945494463,49971.25636535764,False,False
