task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260323_151900,BUY,2026-03-23 15:19:00+00:00,2026-03-23 15:20:00+00:00,2026-03-23 17:00:00+00:00,22939.04,22661.39,24044.59,22661.39,SL,0.03,-240.83291587500128,0.0,-0.0,240.83291587500128,-1.0,49759.167084125,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260324_155200,BUY,2026-03-24 15:52:00+00:00,2026-03-24 15:54:00+00:00,2026-03-27 09:28:00+00:00,22613.61,22420.75,23288.6,22420.75,SL,0.04,-234.18888840368265,-11.881095003681999,-0.0,223.95096060000068,-1.0457150430444813,49524.97819572132,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260327_144800,BUY,2026-03-27 14:48:00+00:00,2026-03-27 14:50:00+00:00,2026-03-27 14:52:00+00:00,22339.14,22286.23,22631.43,22286.23,SL,0.12,-182.96648369999951,0.0,-0.0,182.96648369999951,-1.0,49342.01171202132,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260330_145300,BUY,2026-03-30 14:53:00+00:00,2026-03-30 14:54:00+00:00,2026-03-30 19:11:00+00:00,22454.56,22345.95,22871.55,22345.95,SL,0.08,-250.09190260000133,0.0,-0.0,250.09190260000133,-1.0,49091.91980942131,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260331_164000,BUY,2026-03-31 16:40:00+00:00,2026-03-31 16:42:00+00:00,2026-04-02 12:00:00+00:00,23013.99,22713.35,23646.1,22713.35,SL,0.04,-356.4507066930331,-8.051036293029613,-0.0,344.62663840000346,-1.0343097920344324,48735.46910272828,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260402_141500,BUY,2026-04-02 14:15:00+00:00,2026-04-02 14:16:00+00:00,2026-04-07 22:00:00+00:00,22904.16,22764.38,23455.73,23455.73,TP,0.06,922.7800341103216,-36.256787689677836,-0.0,242.978176199998,3.7977897790737027,49658.2491368386,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260409_153200,BUY,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:05:00+00:00,23802.95,23684.81,24317.81,23464.0,SL_GAP_PROXY,0.06,-621.5924113603849,-25.1692123603835,-0.0,206.65698569999896,-3.007846113959786,49036.65672547822,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260413_145700,BUY,2026-04-13 14:57:00+00:00,2026-04-13 14:58:00+00:00,2026-04-17 12:49:00+00:00,23746.03,23565.03,24457.58,24457.58,TP,0.04,821.3183427635389,-17.029867236464444,-0.0,212.32747999999998,3.8681679015996373,49857.97506824176,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260417_142100,BUY,2026-04-17 14:21:00+00:00,2026-04-17 14:22:00+00:00,2026-04-17 17:24:00+00:00,24720.95,24577.94,25282.94,24577.94,SL,0.06,-252.74157300000357,0.0,-0.0,252.74157300000357,-1.0,49605.23349524175,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260420_203500,BUY,2026-04-20 20:35:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 13:14:00+00:00,24512.82,24429.63,24804.58,24429.63,SL,0.11,-281.5925598347069,-11.931550909711127,-0.0,269.1485585249958,-1.0462346942443514,49323.64093540704,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260423_144500,BUY,2026-04-23 14:45:00+00:00,2026-04-23 14:46:00+00:00,2026-04-23 15:44:00+00:00,24186.5,24114.58,24466.68,24114.58,SL,0.11,-231.48566759999437,0.0,-0.0,231.48566759999437,-1.0,49092.15526780705,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260424_154400,BUY,2026-04-24 15:44:00+00:00,2026-04-24 15:46:00+00:00,2026-04-27 14:53:00+00:00,24219.42,24105.28,24802.58,24105.28,SL,0.06,-219.91614762819148,-19.2374824281925,-0.0,200.02464299999897,-1.099445269992021,48872.23912017886,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260429_140400,BUY,2026-04-29 14:04:00+00:00,2026-04-29 14:06:00+00:00,2026-04-29 15:54:00+00:00,23984.46,23877.35,24412.55,23877.35,SL,0.07,-219.5232838750012,0.0,-0.0,219.5232838750012,-1.0,48652.71583630386,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260430_142200,BUY,2026-04-30 14:22:00+00:00,2026-04-30 14:24:00+00:00,2026-05-04 10:07:00+00:00,24169.46,24086.74,24507.74,24086.74,SL,0.09,-256.611498462742,-38.51422126274851,-0.0,217.2895163999935,-1.1809658501442075,48396.10433784112,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260505_150400,BUY,2026-05-05 15:04:00+00:00,2026-05-05 15:06:00+00:00,2026-05-06 07:08:00+00:00,24353.0,24265.5,24695.5,24695.5,TP,0.09,891.4037423500441,-9.672657649956001,-0.0,230.14884375000003,3.873161940880027,49287.50808019116,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260506_142000,BUY,2026-05-06 14:20:00+00:00,2026-05-06 14:22:00+00:00,2026-05-07 13:38:00+00:00,24926.21,24827.98,25286.63,24827.98,SL,0.09,-269.55790585219046,-9.910967202191625,-0.0,258.43134239999887,-1.043054233859026,49017.95017433897,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260511_152100,BUY,2026-05-11 15:21:00+00:00,2026-05-11 15:22:00+00:00,2026-05-11 16:42:00+00:00,24337.62,24283.27,24547.52,24283.27,SL,0.15,-240.22360312499356,0.0,-0.0,240.22360312499356,-1.0,48777.72657121398,False,False
OrbBreakout_GER40_Paper,GER40,setup_nasdaq_orb_m1_GER40_M1_BUY_20260512_141500,BUY,2026-05-12 14:15:00+00:00,2026-05-12 14:16:00+00:00,2026-05-12 14:31:00+00:00,24068.61,24014.01,24274.51,24014.01,SL,0.15,-241.23030750000962,0.0,-0.0,241.23030750000962,-1.0,48536.49626371397,False,False
