task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_152300,BUY,2026-03-23 15:23:00+00:00,2026-03-23 15:24:00+00:00,2026-03-23 16:52:00+00:00,6649.28,6598.73,6848.73,6598.73,SL,0.1,-252.7500000000009,0.0,-0.0,252.7500000000009,-1.0,49747.25,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_152300_sar,SELL,2026-03-23 16:52:00+00:00,2026-03-23 16:52:00+00:00,2026-03-23 17:29:00+00:00,6598.73,6649.28,6573.455,6573.455,TP,0.1,126.37499999999818,0.0,-0.0,252.7500000000009,0.499999999999991,49873.625,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_155100,BUY,2026-03-24 15:51:00+00:00,2026-03-24 15:52:00+00:00,2026-03-26 13:00:00+00:00,6572.12,6528.65,6740.1,6528.65,SL,0.11,-253.8550049750014,-14.770004975,-0.0,239.0850000000014,-1.0617772130204735,49619.769995024995,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_155100_sar,SELL,2026-03-26 13:00:00+00:00,2026-03-26 13:00:00+00:00,2026-03-26 15:15:00+00:00,6528.65,6572.12,6506.914999999999,6572.12,SL,0.11,-239.0850000000014,0.0,-0.0,239.0850000000014,-1.0,49380.684995024996,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800,BUY,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:00:00+00:00,6472.5,6407.03,6668.63,6668.63,TP,0.09,834.3963797125004,-48.18862028750001,-0.0,294.61500000000115,2.8321585109804226,50215.0813747375,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500,BUY,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:00:00+00:00,6785.1900000000005,6762.66,6872.56,6743.55,SL_GAP_PROXY,0.22,-519.1398685916703,-61.09986859166667,-0.0,247.8300000000072,-2.0947418334812378,49695.94150614583,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500_sar,SELL,2026-04-12 22:00:00+00:00,2026-04-12 22:00:00+00:00,2026-04-12 22:29:00+00:00,6743.55,6766.080000000001,6732.285,6732.285,TP,0.22,123.9150000000036,0.0,-0.0,247.8300000000072,0.5,49819.85650614583,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144400,BUY,2026-04-13 14:44:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:22:00+00:00,6824.09,6788.03,6962.98,6962.98,TP,0.14,962.4117887416627,-9.818211258333335,-0.0,252.42000000000283,3.812739833379494,50782.26829488749,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100,BUY,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:07:00+00:00,6994.13,6965.83,7102.08,7102.08,TP,0.18,945.7847018249984,-25.765298175,-0.0,254.70000000000164,3.7133282364546223,51728.05299671249,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100,BUY,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:00:00+00:00,7121.03,7080.98,7277.83,7049.95,SL_GAP_PROXY,0.13,-490.3073923583329,-28.287392358333335,-0.0,260.3250000000012,-1.8834433587182586,51237.74560435415,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100_sar,SELL,2026-04-19 22:00:00+00:00,2026-04-19 22:00:00+00:00,2026-04-20 06:57:00+00:00,7049.95,7090.0,7029.924999999999,7090.0,SL,0.13,-260.3250000000012,0.0,-0.0,260.3250000000012,-1.0,50977.42060435415,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500,BUY,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7123.150000000001,7105.18,7191.68,7105.18,SL,0.29,-260.56500000000364,0.0,-0.0,260.56500000000364,-1.0,50716.85560435415,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500_sar,SELL,2026-04-21 14:58:00+00:00,2026-04-21 14:58:00+00:00,2026-04-21 15:00:00+00:00,7105.18,7123.150000000001,7096.195,7096.195,TP,0.29,130.2825000000084,0.0,-0.0,260.56500000000364,0.5000000000000253,50847.138104354155,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_194900,BUY,2026-04-22 19:49:00+00:00,2026-04-22 19:50:00+00:00,2026-04-23 00:12:00+00:00,7133.6900000000005,7105.72,7231.62,7105.72,SL,0.2,-294.2167595833359,-14.516759583333332,-0.0,279.70000000000255,-1.0519011783458463,50552.92134477082,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_194900_sar,SELL,2026-04-23 00:12:00+00:00,2026-04-23 00:12:00+00:00,2026-04-23 00:14:00+00:00,7105.72,7133.6900000000005,7091.735000000001,7091.735000000001,TP,0.2,139.84999999999673,0.0,-0.0,279.70000000000255,0.49999999999998374,50692.771344770816,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200,BUY,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 17:04:00+00:00,7138.63,7115.98,7222.08,7115.98,SL,0.23,-260.4750000000063,0.0,-0.0,260.4750000000063,-1.0,50432.29634477081,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200_sar,SELL,2026-04-23 17:04:00+00:00,2026-04-23 17:04:00+00:00,2026-04-23 17:09:00+00:00,7115.98,7138.63,7104.654999999999,7104.654999999999,TP,0.23,130.23750000000837,0.0,-0.0,260.4750000000063,0.5000000000000201,50562.53384477082,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600,BUY,2026-04-24 14:46:00+00:00,2026-04-24 14:48:00+00:00,2026-04-29 16:34:00+00:00,7134.53,7112.85,7231.0,7112.85,SL,0.21,-304.1859041958268,-76.54590419583333,-0.0,227.6399999999935,-1.3362585845889805,50258.347940575,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600_sar,SELL,2026-04-29 16:34:00+00:00,2026-04-29 16:34:00+00:00,2026-04-29 19:13:00+00:00,7112.85,7134.53,7102.01,7134.53,SL,0.21,-227.6399999999935,0.0,-0.0,227.6399999999935,-1.0,50030.707940575005,False,False
OrbBreakout_SPX500_Demo,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260430_155500,BUY,2026-04-30 15:55:00+00:00,2026-04-30 15:56:00+00:00,2026-05-06 18:22:00+00:00,7172.89,7126.64,7353.89,7353.89,TP,0.11,946.9586458597222,-48.54135414027778,-0.0,254.375,3.7226875512912914,50977.66658643472,False,False
