task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_152300,BUY,2026-03-23 15:23:00+00:00,2026-03-23 15:24:00+00:00,2026-03-23 16:52:00+00:00,6649.28,6598.73,6848.73,6598.73,SL,0.1,-252.7500000000009,0.0,-0.0,252.7500000000009,-1.0,49747.25,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_155100,BUY,2026-03-24 15:51:00+00:00,2026-03-24 15:52:00+00:00,2026-03-26 13:00:00+00:00,6572.12,6528.65,6740.1,6528.65,SL,0.11,-253.8550049750014,-14.770004975,-0.0,239.0850000000014,-1.0617772130204735,49493.394995024995,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260326_144300,BUY,2026-03-26 14:43:00+00:00,2026-03-26 14:44:00+00:00,2026-03-26 17:17:00+00:00,6547.900000000001,6526.73,6627.98,6526.73,SL,0.24,-254.0400000000118,0.0,-0.0,254.0400000000118,-1.0,49239.35499502499,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800,BUY,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:00:00+00:00,6472.5,6407.03,6668.63,6668.63,TP,0.09,834.3963797125004,-48.18862028750001,-0.0,294.61500000000115,2.8321585109804226,50073.75137473749,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500,BUY,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:00:00+00:00,6785.1900000000005,6762.66,6872.56,6743.55,SL_GAP_PROXY,0.22,-519.1398685916703,-61.09986859166667,-0.0,247.8300000000072,-2.0947418334812378,49554.61150614582,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144400,BUY,2026-04-13 14:44:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:22:00+00:00,6824.09,6788.03,6962.98,6962.98,TP,0.14,962.4117887416627,-9.818211258333335,-0.0,252.42000000000283,3.812739833379494,50517.023294887484,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100,BUY,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:07:00+00:00,6994.13,6965.83,7102.08,7102.08,TP,0.18,945.7847018249984,-25.765298175,-0.0,254.70000000000164,3.7133282364546223,51462.80799671248,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100,BUY,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:00:00+00:00,7121.03,7080.98,7277.83,7049.95,SL_GAP_PROXY,0.13,-490.3073923583329,-28.287392358333335,-0.0,260.3250000000012,-1.8834433587182586,50972.50060435414,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500,BUY,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7123.150000000001,7105.18,7191.68,7105.18,SL,0.29,-260.56500000000364,0.0,-0.0,260.56500000000364,-1.0,50711.93560435414,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_194900,BUY,2026-04-22 19:49:00+00:00,2026-04-22 19:50:00+00:00,2026-04-23 00:12:00+00:00,7133.6900000000005,7105.72,7231.62,7105.72,SL,0.2,-294.2167595833359,-14.516759583333332,-0.0,279.70000000000255,-1.0519011783458463,50417.7188447708,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200,BUY,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 17:04:00+00:00,7138.63,7115.98,7222.08,7115.98,SL,0.23,-260.4750000000063,0.0,-0.0,260.4750000000063,-1.0,50157.2438447708,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600,BUY,2026-04-24 14:46:00+00:00,2026-04-24 14:48:00+00:00,2026-04-29 16:34:00+00:00,7134.53,7112.85,7231.0,7112.85,SL,0.21,-304.1859041958268,-76.54590419583333,-0.0,227.6399999999935,-1.3362585845889805,49853.057940574974,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260430_155500,BUY,2026-04-30 15:55:00+00:00,2026-04-30 15:56:00+00:00,2026-05-06 18:22:00+00:00,7172.89,7126.64,7353.89,7353.89,TP,0.1,860.871496236111,-44.128503763888894,-0.0,231.25,3.722687551291291,50713.929436811086,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260507_143900,BUY,2026-05-07 14:39:00+00:00,2026-05-07 14:40:00+00:00,2026-05-07 16:00:00+00:00,7376.03,7357.88,7444.63,7357.88,SL,0.29,-263.17499999999467,0.0,-0.0,263.17499999999467,-1.0,50450.75443681109,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260508_162600,BUY,2026-05-08 16:26:00+00:00,2026-05-08 16:28:00+00:00,2026-05-10 22:17:00+00:00,7399.7300000000005,7367.18,7520.93,7367.18,SL,0.16,-296.54999626666813,-36.14999626666667,-0.0,260.40000000000146,-1.1388248704557085,50154.204440544425,False,False
OrbBreakout_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260511_145300,BUY,2026-05-11 14:53:00+00:00,2026-05-11 14:54:00+00:00,2026-05-12 01:41:00+00:00,7420.09,7386.49,7551.74,7386.49,SL,0.15,-263.31496977083606,-11.314969770833333,-0.0,252.00000000000273,-1.0449006736937825,49890.88947077359,False,False
