task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260323_160100_inv,SELL,2026-03-23 16:01:00+00:00,2026-03-23 16:02:00+00:00,2026-03-23 16:58:00+00:00,46651.0,48093.1,46291.1,46291.1,TP,0.03,53.98500000000022,0.0,-0.0,216.31499999999977,0.24956660425768104,50053.985,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260324_152700_inv,SELL,2026-03-24 15:27:00+00:00,2026-03-24 15:28:00+00:00,2026-03-27 11:55:00+00:00,46115.32,47377.2,45798.0,45798.0,TP,0.03,46.82846626708329,-0.7695337329166667,-0.0,189.2819999999996,0.24740052549678992,50100.813466267085,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260331_013200_inv,SELL,2026-03-31 01:32:00+00:00,2026-03-31 01:34:00+00:00,2026-04-07 22:00:00+00:00,45634.0,47047.0,45282.0,47047.0,SL_GAP_PROXY,0.03,-214.01139919708334,-2.0613991970833334,-0.0,211.95,-1.0097258749567508,49886.80206707,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260409_153200_inv,SELL,2026-04-09 15:32:00+00:00,2026-04-09 15:34:00+00:00,2026-04-12 22:00:00+00:00,47982.0,48980.5,47695.5,47695.5,TP,0.04,55.88119560444445,-1.4188043955555556,-0.0,199.70000000000002,0.2798257165971179,49942.68326267444,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260413_161900_inv,SELL,2026-04-13 16:19:00+00:00,2026-04-13 16:20:00+00:00,2026-04-17 12:24:00+00:00,47773.09,48861.9,47501.5,48861.9,SL,0.04,-219.19482185666766,-1.4328218566666666,-0.0,217.762000000001,-1.0065797607326652,49723.488440817775,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260417_143300_inv,SELL,2026-04-17 14:33:00+00:00,2026-04-17 14:34:00+00:00,2026-04-19 22:00:00+00:00,49583.0,51649.5,49064.5,49064.5,TP,0.02,51.30200697166667,-0.5479930283333334,-0.0,206.65,0.2482555382127591,49774.79044778944,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260420_203400_inv,SELL,2026-04-20 20:34:00+00:00,2026-04-20 20:36:00+00:00,2026-04-21 15:26:00+00:00,49513.54,50081.1,49343.1,49343.1,TP,0.08,67.4445620666676,-0.7314379333333335,-0.0,227.0239999999991,0.2970811987572586,49842.23500985611,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260423_145000_inv,SELL,2026-04-23 14:50:00+00:00,2026-04-23 14:52:00+00:00,2026-04-23 17:09:00+00:00,49477.21,50591.1,49218.0,49218.0,TP,0.04,51.84199999999983,0.0,-0.0,222.7779999999999,0.23270699979351575,49894.077009856104,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260430_143100_inv,SELL,2026-04-30 14:31:00+00:00,2026-04-30 14:32:00+00:00,2026-05-04 15:48:00+00:00,49464.5,51134.3,49045.8,49045.8,TP,0.02,41.13787201833305,-0.7321279816666668,-0.0,166.9800000000003,0.24636406766279179,49935.21488187444,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260505_145900_inv,SELL,2026-05-05 14:59:00+00:00,2026-05-05 15:00:00+00:00,2026-05-21 17:51:00+00:00,49270.87,50321.35,49007.0,50321.35,SL,0.04,-215.96389401722143,-5.867894017222223,-0.0,210.0959999999992,-1.027929584652836,49719.25098785722,False,False
