task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260323_134900_inv,SELL,2026-03-23 13:49:00+00:00,2026-03-23 13:50:00+00:00,2026-03-23 14:35:00+00:00,53437.51,55664.91,52890.01,52890.01,TP,1.79,61.52303288259444,0.0,-0.0,250.29480080856794,0.24580228068600146,50061.52303288259,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260324_155200_inv,SELL,2026-03-24 15:52:00+00:00,2026-03-24 15:54:00+00:00,2026-03-25 09:15:00+00:00,52810.01,54229.99,52404.99,54229.99,SL,2.71,-243.16530584637295,-0.6478456289480594,-0.0,242.8909619960733,-1.0011294938603112,49818.35772703622,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260325_135200_inv,SELL,2026-03-25 13:52:00+00:00,2026-03-25 13:54:00+00:00,2026-03-25 15:00:00+00:00,53822.51,54634.99,53609.99,53609.99,TP,4.82,64.55625649913469,0.0,-0.0,246.8034409957448,0.26156951555731234,49882.913983535356,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260326_140000_inv,SELL,2026-03-26 14:00:00+00:00,2026-03-26 14:02:00+00:00,2026-03-26 17:28:00+00:00,53057.51,53745.01,52870.01,52870.01,TP,5.68,66.79251672948716,0.0,-0.0,244.90589467478628,0.2727272727272727,49949.706500264845,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260327_135500_inv,SELL,2026-03-27 13:55:00+00:00,2026-03-27 13:56:00+00:00,2026-03-27 14:09:00+00:00,52190.01,52629.91,52080.01,52080.01,TP,9.07,62.43859089173849,0.0,-0.0,249.69760121159868,0.250056831097976,50012.145091156584,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260331_013400_inv,SELL,2026-03-31 01:34:00+00:00,2026-03-31 01:36:00+00:00,2026-03-31 03:35:00+00:00,51987.51,53537.51,51600.01,51600.01,TP,2.57,62.364577984294165,0.0,-0.0,249.45831193717666,0.25,50074.509669140876,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260331_134900_inv,SELL,2026-03-31 13:49:00+00:00,2026-03-31 13:50:00+00:00,2026-03-31 14:53:00+00:00,51884.99,52865.01,51640.01,51640.01,TP,4.07,62.43932467467302,0.0,-0.0,249.7827862179538,0.24997449031651897,50136.948993815546,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260401_142200_inv,SELL,2026-04-01 14:22:00+00:00,2026-04-01 14:24:00+00:00,2026-04-02 01:05:00+00:00,54167.01,55712.09,53824.49,53824.49,TP,2.63,56.08874173593992,-0.6380798835719619,-0.0,256.0481150324811,0.21905547607263093,50193.03773555149,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260402_135100_inv,SELL,2026-04-02 13:51:00+00:00,2026-04-02 13:52:00+00:00,2026-04-02 14:36:00+00:00,52394.49,53416.99,52141.99,53416.99,SL,3.9,-251.11617685027173,0.0,-0.0,251.11617685027173,-1.0,49941.921558701215,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260406_162800_inv,SELL,2026-04-06 16:28:00+00:00,2026-04-06 16:30:00+00:00,2026-04-06 17:13:00+00:00,53796.99,54799.51,53562.01,53562.01,TP,4.0200000000000005,59.160744034570286,0.0,-0.0,252.4037326986921,0.23438933886605254,50001.082302735784,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20260407_191900_inv,SELL,2026-04-07 19:19:00+00:00,2026-04-07 19:20:00+00:00,2026-04-07 22:32:00+00:00,53593.99,54728.99,53303.99,54728.99,SL,3.5,-249.8416022264288,-0.8413640386616354,-0.0,248.80997118877616,-1.0041462608299967,49751.240700509356,False,False
