task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_152300_inv,SELL,2026-03-23 15:23:00+00:00,2026-03-23 15:24:00+00:00,2026-03-23 16:52:00+00:00,6648.48,6848.73,6598.73,6598.73,TP,0.02,49.75,0.0,-0.0,200.25,0.2484394506866417,50049.75,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_155100_inv,SELL,2026-03-24 15:51:00+00:00,2026-03-24 15:52:00+00:00,2026-03-26 13:01:00+00:00,6571.32,6740.1,6528.65,6528.65,TP,0.02,42.18273455000007,-0.4872654500000001,-0.0,168.78000000000065,0.24992732877118087,50091.93273455,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260326_144300_inv,SELL,2026-03-26 14:43:00+00:00,2026-03-26 14:44:00+00:00,2026-03-26 17:17:00+00:00,6547.1,6627.98,6526.73,6526.73,TP,0.06,61.1100000000024,0.0,-0.0,242.6399999999976,0.2518545994065406,50153.04273455,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800_inv,SELL,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:00:00+00:00,6471.7,6668.63,6407.03,6675.3,SL_GAP_PROXY,0.02,-205.5430306194448,-1.9430306194444444,-0.0,196.9300000000003,-1.0437365085027395,49947.49970393055,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500_inv,SELL,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:00:00+00:00,6784.39,6872.56,6762.66,6762.66,TP,0.05,51.80537872916785,-2.519621270833333,-0.0,220.42500000000018,0.23502496871574372,49999.30508265972,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144400_inv,SELL,2026-04-13 14:44:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:22:00+00:00,6823.29,6962.98,6788.03,6962.98,SL,0.03,-209.9167449124994,-0.3817449125,-0.0,209.5349999999994,-1.0018218670508507,49789.388337747216,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100_inv,SELL,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:06:00+00:00,6993.33,7102.08,6965.83,7102.08,SL,0.04,-218.53889181666668,-1.0388918166666667,-0.0,217.5,-1.004776514099617,49570.84944593055,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100_inv,SELL,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:00:00+00:00,7120.23,7277.83,7080.98,7080.98,TP,0.03,57.690545225,-1.1844547749999998,-0.0,236.40000000000055,0.24403783936125156,49628.53999115555,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500_inv,SELL,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7122.35,7191.68,7105.18,7105.18,TP,0.07,60.09500000000026,0.0,-0.0,242.65499999999977,0.24765613731429525,49688.63499115555,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_194900_inv,SELL,2026-04-22 19:49:00+00:00,2026-04-22 19:50:00+00:00,2026-04-23 00:12:00+00:00,7132.89,7231.62,7105.72,7105.72,TP,0.04,53.81319808333348,-0.5268019166666666,-0.0,197.45999999999913,0.2725270843884013,49742.44818923889,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200_inv,SELL,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 17:04:00+00:00,7137.83,7222.08,7115.98,7115.98,TP,0.05,54.62500000000091,0.0,-0.0,210.625,0.2593471810089064,49797.07318923889,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600_inv,SELL,2026-04-24 14:46:00+00:00,2026-04-24 14:48:00+00:00,2026-04-29 16:34:00+00:00,7133.73,7231.0,7112.85,7112.85,TP,0.05,48.89310554860911,-3.306894451388889,-0.0,243.1750000000011,0.20106139836993478,49845.9662947875,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260430_155500_inv,SELL,2026-04-30 15:55:00+00:00,2026-04-30 15:56:00+00:00,2026-05-06 18:18:00+00:00,7172.09,7353.89,7126.64,7353.89,SL,0.02,-183.4013890861113,-1.6013890861111113,-0.0,181.80000000000018,-1.0088085208256936,49662.56490570139,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260507_143900_inv,SELL,2026-05-07 14:39:00+00:00,2026-05-07 14:40:00+00:00,2026-05-07 16:00:00+00:00,7375.23,7444.63,7357.88,7357.88,TP,0.07,60.7249999999981,0.0,-0.0,242.90000000000194,0.24999999999999017,49723.289905701386,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260508_162600_inv,SELL,2026-05-08 16:26:00+00:00,2026-05-08 16:28:00+00:00,2026-05-12 14:30:00+00:00,7398.93,7520.93,7367.18,7367.18,TP,0.04,61.312698994444446,-2.1873010055555557,-0.0,244.0,0.2512815532559199,49784.60260469583,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260512_191500_inv,SELL,2026-05-12 19:15:00+00:00,2026-05-12 19:16:00+00:00,2026-05-14 15:15:00+00:00,7393.74,7502.62,7366.52,7502.62,SL,0.04,-218.8570445888891,-1.0970445888888891,-0.0,217.76000000000022,-1.0050378608968078,49565.74556010694,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260515_172500_inv,SELL,2026-05-15 17:25:00+00:00,2026-05-15 17:26:00+00:00,2026-05-15 20:01:00+00:00,7446.21,7651.38,7395.23,7395.23,TP,0.02,50.98000000000047,0.0,-0.0,205.17000000000007,0.24847687283716163,49616.72556010694,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260519_170300_inv,SELL,2026-05-19 17:03:00+00:00,2026-05-19 17:04:00+00:00,2026-05-28 22:00:00+00:00,7383.48,7575.23,7335.23,7576.070000000001,SL_GAP_PROXY,0.02,-195.3526996444455,-2.7626996444444445,-0.0,191.75,-1.018788524873249,49421.37286046249,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260601_153000_inv,SELL,2026-06-01 15:30:00+00:00,2026-06-01 15:32:00+00:00,2026-06-03 16:18:00+00:00,7585.76,7681.62,7563.47,7563.47,TP,0.05,54.32004711111102,-1.4049528888888891,-0.0,239.64999999999918,0.22666408141502695,49475.692907573604,False,False
