task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260323_135100_inv,SELL,2026-03-23 13:51:00+00:00,2026-03-23 13:52:00+00:00,2026-03-23 15:46:00+00:00,4451.56,4651.57,4401.67,4401.67,TP,0.01,49.84000000000033,0.0,-0.05,200.0099999999993,0.24918754062297135,50049.840000000004,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260324_135300_inv,SELL,2026-03-24 13:53:00+00:00,2026-03-24 13:54:00+00:00,2026-03-24 20:26:00+00:00,4377.6,4481.17,4351.32,4481.17,SL,0.02,-207.2399999999994,0.0,-0.1,207.13999999999942,-1.0004827652795212,49842.600000000006,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260325_145000_inv,SELL,2026-03-25 14:50:00+00:00,2026-03-25 14:52:00+00:00,2026-03-25 15:07:00+00:00,4575.21,4667.64,4556.64,4556.64,TP,0.02,37.03999999999942,0.0,-0.1,184.86000000000058,0.2003678459374624,49879.64000000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260326_134500_inv,SELL,2026-03-26 13:45:00+00:00,2026-03-26 13:46:00+00:00,2026-03-26 16:01:00+00:00,4457.11,4568.58,4429.33,4429.33,TP,0.02,55.45999999999949,0.0,-0.1,222.9400000000005,0.24876648425585074,49935.100000000006,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260327_134500_inv,SELL,2026-03-27 13:45:00+00:00,2026-03-27 13:46:00+00:00,2026-03-27 15:04:00+00:00,4434.17,4515.23,4413.63,4515.23,SL,0.03,-243.32999999999848,0.0,-0.15,243.17999999999847,-1.0006168270416975,49691.770000000004,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260331_012300_inv,SELL,2026-03-31 01:23:00+00:00,2026-03-31 01:24:00+00:00,2026-03-31 10:38:00+00:00,4576.72,4711.07,4543.12,4543.12,TP,0.01,33.55000000000037,0.0,-0.05,134.34999999999945,0.24972087830294382,49725.32000000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260331_134900_inv,SELL,2026-03-31 13:49:00+00:00,2026-03-31 13:50:00+00:00,2026-03-31 19:02:00+00:00,4589.69,4674.94,4568.34,4674.94,SL,0.02,-170.6,0.0,-0.1,170.5,-1.0005865102639295,49554.72000000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260401_142200_inv,SELL,2026-04-01 14:22:00+00:00,2026-04-01 14:24:00+00:00,2026-04-02 01:05:00+00:00,4749.06,4830.66,4730.71,4730.71,TP,0.03,57.1523400000011,2.2523400000000002,-0.15,244.79999999999836,0.23346544117647663,49611.87234000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260402_134600_inv,SELL,2026-04-02 13:46:00+00:00,2026-04-02 13:48:00+00:00,2026-04-07 22:00:00+00:00,4620.04,4721.79,4586.04,4747.9400000000005,SL_GAP_PROXY,0.02,-253.89792000000108,2.00208,-0.1,203.5,-1.2476556265356318,49357.974420000006,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260409_151700_inv,SELL,2026-04-09 15:17:00+00:00,2026-04-09 15:18:00+00:00,2026-04-10 02:13:00+00:00,4778.18,4888.94,4750.49,4750.49,TP,0.02,55.78052000000102,0.50052,-0.1,221.51999999999862,0.25180805344890467,49413.754940000006,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260410_140600_inv,SELL,2026-04-10 14:06:00+00:00,2026-04-10 14:08:00+00:00,2026-04-10 15:36:00+00:00,4775.98,4835.5,4765.15,4765.15,TP,0.04,43.119999999999706,0.0,-0.2,238.08000000000175,0.1811155913978469,49456.87494000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260413_134900_inv,SELL,2026-04-13 13:49:00+00:00,2026-04-13 13:50:00+00:00,2026-04-13 13:53:00+00:00,4738.44,4794.4,4724.45,4724.45,TP,0.04,55.759999999999124,0.0,-0.2,223.84000000000015,0.24910650464617176,49512.63494000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260414_141900_inv,SELL,2026-04-14 14:19:00+00:00,2026-04-14 14:20:00+00:00,2026-04-16 14:40:00+00:00,4804.79,4903.15,4780.2,4780.2,TP,0.02,51.08208000000029,2.00208,-0.1,196.71999999999935,0.2596689711264765,49563.71702000001,False,False
OrbBreakoutinv_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260417_135400_inv,SELL,2026-04-17 13:54:00+00:00,2026-04-17 13:56:00+00:00,2026-04-17 20:05:00+00:00,4878.22,4992.32,4848.57,4848.57,TP,0.02,59.20000000000109,0.0,-0.1,228.1999999999989,0.259421560035063,49622.917020000015,False,False
