task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260324_143400,BUY,2026-03-24 14:34:00+00:00,2026-03-24 14:36:00+00:00,2026-03-27 20:40:00+00:00,4416.05,4349.8,4613.32,4509.88,WEEKEND_FLAT,0.01,90.38069999999993,-3.3993,-0.05,66.25,1.3642369811320745,50090.3807,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260331_012300,BUY,2026-03-31 01:23:00+00:00,2026-03-31 01:24:00+00:00,2026-04-01 15:03:00+00:00,4576.900000000001,4512.58,4769.1,4769.1,TP,0.01,191.47013999999982,-0.67986,-0.05,64.32000000000062,2.9768367537313116,50281.85084,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260402_143500,BUY,2026-04-02 14:35:00+00:00,2026-04-02 14:36:00+00:00,2026-04-10 20:40:00+00:00,4683.63,4586.04,4976.72,4749.72,WEEKEND_FLAT,0.01,60.60112000000015,-5.438879999999999,-0.05,97.59000000000015,0.6209767394200232,50342.45196,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260413_172100,BUY,2026-04-13 17:21:00+00:00,2026-04-13 17:22:00+00:00,2026-04-15 01:16:00+00:00,4745.33,4709.37,4853.05,4853.05,TP,0.03,318.9308400000008,-4.07916,-0.15,107.88000000000011,2.956348164627368,50661.3828,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260416_000100,BUY,2026-04-16 00:01:00+00:00,2026-04-16 00:02:00+00:00,2026-04-16 01:37:00+00:00,4830.73,4815.86,4875.18,4815.86,SL,0.08,-119.35999999999913,0.0,-0.4,118.95999999999913,-1.0033624747814391,50542.0228,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260420_220100,BUY,2026-04-20 22:01:00+00:00,2026-04-20 22:02:00+00:00,2026-04-21 01:55:00+00:00,4828.280000000001,4807.01,4889.45,4807.01,SL,0.06,-127.92000000000262,0.0,-0.3,127.62000000000262,-1.002350728725905,50414.10279999999,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260428_165200,BUY,2026-04-28 16:52:00+00:00,2026-04-28 16:54:00+00:00,2026-04-29 08:33:00+00:00,4593.21,4564.43,4679.95,4564.43,SL,0.04,-118.03943999999899,-2.71944,-0.2,115.11999999999898,-1.025359972202919,50296.06335999999,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260429_143300,BUY,2026-04-29 14:33:00+00:00,2026-04-29 14:34:00+00:00,2026-04-30 10:16:00+00:00,4540.49,4510.02,4631.86,4631.86,TP,0.04,357.12167999999957,-8.15832,-0.2,121.87999999999738,2.9301089596324847,50653.18503999999,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260501_021700,BUY,2026-05-01 02:17:00+00:00,2026-05-01 02:18:00+00:00,2026-05-01 04:54:00+00:00,4634.82,4609.41,4710.85,4609.41,SL,0.04,-101.83999999999942,0.0,-0.2,101.63999999999942,-1.0019677292404565,50551.34503999999,False,False
OrbBreakoutwf_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260505_231400,BUY,2026-05-05 23:14:00+00:00,2026-05-05 23:16:00+00:00,2026-05-06 05:56:00+00:00,4587.01,4565.88,4657.64,4657.64,TP,0.05,352.90000000000055,0.0,-0.25,105.65000000000055,3.3402744912446636,50904.245039999994,False,False
