task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260324_143400,BUY,2026-03-24 14:34:00+00:00,2026-03-24 14:36:00+00:00,2026-03-27 20:40:00+00:00,4416.05,4349.8,4613.32,4509.88,WEEKEND_FLAT,0.03,271.1420999999998,-10.1979,-0.15,198.75,1.3642369811320745,50271.1421,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260331_012300,BUY,2026-03-31 01:23:00+00:00,2026-03-31 01:24:00+00:00,2026-04-01 15:03:00+00:00,4576.900000000001,4512.58,4769.1,4769.1,TP,0.03,574.4104199999995,-2.03958,-0.15,192.96000000000186,2.976836753731312,50845.55252,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260402_143500,BUY,2026-04-02 14:35:00+00:00,2026-04-02 14:36:00+00:00,2026-04-10 20:40:00+00:00,4683.63,4586.04,4976.72,4749.72,WEEKEND_FLAT,0.02,121.2022400000003,-10.877759999999999,-0.1,195.1800000000003,0.6209767394200232,50966.754759999996,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260413_172100,BUY,2026-04-13 17:21:00+00:00,2026-04-13 17:22:00+00:00,2026-04-15 01:16:00+00:00,4745.33,4709.37,4853.05,4853.05,TP,0.07,744.1719600000018,-9.518040000000001,-0.35000000000000003,251.72000000000028,2.9563481646273675,51710.926719999996,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260416_000100,BUY,2026-04-16 00:01:00+00:00,2026-04-16 00:02:00+00:00,2026-04-16 01:37:00+00:00,4830.73,4815.86,4875.18,4815.86,SL,0.17,-253.63999999999814,0.0,-0.8500000000000001,252.78999999999814,-1.0033624747814391,51457.28672,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260420_220100,BUY,2026-04-20 22:01:00+00:00,2026-04-20 22:02:00+00:00,2026-04-21 01:55:00+00:00,4828.280000000001,4807.01,4889.45,4807.01,SL,0.12,-255.84000000000523,0.0,-0.6,255.24000000000524,-1.002350728725905,51201.44671999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260428_165200,BUY,2026-04-28 16:52:00+00:00,2026-04-28 16:54:00+00:00,2026-04-29 08:33:00+00:00,4593.21,4564.43,4679.95,4564.43,SL,0.08,-236.07887999999798,-5.43888,-0.4,230.23999999999796,-1.025359972202919,50965.36783999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260429_143300,BUY,2026-04-29 14:33:00+00:00,2026-04-29 14:34:00+00:00,2026-04-30 10:16:00+00:00,4540.49,4510.02,4631.86,4631.86,TP,0.08,714.2433599999991,-16.31664,-0.4,243.75999999999476,2.9301089596324847,51679.61119999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260501_021700,BUY,2026-05-01 02:17:00+00:00,2026-05-01 02:18:00+00:00,2026-05-01 04:54:00+00:00,4634.82,4609.41,4710.85,4609.41,SL,0.1,-254.59999999999854,0.0,-0.5,254.09999999999854,-1.0019677292404565,51425.01119999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260505_231400,BUY,2026-05-05 23:14:00+00:00,2026-05-05 23:16:00+00:00,2026-05-06 05:56:00+00:00,4587.01,4565.88,4657.64,4657.64,TP,0.11,776.3800000000012,0.0,-0.55,232.4300000000012,3.340274491244664,52201.3912,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260507_014800,BUY,2026-05-07 01:48:00+00:00,2026-05-07 01:50:00+00:00,2026-05-07 22:00:00+00:00,4718.89,4680.25,4836.01,4680.25,SL_GAP_PROXY,0.06,-236.21916000000198,-4.07916,-0.3,231.84000000000196,-1.0188887163561076,51965.17204,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260511_224600,BUY,2026-05-11 22:46:00+00:00,2026-05-11 22:48:00+00:00,2026-05-12 03:56:00+00:00,4753.82,4718.52,4864.6,4718.52,SL,0.07,-247.44999999999493,0.0,-0.35000000000000003,247.09999999999494,-1.001416430594901,51717.72204,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260512_191200,BUY,2026-05-12 19:12:00+00:00,2026-05-12 19:14:00+00:00,2026-05-13 13:36:00+00:00,4701.31,4675.94,4780.9,4675.94,SL,0.09,-234.8987400000072,-6.11874,-0.44999999999999996,228.3300000000072,-1.0287686243594787,51482.8233,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260513_152900,BUY,2026-05-13 15:29:00+00:00,2026-05-13 15:30:00+00:00,2026-05-14 04:00:00+00:00,4691.26,4669.45,4756.57,4669.45,SL,0.11,-262.8953800000044,-22.435380000000002,-0.55,239.9100000000044,-1.0958083447959635,51219.927919999995,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260515_145600,BUY,2026-05-15 14:56:00+00:00,2026-05-15 14:58:00+00:00,2026-05-15 20:40:00+00:00,4566.26,4511.76,4718.52,4540.15,WEEKEND_FLAT,0.04,-104.64000000000233,0.0,-0.2,218.0,-0.4800000000000107,51115.287919999995,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260518_231300,BUY,2026-05-18 23:13:00+00:00,2026-05-18 23:14:00+00:00,2026-05-19 01:21:00+00:00,4586.24,4554.94,4679.78,4554.94,SL,0.08,-250.80000000000146,0.0,-0.4,250.40000000000146,-1.0015974440894568,50864.48791999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260520_143000,BUY,2026-05-20 14:30:00+00:00,2026-05-20 14:32:00+00:00,2026-05-22 20:40:00+00:00,4521.74,4467.02,4683.86,4506.5,WEEKEND_FLAT,0.04,-72.03775999999912,-10.87776,-0.2,218.87999999999738,-0.3291198830409356,50792.45015999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260525_151100,BUY,2026-05-25 15:11:00+00:00,2026-05-25 15:12:00+00:00,2026-05-25 23:35:00+00:00,4572.26,4560.13,4608.49,4560.13,SL,0.21,-270.0570600000023,-14.27706,-1.05,254.7300000000023,-1.0601698268755149,50522.393099999994,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260527_182000,BUY,2026-05-27 18:20:00+00:00,2026-05-27 18:22:00+00:00,2026-05-28 02:02:00+00:00,4456.14,4404.6,4611.92,4404.6,SL,0.04,-214.51831999999985,-8.15832,-0.2,206.15999999999985,-1.0405428793170353,50307.87477999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260528_144500,BUY,2026-05-28 14:45:00+00:00,2026-05-28 14:46:00+00:00,2026-05-29 20:40:00+00:00,4476.42,4418.19,4650.83,4542.88,WEEKEND_FLAT,0.04,262.92056000000014,-2.71944,-0.2,232.9200000000019,1.1288019921002834,50570.79533999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260601_165400,BUY,2026-06-01 16:54:00+00:00,2026-06-01 16:56:00+00:00,2026-06-03 08:51:00+00:00,4480.46,4447.68,4576.32,4447.68,SL,0.07,-239.32803999999825,-9.518040000000001,-0.35000000000000003,229.45999999999825,-1.0430054911531426,50331.46729999999,False,False
OrbBreakoutwf_XAUUSD_Paper,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20260603_145400,BUY,2026-06-03 14:54:00+00:00,2026-06-03 14:56:00+00:00,2026-06-03 22:16:00+00:00,4457.12,4426.29,4556.49,4426.29,SL,0.07,-230.43705999999952,-14.277060000000002,-0.35000000000000003,215.80999999999952,-1.06777748945832,50101.03023999999,False,False
