task,broker,symbol,case,params,deployed,n,win_pct,pf,net_r,max_dd_r,balance,dd_pct,ret_pct,swap,commission,open_trades,tp,sl,median_spread,financing_pct,capped_pct,risk_median,commission_per_lot,volume_max
OrbBreakout_DJI30_Demo,fundingpips,DJI30,Demo,60m OR / M1 / 4R,False,23,21.73913043478261,0.7485897888748662,-5.60766604209221,9.141162513663467,48746.627344655826,4.138998327850896,-2.5067453106883475,-1123.4171553441668,0.0,0,5,18,1.0,-7.33,0.0,245.36400000000287,0.0,10.0
OrbBreakout_DJI30_Paper,fundingpips,DJI30,Paper,60m OR / M1 / 4R,False,23,21.73913043478261,0.7485897888748662,-5.60766604209221,9.141162513663467,48746.627344655826,4.138998327850896,-2.5067453106883475,-1123.4171553441668,0.0,0,5,18,1.0,-7.33,0.0,245.36400000000287,0.0,10.0
OrbBreakoutinv_DJI30_Paper,fundingpips,DJI30,Paper (inverse),60m OR / M1 / 4R,False,23,78.26086956521739,0.8702373953596558,-0.6603924472412561,2.5567908129672627,49911.55077084403,1.020398558425591,-0.17689845831194542,-46.72922915597223,0.0,0,18,5,1.0,-7.33,0.0,221.3149999999987,0.0,10.0
OrbBreakout_GER40_Demo,fundingpips,GER40,Demo,30m OR / M1 / 4R,False,53,22.641509433962263,1.0353508263469724,1.6078162836989618,8.464989758339271,49507.84981810181,4.429921668087041,-0.9843003637963847,-948.2344037231704,0.0,0,12,41,2.0,-5.410000000000001,0.0,240.69319889999943,0.0,10.0
OrbBreakout_GER40_Paper,fundingpips,GER40,Paper,30m OR / M1 / 4R,False,53,22.641509433962263,1.0353508263469724,1.6078162836989618,8.464989758339271,49507.84981810181,4.429921668087041,-0.9843003637963847,-948.2344037231704,0.0,0,12,41,2.0,-5.410000000000001,0.0,240.69319889999943,0.0,10.0
OrbBreakout_JP225_Demo,fundingpips,JP225,Demo,15m OR / M1 / 4R,False,101,21.782178217821784,0.9872519207268649,-1.0564123082217396,19.846166775315268,49870.586077659565,6.131904730466735,-0.258827844680869,-230.1561789297849,0.0,0,22,79,10.0,-3.4399999999999995,78.21782178217822,167.35080517840228,0.0,10.0
OrbBreakout_JP225_Paper,fundingpips,JP225,Paper,15m OR / M1 / 4R,False,101,21.782178217821784,0.9872519207268649,-1.0564123082217396,19.846166775315268,49870.586077659565,6.131904730466735,-0.258827844680869,-230.1561789297849,0.0,0,22,79,10.0,-3.4399999999999995,78.21782178217822,167.35080517840228,0.0,10.0
OrbBreakoutinv_JP225_Paper,fundingpips,JP225,Paper (inverse),15m OR / M1 / 4R,False,100,78.0,0.8628015738475162,-3.0363235065979923,7.519303618761118,49367.31595651958,3.4565287334704085,-1.2653680869608361,-66.60117702958256,0.0,0,78,22,10.0,-3.4399999999999995,1.0,245.91659710286996,0.0,10.0
OrbBreakout_NDX100_Demo,fundingpips,NDX100,Demo,30m OR / M5 / 4R,False,36,25.0,1.0891466168679844,2.8204038418379795,15.400756050031916,50719.7969113956,6.741124950055941,1.4395938227911975,-816.9450886044444,0.0,1,9,27,1.6,-7.33,0.0,237.10999999999768,0.0,10.0
OrbBreakout_NDX100_Paper,fundingpips,NDX100,Paper,30m OR / M5 / 4R,False,36,25.0,1.0891466168679844,2.8204038418379795,15.400756050031916,50719.7969113956,6.741124950055941,1.4395938227911975,-816.9450886044444,0.0,1,9,27,1.6,-7.33,0.0,237.10999999999768,0.0,10.0
OrbBreakoutinv_NDX100_Paper,fundingpips,NDX100,Paper (inverse),30m OR / M5 / 4R,False,36,75.0,0.7351051623261301,-2.395803541767404,5.546304666808098,49698.477555822785,2.0190866035601926,-0.6030448883544305,-32.382444177222226,0.0,1,27,9,1.6,-7.33,0.0,194.21100000000007,0.0,10.0
OrbBreakout_SPX500_Demo,fundingpips,SPX500,Demo,60m OR / M1 / 4R,False,33,24.242424242424242,0.9635664669558517,-1.0601920406673881,7.849203727777751,49829.25775769719,3.9333795527488493,-0.34148448460562214,-1108.4322423027777,0.0,1,8,25,0.8,-7.33,0.0,252.42000000000283,0.0,10.0
OrbBreakout_SPX500_Paper,fundingpips,SPX500,Paper,60m OR / M1 / 4R,False,33,24.242424242424242,0.9635664669558517,-1.0601920406673881,7.849203727777751,49829.25775769719,3.9333795527488493,-0.34148448460562214,-1108.4322423027777,0.0,1,8,25,0.8,-7.33,0.0,252.42000000000283,0.0,10.0
OrbBreakoutinv_SPX500_Paper,fundingpips,SPX500,Paper (inverse),60m OR / M1 / 4R,False,31,74.19354838709677,0.6919820954333007,-2.503790194042337,4.166856740104807,49673.14122602638,1.4608741110927244,-0.6537175479472352,-42.163773973611114,0.0,1,23,8,0.8,-7.33,0.0,220.42500000000018,0.0,10.0
OrbBreakout_XAUUSD_Demo,fundingpips,XAUUSD,Demo,15m OR / M1 / 4R,False,89,20.224719101123597,1.0101178705114262,0.7420244509253582,19.85589314085987,48858.765280000145,11.34751004198908,-2.28246943999971,-511.25472,-66.0,1,18,71,0.15,-5.5901366759245725,0.0,239.7199999999948,5.0,5.0
OrbBreakoutwf_XAUUSD_Demo,fundingpips,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,True,62,33.87096774193548,1.1004633137065893,3.914406515668362,13.854397891666114,50308.061080000036,2.7760886717592266,0.6161221600000717,-150.92892,-12.5,0,12,36,0.15,-5.5901366759245725,0.0,109.025000000001,5.0,5.0
OrbBreakout_XAUUSD_Paper,fundingpips,XAUUSD,Paper,60m OR / M1 / 3R,False,49,22.448979591836736,0.8215267512827622,-7.048749142044763,15.554906955685997,48429.08336000005,6.872835985792829,-3.1418332799999042,-356.24664,-19.05,1,11,38,0.15,-5.5901366759245725,0.0,232.9200000000019,5.0,5.0
OrbBreakoutinv_XAUUSD_Paper,fundingpips,XAUUSD,Paper (inverse),15m OR / M1 / 4R,False,88,79.54545454545455,0.9878439516571996,-0.22096862045279847,5.220876252712765,49804.436280000016,2.1667533639642897,-0.39112743999996746,44.546279999999996,-14.55,1,70,18,0.15,-5.5901366759245725,0.0,211.0,5.0,5.0
OrbBreakoutwf_XAUUSD_Paper,fundingpips,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,False,62,33.87096774193548,1.1004633137065893,3.914406515668362,13.854397891666114,50726.267060000086,6.10112555774184,1.4525341200001713,-325.65294,-26.7,0,12,36,0.15,-5.5901366759245725,0.0,233.41999999999985,5.0,5.0
OrbBreakout_DJI30_Demo,cfi,DJI30,Demo,60m OR / M1 / 4R,False,24,20.833333333333332,0.7521262183628066,-5.60936467830797,9.19066350029213,48814.90080500002,4.089134388343794,-2.3701983899999615,-917.8951950000001,0.0,0,5,19,2.0,-6.4718445093013965,0.0,238.21150000000014,0.0,20.0
OrbBreakout_DJI30_Paper,cfi,DJI30,Paper,60m OR / M1 / 4R,False,24,20.833333333333332,0.7521262183628066,-5.60936467830797,9.19066350029213,48814.90080500002,4.089134388343794,-2.3701983899999615,-917.8951950000001,0.0,0,5,19,2.0,-6.4718445093013965,0.0,238.21150000000014,0.0,20.0
OrbBreakoutinv_DJI30_Paper,cfi,DJI30,Paper (inverse),60m OR / M1 / 4R,False,24,79.16666666666667,1.0571196326670145,0.28224553763341,1.7120309438859653,50146.74440000721,0.5010037099464753,0.29348880001441285,26.2584000072,0.0,0,19,5,2.0,-6.4718445093013965,0.0,207.20500000000033,0.0,20.0
OrbBreakout_GER40_Demo,cfi,GER40,Demo,30m OR / M1 / 4R,False,55,21.818181818181817,1.0435885149175672,2.0301558966620687,9.907019516916236,49787.03562176627,5.0095078658982235,-0.4259287564674596,-767.9434006335,0.0,0,12,43,3.7,-4.368661740507754,0.0,248.28863895000276,0.0,20.0
OrbBreakout_GER40_Paper,cfi,GER40,Paper,30m OR / M1 / 4R,False,55,21.818181818181817,1.0435885149175672,2.0301558966620687,9.907019516916236,49787.03562176627,5.0095078658982235,-0.4259287564674596,-767.9434006335,0.0,0,12,43,3.7,-4.368661740507754,0.0,248.28863895000276,0.0,20.0
OrbBreakout_JP225_Demo,cfi,JP225,Demo,15m OR / M1 / 4R,False,100,21.0,0.9386741867325525,-5.132383699578458,23.13968043775023,48884.307196909795,11.31011902149865,-2.2313856061804107,-611.2589352532,0.0,0,21,79,7.1000000000000005,-5.476546859501857,0.0,262.6431726750641,0.0,20.0
OrbBreakout_JP225_Paper,cfi,JP225,Paper,15m OR / M1 / 4R,False,100,21.0,0.9386741867325525,-5.132383699578458,23.13968043775023,48884.307196909795,11.31011902149865,-2.2313856061804107,-611.2589352532,0.0,0,21,79,7.1000000000000005,-5.476546859501857,0.0,262.6431726750641,0.0,20.0
OrbBreakoutinv_JP225_Paper,cfi,JP225,Paper (inverse),15m OR / M1 / 4R,False,98,78.57142857142857,0.9317482418828132,-1.4421082722142036,6.748310354740698,49805.072375996366,2.9962894388801353,-0.3898552480072685,-64.28353944599999,0.0,0,77,21,7.1000000000000005,-5.476546859501857,0.0,232.60241000439368,0.0,20.0
OrbBreakout_NDX100_Demo,cfi,NDX100,Demo,30m OR / M5 / 4R,False,36,25.0,1.1050753718725328,3.300034425215272,15.055987337386137,50732.53470236003,6.693003256105265,1.4650694047200667,-759.62129764,0.0,1,9,27,0.8,-6.474527821485055,0.0,239.0199999999997,0.0,20.0
