day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2021-09-20,LONG,15153.6,15067.6,2021-09-20 19:57:00-04:00,2021-09-20 19:58:00-04:00,15157.4,15067.6,15471.699999999997,2021-09-22 09:00:00-04:00,15471.699999999997,TP,3.4628
2021-09-22,LONG,15467.6,15452.6,2021-09-22 09:45:00-04:00,2021-09-22 09:46:00-04:00,15470.1,15452.6,15531.35,2021-09-22 11:50:00-04:00,15531.35,TP,3.3091
2021-09-23,LONG,15671.8,15618.3,2021-09-23 09:45:00-04:00,2021-09-23 09:46:00-04:00,15671.3,15618.3,15856.8,2021-09-23 21:58:00-04:00,15618.3,SL,-1.063
2021-09-24,LONG,15560.9,15524.4,2021-09-24 15:33:00-04:00,2021-09-24 15:34:00-04:00,15560.4,15524.4,15686.4,2021-09-27 01:59:00-04:00,15686.4,TP,3.4072
2021-09-27,LONG,15589.1,15550.6,2021-09-27 09:56:00-04:00,2021-09-27 09:57:00-04:00,15594.1,15550.6,15746.35,2021-09-27 21:14:00-04:00,15550.6,SL,-1.0768
2021-09-29,LONG,15360.6,15309.1,2021-09-29 10:19:00-04:00,2021-09-29 10:20:00-04:00,15369.6,15309.1,15581.35,2021-09-30 06:24:00-04:00,15309.1,SL,-1.0552
2021-09-30,LONG,15312.5,15245.5,2021-09-30 09:49:00-04:00,2021-09-30 09:50:00-04:00,15315.5,15245.5,15560.5,2021-09-30 11:34:00-04:00,15245.5,SL,-1.0477
2021-10-01,LONG,15246.0,15167.5,2021-10-01 14:53:00-04:00,2021-10-01 14:54:00-04:00,15249.5,15167.5,15536.5,2021-10-03 21:38:00-04:00,15167.5,SL,-1.0407
2021-10-05,LONG,15108.0,15070.0,2021-10-05 10:01:00-04:00,2021-10-05 10:02:00-04:00,15109.0,15070.0,15245.5,2021-10-05 21:52:00-04:00,15070.0,SL,-1.0856
2021-10-06,LONG,15011.0,14944.0,2021-10-06 10:58:00-04:00,2021-10-06 10:59:00-04:00,15012.0,14944.0,15250.0,2021-10-07 10:59:00-04:00,15250.0,TP,3.4509
2021-10-07,LONG,15198.0,15153.0,2021-10-07 11:00:00-04:00,2021-10-07 11:01:00-04:00,15249.5,15153.0,15587.25,2021-10-10 18:41:00-04:00,15153.0,SL,-1.0346
2021-10-11,LONG,15160.5,15136.5,2021-10-11 09:48:00-04:00,2021-10-11 09:49:00-04:00,15166.5,15136.5,15271.5,2021-10-11 15:50:00-04:00,15136.5,SL,-1.1113
2021-10-12,LONG,15165.0,15135.0,2021-10-12 12:01:00-04:00,2021-10-12 12:02:00-04:00,15173.0,15135.0,15306.0,2021-10-12 16:01:00-04:00,15135.0,SL,-1.0879
2021-10-13,LONG,15304.0,15268.0,2021-10-13 20:10:00-04:00,2021-10-13 20:11:00-04:00,15308.8,15268.0,15451.599999999997,2021-10-14 10:15:00-04:00,15451.599999999997,TP,3.4181
2021-10-14,LONG,15443.0,15416.0,2021-10-14 10:16:00-04:00,2021-10-14 10:17:00-04:00,15452.5,15416.0,15580.25,2021-10-15 09:56:00-04:00,15580.25,TP,3.4085
2021-10-15,LONG,15563.5,15544.5,2021-10-15 09:57:00-04:00,2021-10-15 09:58:00-04:00,15589.0,15544.5,15744.75,2021-10-15 10:28:00-04:00,15544.5,SL,-1.0751
2021-10-18,LONG,15446.0,15416.0,2021-10-18 09:47:00-04:00,2021-10-18 09:48:00-04:00,15447.5,15416.0,15557.75,2021-10-20 03:23:00-04:00,15557.75,TP,3.394
2021-10-20,LONG,15498.0,15474.0,2021-10-20 10:10:00-04:00,2021-10-20 10:11:00-04:00,15499.0,15474.0,15586.5,2021-10-21 01:15:00-04:00,15474.0,SL,-1.1336
2021-10-21,LONG,15509.5,15488.5,2021-10-21 20:30:00-04:00,2021-10-21 20:31:00-04:00,15514.0,15488.5,15603.25,2021-10-22 03:10:00-04:00,15488.5,SL,-1.131
2021-10-22,LONG,15605.0,15571.0,2021-10-22 09:45:00-04:00,2021-10-22 09:46:00-04:00,15605.5,15571.0,15726.25,2021-10-22 11:16:00-04:00,15571.0,SL,-1.0968
2021-10-25,LONG,15604.5,15571.0,2021-10-25 11:12:00-04:00,2021-10-25 11:13:00-04:00,15606.5,15571.0,15730.75,2021-10-26 03:51:00-04:00,15730.75,TP,3.4059
2021-10-27,LONG,15708.0,15694.0,2021-10-27 09:45:00-04:00,2021-10-27 09:46:00-04:00,15712.5,15694.0,15777.25,2021-10-27 10:27:00-04:00,15694.0,SL,-1.1805
2021-10-28,LONG,15690.5,15663.5,2021-10-28 11:34:00-04:00,2021-10-28 11:35:00-04:00,15691.5,15663.5,15789.5,2021-10-28 12:57:00-04:00,15663.5,SL,-1.1193
2021-10-29,LONG,15617.5,15579.0,2021-10-29 09:47:00-04:00,2021-10-29 09:48:00-04:00,15620.5,15579.0,15765.75,2021-10-31 21:15:00-04:00,15765.75,TP,3.4195
2021-11-01,LONG,15793.0,15780.0,2021-11-01 11:59:00-04:00,2021-11-01 12:00:00-04:00,15796.0,15780.0,15852.0,2021-11-01 23:34:00-04:00,15780.0,SL,-1.2087
2021-11-02,LONG,15916.0,15904.0,2021-11-02 10:00:00-04:00,2021-11-02 10:01:00-04:00,15916.0,15904.0,15958.0,2021-11-02 10:09:00-04:00,15904.0,SL,-1.2783
2021-11-03,LONG,15951.0,15938.0,2021-11-03 10:12:00-04:00,2021-11-03 10:13:00-04:00,15951.0,15938.0,15996.5,2021-11-03 10:33:00-04:00,15938.0,SL,-1.2569
2021-11-04,LONG,16048.7,16035.7,2021-11-04 10:59:00-04:00,2021-11-04 11:00:00-04:00,16048.2,16035.7,16091.95,2021-11-04 12:02:00-04:00,16035.7,SL,-1.2672
2021-11-08,LONG,16063.8,16052.8,2021-11-08 09:53:00-05:00,2021-11-08 09:54:00-05:00,16065.8,16052.8,16111.3,2021-11-08 10:04:00-05:00,16052.8,SL,-1.2569
2021-11-10,LONG,16041.4,16022.2,2021-11-10 09:52:00-05:00,2021-11-10 09:53:00-05:00,16045.2,16022.2,16125.7,2021-11-10 13:53:00-05:00,16022.2,SL,-1.1452
2021-11-11,LONG,16086.7,16066.7,2021-11-11 11:21:00-05:00,2021-11-11 11:22:00-05:00,16089.7,16066.7,16170.2,2021-11-16 02:22:00-05:00,16170.2,TP,3.3548
2021-11-16,LONG,16256.4,16233.4,2021-11-16 09:53:00-05:00,2021-11-16 09:54:00-05:00,16259.2,16233.4,16349.500000000004,2021-11-16 16:33:00-05:00,16233.4,SL,-1.1295
2021-11-17,LONG,16274.2,16260.2,2021-11-17 09:45:00-05:00,2021-11-17 09:46:00-05:00,16277.2,16260.2,16336.7,2021-11-17 09:53:00-05:00,16260.2,SL,-1.1965
2021-11-18,LONG,16246.9,16226.1,2021-11-18 09:47:00-05:00,2021-11-18 09:48:00-05:00,16247.2,16226.1,16321.050000000003,2021-11-18 10:09:00-05:00,16226.1,SL,-1.1583
2021-11-19,LONG,16181.6,16144.6,2021-11-19 09:48:00-05:00,2021-11-19 09:49:00-05:00,16185.6,16144.6,16329.1,2021-11-19 10:26:00-05:00,16144.6,SL,-1.0815
2021-11-22,LONG,16156.7,16131.5,2021-11-22 10:00:00-05:00,2021-11-22 10:01:00-05:00,16162.7,16131.5,16271.900000000003,2021-11-22 11:34:00-05:00,16131.5,SL,-1.1071
2021-11-23,LONG,16038.5,15982.5,2021-11-23 09:45:00-05:00,2021-11-23 09:46:00-05:00,16041.5,15982.5,16248.0,2021-11-23 10:27:00-05:00,15982.5,SL,-1.0566
2021-11-24,LONG,15803.8,15744.8,2021-11-24 10:00:00-05:00,2021-11-24 10:01:00-05:00,15815.3,15744.8,16062.05,2021-11-25 20:22:00-05:00,15744.8,SL,-1.0474
2021-11-29,LONG,15399.0,15366.7,2021-11-29 19:23:00-05:00,2021-11-29 19:24:00-05:00,15403.3,15366.7,15531.399999999994,2021-11-29 21:26:00-05:00,15366.7,SL,-1.0913
2021-11-30,LONG,15253.0,15196.0,2021-11-30 10:06:00-05:00,2021-11-30 10:07:00-05:00,15260.8,15196.0,15487.599999999997,2021-11-30 10:50:00-05:00,15196.0,SL,-1.0515
2021-12-01,LONG,15386.8,15366.8,2021-12-01 09:58:00-05:00,2021-12-01 09:59:00-05:00,15385.9,15366.8,15452.75,2021-12-01 11:06:00-05:00,15452.75,TP,3.3251
2021-12-02,LONG,15257.8,15179.1,2021-12-02 09:47:00-05:00,2021-12-02 09:48:00-05:00,15259.9,15179.1,15542.699999999997,2021-12-03 10:09:00-05:00,15179.1,SL,-1.0413
2021-12-06,LONG,15328.4,15265.5,2021-12-06 10:05:00-05:00,2021-12-06 10:06:00-05:00,15331.0,15265.5,15560.25,2021-12-07 03:03:00-05:00,15560.25,TP,3.449
2021-12-07,LONG,15714.1,15697.2,2021-12-07 09:48:00-05:00,2021-12-07 09:49:00-05:00,15716.8,15697.2,15785.399999999994,2021-12-07 10:42:00-05:00,15785.399999999994,TP,3.3296
2021-12-08,LONG,15730.1,15687.7,2021-12-08 09:50:00-05:00,2021-12-08 09:51:00-05:00,15734.6,15687.7,15898.75,2021-12-08 10:29:00-05:00,15687.7,SL,-1.0712
2021-12-09,LONG,15648.3,15625.6,2021-12-09 10:02:00-05:00,2021-12-09 10:03:00-05:00,15651.0,15625.6,15739.899999999998,2021-12-09 10:34:00-05:00,15625.6,SL,-1.1315
2021-12-14,LONG,15553.6,15496.6,2021-12-14 09:45:00-05:00,2021-12-14 09:46:00-05:00,15556.1,15496.6,15764.35,2021-12-14 10:13:00-05:00,15496.6,SL,-1.0561
2021-12-15,LONG,15506.9,15466.5,2021-12-15 14:03:00-05:00,2021-12-15 14:04:00-05:00,15525.8,15466.5,15733.349999999997,2021-12-16 02:18:00-05:00,15733.349999999997,TP,3.4437
2021-12-16,LONG,15679.5,15639.5,2021-12-16 10:30:00-05:00,2021-12-16 10:31:00-05:00,15686.1,15639.5,15849.2,2021-12-16 11:03:00-05:00,15639.5,SL,-1.0717
2021-12-17,LONG,15492.1,15443.4,2021-12-17 10:38:00-05:00,2021-12-17 10:39:00-05:00,15496.3,15443.4,15681.449999999997,2021-12-19 18:12:00-05:00,15443.4,SL,-1.0631
2021-12-20,LONG,15259.6,15214.3,2021-12-20 10:02:00-05:00,2021-12-20 10:03:00-05:00,15266.5,15214.3,15449.200000000003,2021-12-21 01:50:00-05:00,15449.200000000003,TP,3.436
2021-12-21,LONG,15445.5,15415.1,2021-12-21 10:15:00-05:00,2021-12-21 10:16:00-05:00,15447.1,15415.1,15559.1,2021-12-21 10:25:00-05:00,15415.1,SL,-1.1044
2021-12-22,LONG,15504.0,15464.0,2021-12-22 09:53:00-05:00,2021-12-22 09:54:00-05:00,15504.0,15464.0,15644.0,2021-12-22 18:04:00-05:00,15644.0,TP,3.4165
2021-12-23,LONG,15734.6,15696.7,2021-12-23 09:52:00-05:00,2021-12-23 09:53:00-05:00,15735.9,15696.7,15873.099999999995,2021-12-27 02:28:00-05:00,15696.7,SL,-1.0852
