day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,1525.85,1523.05,2020-01-02 09:46:00-05:00,2020-01-02 09:47:00-05:00,1525.93,1523.05,1536.0100000000004,2020-01-02 13:21:00-05:00,1523.05,SL,-1.0556
2020-01-03,LONG,1546.4,1542.39,2020-01-03 09:45:00-05:00,2020-01-03 09:46:00-05:00,1546.55,1542.39,1561.1099999999994,2020-01-05 19:05:00-05:00,1561.1099999999994,TP,3.4615
2020-01-06,LONG,1575.31,1572.22,2020-01-06 10:17:00-05:00,2020-01-06 10:18:00-05:00,1575.43,1572.22,1586.6650000000002,2020-01-06 11:22:00-05:00,1572.22,SL,-1.0498
2020-01-07,LONG,1567.45,1565.43,2020-01-07 09:45:00-05:00,2020-01-07 09:46:00-05:00,1567.51,1565.43,1574.7899999999997,2020-01-07 17:30:00-05:00,1574.7899999999997,TP,3.4231
2020-01-08,LONG,1573.23,1568.99,2020-01-08 09:45:00-05:00,2020-01-08 09:46:00-05:00,1573.71,1568.99,1590.23,2020-01-08 12:09:00-05:00,1568.99,SL,-1.0339
2020-01-09,LONG,1553.71,1551.11,2020-01-09 14:21:00-05:00,2020-01-09 14:22:00-05:00,1553.92,1551.11,1563.7550000000006,2020-01-09 16:41:00-05:00,1551.11,SL,-1.0569
2020-01-10,LONG,1556.58,1548.54,2020-01-10 11:45:00-05:00,2020-01-10 11:46:00-05:00,1556.74,1548.54,1585.44,2020-01-13 05:05:00-05:00,1548.54,SL,-1.0195
2020-01-13,LONG,1555.22,1552.78,2020-01-13 09:45:00-05:00,2020-01-13 09:46:00-05:00,1555.22,1552.78,1563.7600000000002,2020-01-13 10:38:00-05:00,1552.78,SL,-1.0656
2020-01-14,LONG,1546.71,1543.39,2020-01-14 14:36:00-05:00,2020-01-14 14:37:00-05:00,1547.25,1543.39,1560.7599999999998,2020-01-17 14:25:00-05:00,1560.7599999999998,TP,3.4585
2020-01-17,LONG,1558.62,1555.67,2020-01-17 14:26:00-05:00,2020-01-17 14:27:00-05:00,1560.74,1555.67,1578.4849999999997,2020-01-21 04:41:00-05:00,1555.67,SL,-1.0316
2020-01-21,LONG,1555.26,1552.14,2020-01-21 11:17:00-05:00,2020-01-21 11:18:00-05:00,1555.91,1552.14,1569.105,2020-01-21 22:51:00-05:00,1552.14,SL,-1.0424
2020-01-22,LONG,1557.17,1554.57,2020-01-22 10:16:00-05:00,2020-01-22 10:17:00-05:00,1557.26,1554.57,1566.6750000000002,2020-01-23 03:42:00-05:00,1554.57,SL,-1.0595
2020-01-23,LONG,1557.25,1554.56,2020-01-23 10:14:00-05:00,2020-01-23 10:15:00-05:00,1557.54,1554.56,1567.97,2020-01-24 11:11:00-05:00,1567.97,TP,3.4463
2020-01-24,LONG,1561.34,1558.39,2020-01-24 11:12:00-05:00,2020-01-24 11:13:00-05:00,1568.35,1558.39,1603.2099999999991,2020-02-04 10:11:00-05:00,1558.39,SL,-1.0161
2020-02-05,LONG,1554.06,1552.15,2020-02-05 09:45:00-05:00,2020-02-05 09:46:00-05:00,1554.16,1552.15,1561.1950000000002,2020-02-06 05:16:00-05:00,1561.1950000000002,TP,3.4204
2020-02-06,LONG,1564.8,1562.91,2020-02-06 09:47:00-05:00,2020-02-06 09:48:00-05:00,1564.92,1562.91,1571.955,2020-02-06 10:05:00-05:00,1562.91,SL,-1.0796
2020-02-07,LONG,1569.62,1560.08,2020-02-07 10:17:00-05:00,2020-02-07 10:18:00-05:00,1569.86,1560.08,1604.0899999999997,2020-02-18 12:22:00-05:00,1604.0899999999997,TP,3.4836
2020-02-18,LONG,1591.51,1587.97,2020-02-18 12:23:00-05:00,2020-02-18 12:24:00-05:00,1604.35,1587.97,1661.6799999999994,2020-02-23 19:06:00-05:00,1661.6799999999994,TP,3.4902
2020-02-24,LONG,1679.54,1674.74,2020-02-24 10:06:00-05:00,2020-02-24 10:07:00-05:00,1680.74,1674.74,1701.74,2020-02-24 10:46:00-05:00,1674.74,SL,-1.0267
2020-02-25,LONG,1652.38,1650.1,2020-02-25 10:45:00-05:00,2020-02-25 10:46:00-05:00,1652.44,1650.1,1660.6300000000006,2020-02-25 11:00:00-05:00,1650.1,SL,-1.0684
2020-02-26,LONG,1642.12,1636.25,2020-02-26 13:04:00-05:00,2020-02-26 13:05:00-05:00,1642.29,1636.25,1663.4299999999998,2020-02-26 16:59:00-05:00,1636.25,SL,-1.0265
2020-02-27,LONG,1651.93,1648.58,2020-02-27 10:00:00-05:00,2020-02-27 10:01:00-05:00,1652.99,1648.58,1668.4250000000002,2020-02-27 12:06:00-05:00,1648.58,SL,-1.0363
2020-02-28,LONG,1624.56,1619.85,2020-02-28 09:47:00-05:00,2020-02-28 09:48:00-05:00,1625.29,1619.85,1644.3300000000002,2020-02-28 10:35:00-05:00,1619.85,SL,-1.0294
2020-03-02,LONG,1597.5,1592.85,2020-03-02 10:33:00-05:00,2020-03-02 10:34:00-05:00,1597.63,1592.85,1614.3600000000008,2020-03-02 11:36:00-05:00,1592.85,SL,-1.0335
2020-03-03,LONG,1603.68,1600.51,2020-03-03 09:45:00-05:00,2020-03-03 09:46:00-05:00,1604.64,1600.51,1619.0950000000005,2020-03-03 11:01:00-05:00,1619.0950000000005,TP,3.4613
2020-03-04,LONG,1643.37,1636.99,2020-03-04 10:44:00-05:00,2020-03-04 10:45:00-05:00,1643.42,1636.99,1665.9250000000002,2020-03-04 11:27:00-05:00,1636.99,SL,-1.0249
2020-03-05,LONG,1656.53,1652.05,2020-03-05 10:05:00-05:00,2020-03-05 10:06:00-05:00,1657.04,1652.05,1674.505,2020-03-05 16:47:00-05:00,1674.505,TP,3.4679
2020-03-06,LONG,1684.06,1671.05,2020-03-06 10:14:00-05:00,2020-03-06 10:15:00-05:00,1686.41,1671.05,1740.1700000000005,2020-03-06 11:23:00-05:00,1671.05,SL,-1.0104
2020-03-09,LONG,1678.27,1671.41,2020-03-09 09:50:00-04:00,2020-03-09 09:51:00-04:00,1679.32,1671.41,1707.0049999999994,2020-03-09 10:54:00-04:00,1671.41,SL,-1.0202
2020-03-13,LONG,1594.19,1584.42,2020-03-13 09:53:00-04:00,2020-03-13 09:54:00-04:00,1594.81,1584.42,1631.1749999999995,2020-03-13 10:38:00-04:00,1584.42,SL,-1.0154
2020-03-16,LONG,1474.69,1459.58,2020-03-16 11:26:00-04:00,2020-03-16 11:27:00-04:00,1476.28,1459.58,1534.73,2020-03-17 11:50:00-04:00,1534.73,TP,3.4904
2020-03-17,LONG,1487.48,1480.78,2020-03-17 11:51:00-04:00,2020-03-17 11:52:00-04:00,1527.88,1480.78,1692.7300000000005,2020-03-18 14:26:00-04:00,1480.78,SL,-1.0034
2020-03-19,LONG,1477.13,1466.67,2020-03-19 10:05:00-04:00,2020-03-19 10:06:00-04:00,1477.58,1466.67,1515.7649999999994,2020-03-19 15:07:00-04:00,1466.67,SL,-1.0147
2020-03-23,LONG,1515.74,1508.67,2020-03-23 09:45:00-04:00,2020-03-23 09:46:00-04:00,1517.31,1508.67,1547.5499999999995,2020-03-23 13:24:00-04:00,1547.5499999999995,TP,3.4815
2020-03-24,LONG,1598.29,1585.58,2020-03-24 09:51:00-04:00,2020-03-24 09:52:00-04:00,1598.58,1585.58,1644.08,2020-03-24 11:34:00-04:00,1585.58,SL,-1.0123
