day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,1525.85,1523.05,2020-01-02 09:46:00-05:00,2020-01-02 09:47:00-05:00,1525.93,1523.05,1537.4500000000005,2020-01-02 13:21:00-05:00,1523.05,SL,-1.0556
2020-01-03,LONG,1546.4,1542.39,2020-01-03 09:45:00-05:00,2020-01-03 09:46:00-05:00,1546.55,1542.39,1563.1899999999994,2020-01-05 19:05:00-05:00,1563.1899999999994,TP,3.9615
2020-01-06,LONG,1575.31,1572.22,2020-01-06 10:17:00-05:00,2020-01-06 10:18:00-05:00,1575.43,1572.22,1588.2700000000002,2020-01-06 11:22:00-05:00,1572.22,SL,-1.0498
2020-01-07,LONG,1567.45,1565.43,2020-01-07 09:45:00-05:00,2020-01-07 09:46:00-05:00,1567.51,1565.43,1575.8299999999997,2020-01-07 17:30:00-05:00,1575.8299999999997,TP,3.9231
2020-01-08,LONG,1573.23,1568.99,2020-01-08 09:45:00-05:00,2020-01-08 09:46:00-05:00,1573.71,1568.99,1592.5900000000001,2020-01-08 12:09:00-05:00,1568.99,SL,-1.0339
2020-01-09,LONG,1553.71,1551.11,2020-01-09 14:21:00-05:00,2020-01-09 14:22:00-05:00,1553.92,1551.11,1565.1600000000008,2020-01-09 16:41:00-05:00,1551.11,SL,-1.0569
2020-01-10,LONG,1556.58,1548.54,2020-01-10 11:45:00-05:00,2020-01-10 11:46:00-05:00,1556.74,1548.54,1589.5400000000002,2020-01-13 05:05:00-05:00,1548.54,SL,-1.0195
2020-01-13,LONG,1555.22,1552.78,2020-01-13 09:45:00-05:00,2020-01-13 09:46:00-05:00,1555.22,1552.78,1564.9800000000002,2020-01-13 10:38:00-05:00,1552.78,SL,-1.0656
2020-01-14,LONG,1546.71,1543.39,2020-01-14 14:36:00-05:00,2020-01-14 14:37:00-05:00,1547.25,1543.39,1562.6899999999996,2020-01-20 02:11:00-05:00,1562.6899999999996,TP,3.9585
2020-01-20,LONG,1560.96,1559.79,2020-01-20 12:32:00-05:00,2020-01-20 12:33:00-05:00,1561.03,1559.79,1565.99,2020-01-20 21:19:00-05:00,1565.99,TP,3.871
2020-01-21,LONG,1555.26,1552.14,2020-01-21 11:17:00-05:00,2020-01-21 11:18:00-05:00,1555.91,1552.14,1570.99,2020-01-21 22:51:00-05:00,1552.14,SL,-1.0424
2020-01-22,LONG,1557.17,1554.57,2020-01-22 10:16:00-05:00,2020-01-22 10:17:00-05:00,1557.26,1554.57,1568.0200000000002,2020-01-23 03:42:00-05:00,1554.57,SL,-1.0595
2020-01-23,LONG,1557.25,1554.56,2020-01-23 10:14:00-05:00,2020-01-23 10:15:00-05:00,1557.54,1554.56,1569.46,2020-01-24 11:19:00-05:00,1569.46,TP,3.9463
2020-01-24,LONG,1561.34,1558.39,2020-01-24 11:20:00-05:00,2020-01-24 11:21:00-05:00,1571.12,1558.39,1622.039999999999,2020-02-04 10:11:00-05:00,1558.39,SL,-1.0126
2020-02-05,LONG,1554.06,1552.15,2020-02-05 09:45:00-05:00,2020-02-05 09:46:00-05:00,1554.16,1552.15,1562.2,2020-02-06 05:24:00-05:00,1562.2,TP,3.9204
2020-02-06,LONG,1564.8,1562.91,2020-02-06 09:47:00-05:00,2020-02-06 09:48:00-05:00,1564.92,1562.91,1572.96,2020-02-06 10:05:00-05:00,1562.91,SL,-1.0796
2020-02-07,LONG,1569.62,1560.08,2020-02-07 10:17:00-05:00,2020-02-07 10:18:00-05:00,1569.86,1560.08,1608.9799999999998,2020-02-19 04:38:00-05:00,1608.9799999999998,TP,3.9836
2020-02-19,LONG,1607.67,1604.39,2020-02-19 13:02:00-05:00,2020-02-19 13:03:00-05:00,1607.64,1604.39,1620.64,2020-02-20 03:20:00-05:00,1604.39,SL,-1.0492
2020-02-20,LONG,1619.15,1615.2,2020-02-20 11:22:00-05:00,2020-02-20 11:23:00-05:00,1620.76,1615.2,1642.9999999999998,2020-02-21 09:20:00-05:00,1642.9999999999998,TP,3.9712
2020-02-21,LONG,1643.18,1641.08,2020-02-21 09:45:00-05:00,2020-02-21 09:46:00-05:00,1643.98,1641.08,1655.5800000000004,2020-02-21 10:00:00-05:00,1641.08,SL,-1.0552
2020-02-24,LONG,1679.54,1674.74,2020-02-24 10:06:00-05:00,2020-02-24 10:07:00-05:00,1680.74,1674.74,1704.74,2020-02-24 10:46:00-05:00,1674.74,SL,-1.0267
2020-02-25,LONG,1652.38,1650.1,2020-02-25 10:45:00-05:00,2020-02-25 10:46:00-05:00,1652.44,1650.1,1661.8000000000006,2020-02-25 11:00:00-05:00,1650.1,SL,-1.0684
2020-02-26,LONG,1642.12,1636.25,2020-02-26 13:04:00-05:00,2020-02-26 13:05:00-05:00,1642.29,1636.25,1666.4499999999998,2020-02-26 16:59:00-05:00,1636.25,SL,-1.0265
2020-02-27,LONG,1651.93,1648.58,2020-02-27 10:00:00-05:00,2020-02-27 10:01:00-05:00,1652.99,1648.58,1670.6300000000003,2020-02-27 12:06:00-05:00,1648.58,SL,-1.0363
2020-02-28,LONG,1624.56,1619.85,2020-02-28 09:47:00-05:00,2020-02-28 09:48:00-05:00,1625.29,1619.85,1647.0500000000002,2020-02-28 10:35:00-05:00,1619.85,SL,-1.0294
2020-03-02,LONG,1597.5,1592.85,2020-03-02 10:33:00-05:00,2020-03-02 10:34:00-05:00,1597.63,1592.85,1616.750000000001,2020-03-02 11:36:00-05:00,1592.85,SL,-1.0335
2020-03-03,LONG,1603.68,1600.51,2020-03-03 09:45:00-05:00,2020-03-03 09:46:00-05:00,1604.64,1600.51,1621.1600000000005,2020-03-03 11:01:00-05:00,1621.1600000000005,TP,3.9613
2020-03-04,LONG,1643.37,1636.99,2020-03-04 10:44:00-05:00,2020-03-04 10:45:00-05:00,1643.42,1636.99,1669.1400000000003,2020-03-04 11:27:00-05:00,1636.99,SL,-1.0249
2020-03-05,LONG,1656.53,1652.05,2020-03-05 10:05:00-05:00,2020-03-05 10:06:00-05:00,1657.04,1652.05,1677.0,2020-03-06 00:44:00-05:00,1677.0,TP,3.9679
2020-03-06,LONG,1684.06,1671.05,2020-03-06 10:14:00-05:00,2020-03-06 10:15:00-05:00,1686.41,1671.05,1747.8500000000006,2020-03-06 11:23:00-05:00,1671.05,SL,-1.0104
2020-03-09,LONG,1678.27,1671.41,2020-03-09 09:50:00-04:00,2020-03-09 09:51:00-04:00,1679.32,1671.41,1710.9599999999994,2020-03-09 10:54:00-04:00,1671.41,SL,-1.0202
2020-03-13,LONG,1594.19,1584.42,2020-03-13 09:53:00-04:00,2020-03-13 09:54:00-04:00,1594.81,1584.42,1636.3699999999994,2020-03-13 10:38:00-04:00,1584.42,SL,-1.0154
2020-03-16,LONG,1474.69,1459.58,2020-03-16 11:26:00-04:00,2020-03-16 11:27:00-04:00,1476.28,1459.58,1543.0800000000002,2020-03-17 12:02:00-04:00,1543.0800000000002,TP,3.9904
2020-03-17,LONG,1487.48,1480.78,2020-03-17 12:03:00-04:00,2020-03-17 12:04:00-04:00,1545.87,1480.78,1806.2299999999996,2020-03-18 14:26:00-04:00,1480.78,SL,-1.0025
2020-03-19,LONG,1477.13,1466.67,2020-03-19 10:05:00-04:00,2020-03-19 10:06:00-04:00,1477.58,1466.67,1521.2199999999993,2020-03-19 15:07:00-04:00,1466.67,SL,-1.0147
2020-03-23,LONG,1515.74,1508.67,2020-03-23 09:45:00-04:00,2020-03-23 09:46:00-04:00,1517.31,1508.67,1551.8699999999994,2020-03-23 13:51:00-04:00,1551.8699999999994,TP,3.9815
2020-03-24,LONG,1598.29,1585.58,2020-03-24 09:51:00-04:00,2020-03-24 09:52:00-04:00,1598.58,1585.58,1650.58,2020-03-24 11:34:00-04:00,1585.58,SL,-1.0123
2020-03-25,LONG,1610.85,1606.02,2020-03-25 10:03:00-04:00,2020-03-25 10:04:00-04:00,1613.2,1606.02,1641.9200000000003,2020-03-25 10:58:00-04:00,1606.02,SL,-1.0223
2020-03-26,LONG,1627.98,1616.57,2020-03-26 09:53:00-04:00,2020-03-26 09:54:00-04:00,1628.28,1616.57,1675.1200000000001,2020-03-26 16:18:00-04:00,1616.57,SL,-1.0137
2020-03-27,LONG,1620.95,1617.27,2020-03-27 09:46:00-04:00,2020-03-27 09:47:00-04:00,1621.55,1617.27,1638.6699999999998,2020-03-27 11:06:00-04:00,1617.27,SL,-1.0374
2020-03-30,LONG,1618.98,1616.48,2020-03-30 09:58:00-04:00,2020-03-30 09:59:00-04:00,1619.27,1616.48,1630.4299999999998,2020-03-30 14:56:00-04:00,1616.48,SL,-1.0573
2020-03-31,LONG,1608.68,1603.86,2020-03-31 10:22:00-04:00,2020-03-31 10:23:00-04:00,1609.08,1603.86,1629.96,2020-03-31 11:50:00-04:00,1603.86,SL,-1.0307
2020-04-01,LONG,1586.09,1581.01,2020-04-01 11:21:00-04:00,2020-04-01 11:22:00-04:00,1588.98,1581.01,1620.8600000000001,2020-04-01 13:52:00-04:00,1581.01,SL,-1.0201
2020-04-02,LONG,1610.44,1602.17,2020-04-02 11:04:00-04:00,2020-04-02 11:05:00-04:00,1611.65,1602.17,1649.5700000000002,2020-04-02 11:47:00-04:00,1602.17,SL,-1.0169
2020-04-03,LONG,1621.73,1611.35,2020-04-03 15:52:00-04:00,2020-04-03 15:53:00-04:00,1622.56,1611.35,1667.4,2020-04-05 19:08:00-04:00,1611.35,SL,-1.0143
2020-04-06,LONG,1642.75,1638.11,2020-04-06 09:53:00-04:00,2020-04-06 09:54:00-04:00,1643.11,1638.11,1663.11,2020-04-06 10:19:00-04:00,1638.11,SL,-1.032
2020-04-08,LONG,1650.83,1645.93,2020-04-08 09:46:00-04:00,2020-04-08 09:47:00-04:00,1651.53,1645.93,1673.9299999999996,2020-04-08 11:22:00-04:00,1645.93,SL,-1.0286
