symbol,tf,trades,win_rate,profit_factor,total_r,avg_r,net_pnl
XAUUSD,5m,33,12.1,0.4,-17.46,-0.529,-17460.11
XAUUSD,15m,24,25.0,1.84,15.12,0.63,15119.26
XAUUSD,30m,13,7.7,0.25,-9.04,-0.695,-9035.76
XAUUSD,60m,3,66.7,4.5,3.5,1.166,3498.36
EURUSD,5m,64,23.4,1.05,2.52,0.039,2517.58
EURUSD,15m,36,33.3,1.91,21.9,0.608,21899.12
EURUSD,30m,28,14.3,0.43,-13.7,-0.489,-13695.95
EURUSD,60m,12,50.0,3.1,12.59,1.049,12588.51
NAS100,5m,94,23.4,1.34,24.35,0.259,24347.59
NAS100,15m,45,22.2,0.93,-2.33,-0.052,-2329.14
NAS100,30m,33,36.4,1.62,12.93,0.392,12933.44
NAS100,60m,11,36.4,2.46,10.19,0.926,10188.93
