entry_time,direction,daily_bias,sweep_kind,entry_price,sl,tp1,tp2,tp3,of_score,leg1_exit_time,leg1_exit_price,leg1_exit_reason,leg2_exit_time,leg2_exit_price,leg2_exit_reason,r_multiple,pnl_usd
2024-09-04 10:00:00-04:00,SHORT,Neutral,Trendline,2492.1,2497.139202507972,2471.77,,,2,2024-09-04 10:30:00-04:00,2497.139202507972,SL,2024-09-04 10:30:00-04:00,2497.139202507972,SL,-1.0,-1000.0
2024-09-23 03:00:00-04:00,LONG,Neutral,SessionLow,2619.27,2615.42896721238,2631.22,,,2,2024-09-23 03:30:00-04:00,2615.42896721238,SL,2024-09-23 03:30:00-04:00,2615.42896721238,SL,-1.0,-1000.0
2024-09-24 02:30:00-04:00,LONG,Neutral,Trendline,2628.62,2624.4066440939605,2639.96,,,2,2024-09-24 03:30:00-04:00,2624.4066440939605,SL,2024-09-24 03:30:00-04:00,2624.4066440939605,SL,-1.0,-1000.0
2024-10-25 02:30:00-04:00,SHORT,Neutral,Trendline,2732.32,2735.4034250723516,2723.87,2722.49,2720.26,2,2024-10-25 04:00:00-04:00,2723.87,TP1,2024-10-25 04:00:00-04:00,2722.49,TP2,2.964,2964.24
2025-04-24 14:00:00-04:00,SHORT,Neutral,SessionHigh,3338.09,3345.6357590123894,3306.97,3277.76,3259.98,2,2025-04-24 15:30:00-04:00,3345.6357590123894,SL,2025-04-24 15:30:00-04:00,3345.6357590123894,SL,-1.0,-1000.0
2025-06-01 18:00:00-04:00,SHORT,Bearish,SessionHigh,3303.99,3307.9481270166434,3271.82,3266.04,3245.52,2,2025-06-01 18:30:00-04:00,3307.9481270166434,SL,2025-06-01 18:30:00-04:00,3307.9481270166434,SL,-1.0,-1000.0
2025-07-15 04:30:00-04:00,SHORT,Neutral,SessionHigh,3361.05,3366.105938518224,3345.86,3340.71,3332.79,2,2025-07-15 06:00:00-04:00,3366.105938518224,SL,2025-07-15 06:00:00-04:00,3366.105938518224,SL,-1.0,-1000.0
2025-10-02 03:30:00-04:00,SHORT,Bearish,Trendline,3868.55,3872.437806654736,3852.86,3839.76,3793.21,2,2025-10-02 04:30:00-04:00,3872.437806654736,SL,2025-10-02 04:30:00-04:00,3872.437806654736,SL,-1.0,-1000.0
2026-01-07 10:30:00-05:00,LONG,Neutral,Trendline,4446.08,4441.068532292194,4474.71,4476.1,4480.23,2,2026-01-07 21:00:00-05:00,4441.068532292194,SL,2026-01-07 21:00:00-05:00,4441.068532292194,SL,-1.0,-1000.0
2026-01-26 11:30:00-05:00,SHORT,Neutral,Trendline,5089.6,5099.595665033407,5054.59,5053.49,5052.39,2,2026-01-26 12:30:00-05:00,5099.595665033407,SL,2026-01-26 12:30:00-05:00,5099.595665033407,SL,-1.0,-1000.0
2026-03-03 09:00:00-05:00,LONG,Neutral,SessionLow,5146.09,5069.192080296824,5335.93,5375.6,5377.74,2,2026-03-03 09:30:00-05:00,5069.192080296824,SL,2026-03-03 09:30:00-05:00,5069.192080296824,SL,-1.0,-1000.0
2026-04-06 11:30:00-04:00,LONG,Bullish,Trendline,4668.19,4657.311602870787,4706.61,4800.45,,2,2026-04-06 13:00:00-04:00,4657.311602870787,SL,2026-04-06 13:00:00-04:00,4657.311602870787,SL,-1.0,-1000.0
2026-08-06 02:30:00-04:00,LONG,Bullish,SessionLow,4256.07,4244.674283369972,4304.08,,,2,2026-08-06 09:00:00-04:00,4244.674283369972,SL,2026-08-06 09:00:00-04:00,4244.674283369972,SL,-1.0,-1000.0
