min_risk_reward_ratio,Net Profit
1.0,0.00
1.01,0.00
1.02,0.00
1.03,0.00
1.04,0.00
1.05,0.00
1.06,0.00
1.07,0.00
1.08,0.00
1.09,0.00
1.1,0.00
1.11,0.00
1.12,0.00
1.13,0.00
1.1400000000000001,0.00
1.15,0.00
1.16,0.00
1.17,0.00
1.18,0.00
1.19,0.00
1.2,0.00
1.21,0.00
1.22,0.00
1.23,0.00
1.24,0.00
1.25,0.00
1.26,0.00
1.27,0.00
1.28,0.00
1.29,0.00
1.3,0.00
1.31,0.00
1.32,0.00
1.33,0.00
1.34,0.00
1.35,0.00
1.3599999999999999,0.00
1.37,0.00
1.38,0.00
1.3900000000000001,0.00
1.4,0.00
1.4100000000000001,0.00
1.42,0.00
1.43,0.00
1.44,0.00
1.45,0.00
1.46,0.00
1.47,0.00
1.48,0.00
1.49,0.00
1.5,0.00
1.51,0.00
1.52,0.00
1.53,0.00
1.54,0.00
1.55,0.00
1.56,0.00
1.57,0.00
1.58,0.00
1.5899999999999999,0.00
1.6,0.00
1.6099999999999999,0.00
1.62,0.00
1.63,0.00
1.6400000000000001,0.00
1.65,0.00
1.6600000000000001,0.00
1.67,0.00
1.6800000000000002,0.00
1.69,0.00
1.7000000000000002,0.00
1.71,0.00
1.72,0.00
1.73,0.00
1.74,0.00
1.75,0.00
1.76,0.00
1.77,0.00
1.78,0.00
1.79,0.00
1.8,0.00
1.81,0.00
1.82,0.00
1.83,0.00
1.8399999999999999,0.00
1.85,0.00
1.8599999999999999,0.00
1.87,0.00
1.88,0.00
1.8900000000000001,0.00
1.9,0.00
1.9100000000000001,0.00
1.92,0.00
1.9300000000000002,0.00
1.94,0.00
1.9500000000000002,0.00
1.96,0.00
1.97,0.00
1.98,0.00
1.99,0.00
2.0,0.00
