entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,bars_held,trigger_reason
2026-01-02,03:15:00,2026-01-02,03:30:00,SELL,4349.60,4349.66,4349.64,4349.56,LOSS,-155.00,-1.55,1,Bearish Order Block pineob_bearish_2 touched at 4349.62000
2026-01-02,07:15:00,2026-01-02,07:30:00,BUY,4375.80,4376.99,4375.37,4377.01,WIN,267.45,2.72,1,Bullish Order Block pineob_bullish_4 touched at 4375.78000
2026-01-02,08:15:00,2026-01-02,08:30:00,SELL,4378.41,4378.78,4378.76,4377.44,LOSS,-111.90,-1.11,1,Bearish Order Block pineob_bearish_5 touched at 4378.43000
2026-01-02,12:00:00,2026-01-02,12:15:00,SELL,4386.83,4388.73,4388.71,4381.27,LOSS,-106.07,-1.06,1,Bearish Order Block pineob_bearish_6 touched at 4386.85000
2026-01-02,17:45:00,2026-01-02,18:00:00,BUY,4342.87,4340.78,4340.80,4349.00,LOSS,-104.90,-1.06,1,Bullish Order Block pineob_bullish_9 touched at 4342.85000
2026-01-02,18:45:00,2026-01-02,19:00:00,BUY,4324.76,4331.35,4322.53,4331.37,WIN,284.30,2.90,1,Bullish Order Block pineob_bullish_10 touched at 4324.74000
2026-01-02,23:00:00,2026-01-02,23:15:00,BUY,4329.42,4328.50,4328.52,4332.04,LOSS,-107.98,-1.07,1,Bullish Order Block pineob_bullish_11 touched at 4329.40000
2026-01-05,06:00:00,2026-01-05,06:30:00,SELL,4403.74,4407.71,4407.69,4391.97,LOSS,-105.16,-1.06,2,Bearish Order Block pineob_bearish_14 touched at 4403.76000
2026-01-05,07:45:00,2026-01-05,08:00:00,SELL,4406.96,4408.24,4408.22,4403.26,LOSS,-105.17,-1.07,1,Bearish Order Block pineob_bearish_15 touched at 4406.98000
2026-01-05,19:45:00,2026-01-05,20:00:00,SELL,4442.35,4442.47,4442.45,4442.13,LOSS,-122.07,-1.25,1,Bearish Order Block pineob_bearish_17 touched at 4442.37000
2026-01-05,20:30:00,2026-01-05,20:45:00,SELL,4441.86,4443.52,4443.50,4437.02,LOSS,-102.51,-1.06,1,Bearish Order Block pineob_bearish_18 touched at 4441.88000
2026-01-05,21:15:00,2026-01-05,21:30:00,SELL,4442.66,4443.54,4443.52,4440.16,LOSS,-102.53,-1.08,1,Bearish Order Block pineob_bearish_19 touched at 4442.68000
2026-01-05,22:00:00,2026-01-05,22:15:00,SELL,4441.12,4441.76,4441.74,4439.34,LOSS,-102.33,-1.09,1,Bearish Order Block pineob_bearish_20 touched at 4441.14000
2026-01-05,22:45:00,2026-01-05,23:00:00,SELL,4442.70,4443.88,4443.86,4439.30,LOSS,-99.87,-1.07,1,Bearish Order Block pineob_bearish_21 touched at 4442.72000
2026-01-06,03:15:00,2026-01-06,03:30:00,BUY,4438.24,4436.53,4436.55,4443.23,LOSS,-98.35,-1.07,1,Bullish Order Block pineob_bullish_24 touched at 4438.22000
2026-01-06,04:45:00,2026-01-06,05:00:00,SELL,4456.53,4459.53,4459.51,4447.67,LOSS,-96.89,-1.06,1,Bearish Order Block pineob_bearish_25 touched at 4456.55000
2026-01-06,07:30:00,2026-01-06,07:45:00,BUY,4469.59,4467.37,4467.39,4476.11,LOSS,-96.13,-1.06,1,Bullish Order Block pineob_bullish_27 touched at 4469.57000
2026-01-06,15:30:00,2026-01-06,15:45:00,SELL,4459.62,4463.70,4463.68,4447.52,LOSS,-94.79,-1.06,1,Bearish Order Block pineob_bearish_31 touched at 4459.64000
2026-01-06,20:30:00,2026-01-06,20:45:00,SELL,4486.15,4489.49,4489.47,4476.27,LOSS,-93.93,-1.06,1,Bearish Order Block pineob_bearish_33 touched at 4486.17000
2026-01-07,01:15:00,2026-01-07,01:30:00,BUY,4497.24,4496.07,4496.09,4500.61,LOSS,-93.98,-1.07,1,Bullish Order Block pineob_bullish_36 touched at 4497.22000
2026-01-07,04:15:00,2026-01-07,04:30:00,BUY,4470.59,4476.58,4468.56,4476.60,WIN,250.30,2.89,1,Bullish Order Block pineob_bullish_40 touched at 4470.57000
2026-01-07,06:00:00,2026-01-07,06:15:00,SELL,4475.65,4473.41,4476.43,4473.39,WIN,250.66,2.82,1,Bearish Order Block pineob_bearish_41 touched at 4475.67000
2026-01-07,12:30:00,2026-01-07,12:45:00,SELL,4461.35,4463.30,4463.22,4456.06,LOSS,-100.44,-1.10,1,Bearish Order Block pineob_bearish_43 touched at 4461.43000
2026-01-07,17:15:00,2026-01-07,17:30:00,SELL,4440.85,4444.22,4444.20,4430.88,LOSS,-96.07,-1.06,1,Bearish Order Block pineob_bearish_44 touched at 4440.87000
2026-01-08,02:00:00,2026-01-08,02:15:00,BUY,4462.90,4461.95,4461.97,4465.61,LOSS,-96.49,-1.08,1,Bullish Order Block pineob_bullish_45 touched at 4462.88000
2026-01-08,10:45:00,2026-01-08,11:00:00,SELL,4425.32,4425.83,4425.81,4423.93,LOSS,-97.22,-1.10,1,Bearish Order Block pineob_bearish_48 touched at 4425.34000
2026-01-08,11:45:00,2026-01-08,12:00:00,BUY,4431.35,4430.93,4430.95,4432.47,LOSS,-97.01,-1.11,1,Bullish Order Block pineob_bullish_49 touched at 4431.33000
