entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,bars_held,trigger_reason
2026-01-02,12:00:00,2026-01-02,12:15:00,SELL,4386.83,4388.73,4388.71,4381.27,LOSS,-106.06,-1.06,1,Bearish Order Block pineob_bearish_6 touched at 4386.85000
2026-01-02,17:45:00,2026-01-02,18:00:00,BUY,4342.87,4340.78,4340.80,4349.00,LOSS,-104.90,-1.06,1,Bullish Order Block pineob_bullish_9 touched at 4342.85000
2026-01-02,18:45:00,2026-01-02,19:00:00,BUY,4324.76,4331.35,4322.53,4331.37,WIN,284.28,2.90,1,Bullish Order Block pineob_bullish_10 touched at 4324.74000
2026-01-05,06:00:00,2026-01-05,06:30:00,SELL,4403.74,4407.71,4407.69,4391.97,LOSS,-106.24,-1.05,2,Bearish Order Block pineob_bearish_14 touched at 4403.76000
2026-01-05,07:45:00,2026-01-05,08:00:00,SELL,4406.96,4408.24,4408.22,4403.26,LOSS,-106.25,-1.07,1,Bearish Order Block pineob_bearish_15 touched at 4406.98000
2026-01-05,20:30:00,2026-01-05,20:45:00,SELL,4441.86,4443.52,4443.50,4437.02,LOSS,-104.81,-1.06,1,Bearish Order Block pineob_bearish_18 touched at 4441.88000
2026-01-05,22:45:00,2026-01-05,23:00:00,SELL,4442.70,4443.88,4443.86,4439.30,LOSS,-104.24,-1.07,1,Bearish Order Block pineob_bearish_21 touched at 4442.72000
2026-01-06,03:15:00,2026-01-06,03:30:00,BUY,4438.24,4436.53,4436.55,4443.23,LOSS,-102.66,-1.06,1,Bullish Order Block pineob_bullish_24 touched at 4438.22000
2026-01-06,04:45:00,2026-01-06,05:00:00,SELL,4456.53,4459.53,4459.51,4447.67,LOSS,-101.13,-1.06,1,Bearish Order Block pineob_bearish_25 touched at 4456.55000
2026-01-06,07:30:00,2026-01-06,07:45:00,BUY,4469.59,4467.37,4467.39,4476.11,LOSS,-100.34,-1.06,1,Bullish Order Block pineob_bullish_27 touched at 4469.57000
2026-01-06,15:30:00,2026-01-06,15:45:00,SELL,4459.62,4463.70,4463.68,4447.52,LOSS,-98.94,-1.06,1,Bearish Order Block pineob_bearish_31 touched at 4459.64000
2026-01-06,20:30:00,2026-01-06,20:45:00,SELL,4486.15,4489.49,4489.47,4476.27,LOSS,-98.04,-1.06,1,Bearish Order Block pineob_bearish_33 touched at 4486.17000
2026-01-07,01:15:00,2026-01-07,01:30:00,BUY,4497.24,4496.07,4496.09,4500.61,LOSS,-98.10,-1.07,1,Bullish Order Block pineob_bullish_36 touched at 4497.22000
2026-01-07,04:15:00,2026-01-07,04:30:00,BUY,4470.59,4476.58,4468.56,4476.60,WIN,262.12,2.90,1,Bullish Order Block pineob_bullish_40 touched at 4470.57000
2026-01-07,12:30:00,2026-01-07,12:45:00,SELL,4461.35,4463.30,4463.22,4456.06,LOSS,-102.12,-1.10,1,Bearish Order Block pineob_bearish_43 touched at 4461.43000
2026-01-07,17:15:00,2026-01-07,17:30:00,SELL,4440.85,4444.22,4444.20,4430.88,LOSS,-97.68,-1.06,1,Bearish Order Block pineob_bearish_44 touched at 4440.87000
2026-01-08,12:45:00,2026-01-08,13:00:00,BUY,4430.70,4429.33,4429.35,4434.67,LOSS,-97.50,-1.07,1,Bullish Order Block pineob_bullish_51 touched at 4430.68000
2026-01-08,15:30:00,2026-01-08,15:45:00,BUY,4429.77,4427.71,4427.73,4435.81,LOSS,-96.06,-1.07,1,Bullish Order Block pineob_bullish_54 touched at 4429.75000
2026-01-08,18:15:00,2026-01-08,18:30:00,SELL,4447.68,4453.16,4453.14,4431.38,LOSS,-94.54,-1.06,1,Bearish Order Block pineob_bearish_55 touched at 4447.70000
2026-01-09,03:00:00,2026-01-09,03:15:00,SELL,4463.84,4458.06,4465.80,4458.04,WIN,255.30,2.89,1,Bearish Order Block pineob_bearish_59 touched at 4463.86000
