entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,bars_held,trigger_reason
2022-04-11,05:45:00,2022-04-11,06:00:00,BUY,1942.68,1943.19,1942.46,1943.22,WIN,241.86,2.42,1,Bullish Order Block pineob_bullish_1 touched at 1942.65000
2022-04-11,19:00:00,2022-04-11,19:45:00,SELL,1951.56,1945.74,1953.55,1945.71,WIN,300.81,2.94,3,Bearish Order Block pineob_bearish_6 touched at 1951.59000
2022-04-11,23:45:00,2022-04-12,03:30:00,SELL,1953.37,1950.45,1954.42,1950.42,WIN,293.69,2.79,11,Bearish Order Block pineob_bearish_8 touched at 1953.42000
2022-04-12,04:00:00,2022-04-12,04:15:00,BUY,1951.88,1951.80,1951.83,1951.91,LOSS,-168.57,-1.56,1,Bullish Order Block pineob_bullish_9 touched at 1951.85000
2022-04-12,10:15:00,2022-04-12,10:30:00,SELL,1957.58,1955.12,1958.45,1955.09,WIN,304.62,2.86,1,Bearish Order Block pineob_bearish_11 touched at 1957.61000
2022-04-12,12:45:00,2022-04-12,13:00:00,BUY,1952.28,1952.73,1952.08,1952.76,WIN,258.84,2.36,1,Bullish Order Block pineob_bullish_12 touched at 1952.25000
2022-04-12,14:30:00,2022-04-12,14:45:00,SELL,1955.01,1955.34,1955.31,1954.23,LOSS,-121.83,-1.08,1,Bearish Order Block pineob_bearish_13 touched at 1955.04000
2022-04-12,15:00:00,2022-04-12,15:15:00,BUY,1956.19,1959.79,1954.94,1959.82,WIN,322.13,2.90,1,Bullish Order Block pineob_bullish_14 touched at 1956.16000
2022-04-12,15:30:00,2022-04-12,15:45:00,SELL,1955.93,1956.60,1956.57,1954.13,LOSS,-118.82,-1.04,1,Bearish Order Block pineob_bearish_15 touched at 1955.96000
2022-04-12,19:00:00,2022-04-12,19:15:00,SELL,1971.82,1973.94,1973.91,1965.67,LOSS,-114.48,-1.01,1,Bearish Order Block pineob_bearish_17 touched at 1971.85000
