entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2021-03-03 04:00:00-05:00,SHORT,TP,0.0002,2.1848,2.1173,2117.32
2021-07-28 04:30:00-04:00,SHORT,SL,0.000193,-1.0,-1.0987,-1098.72
2021-08-24 20:30:00-04:00,SHORT,TP,0.000201,3.9062,3.373,3372.98
2021-08-25 05:00:00-04:00,SHORT,TP,0.000194,2.1119,1.9319,1931.94
2021-08-26 08:30:00-04:00,SHORT,SL,0.00019,-1.0,-1.4431,-1443.05
2022-03-31 11:30:00-04:00,LONG,SL,0.000194,-1.0,-1.0751,-1075.14
2022-04-14 07:30:00-04:00,SHORT,TP,0.000195,6.5583,6.4311,6431.07
2022-07-27 14:30:00-04:00,LONG,TP,0.000158,7.3567,7.2573,7257.32
2023-02-27 21:30:00-05:00,SHORT,SL,0.000181,-1.0,-1.3986,-1398.62
2023-05-01 22:30:00-04:00,LONG,SL,0.000179,-1.0,-2.247,-2247.01
2023-11-09 03:00:00-05:00,SHORT,TP,0.00016,2.1628,2.0866,2086.59
2023-12-15 03:00:00-05:00,SHORT,TP,0.00016,6.1163,6.0093,6009.26
2024-06-07 08:30:00-04:00,SHORT,TP,0.00016,7.3222,7.1727,7172.69
2025-01-21 18:00:00-05:00,SHORT,SL,0.000159,-1.0,-1.1141,-1114.09
2026-01-20 22:00:00-05:00,SHORT,TP,0.000181,2.8588,2.5643,2564.25
