entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-10-12 20:00:00-04:00,SHORT,TP,0.000157,6.8067,6.4855,6485.52
2021-05-03 20:00:00-04:00,SHORT,TP,0.000229,6.0726,5.7042,5704.19
2021-06-07 20:15:00-04:00,SHORT,TP,0.000223,17.5767,15.7648,15764.79
2021-07-27 02:30:00-04:00,SHORT,TP,0.000217,2.36,2.2399,2239.91
2021-10-03 18:15:00-04:00,SHORT,TP,0.000224,2.1898,2.0121,2012.07
2022-02-08 17:30:00-05:00,SHORT,SL,0.000493,-1.0,-1.4549,-1454.94
2022-08-30 21:00:00-04:00,LONG,SL,0.00017,-1.0,-1.0788,-1078.83
2022-11-30 13:30:00-05:00,LONG,TP,0.000293,5.8413,5.6526,5652.57
2022-12-12 10:30:00-05:00,SHORT,TP,0.000179,2.6575,2.4932,2493.16
2022-12-12 11:45:00-05:00,SHORT,TP,0.000178,8.1335,7.7991,7799.14
2023-03-15 14:15:00-04:00,LONG,TP,0.000169,8.1322,7.9363,7936.27
2024-06-11 02:00:00-04:00,SHORT,SL,0.000153,-1.0,-1.3301,-1330.09
2025-03-03 16:00:00-05:00,SHORT,SL,0.000275,-1.0,-1.5794,-1579.37
2025-11-25 16:00:00-05:00,SHORT,SL,0.000243,-1.0,-1.111,-1110.96
2026-02-12 03:30:00-05:00,LONG,TP,0.000189,2.048,1.9511,1951.07
2026-03-26 16:45:00-04:00,LONG,SL,0.000333,-1.0,-1.7131,-1713.11
