entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2021-01-25 12:00:00-05:00,SHORT,SL,3.0,-1.0,-1.0182,-1018.24
2021-01-27 09:00:00-05:00,SHORT,TP,3.0,2.9923,2.9759,2975.89
2021-02-11 12:15:00-05:00,SHORT,TP,3.0,2.8271,2.6946,2694.55
2021-06-24 13:15:00-04:00,SHORT,TP,3.0,3.1793,2.8911,2891.12
2021-08-16 20:35:00-04:00,SHORT,TP,3.0,2.0253,1.6503,1650.26
2021-10-11 12:00:00-04:00,SHORT,TP,3.0,7.2104,7.0552,7055.18
2021-11-04 11:35:00-04:00,SHORT,SL,3.0,-1.0,-2.0134,-2013.35
2021-11-04 11:45:00-04:00,SHORT,SL,3.0,-1.0,-1.3876,-1387.58
2021-12-15 14:00:00-05:00,LONG,TP,3.0,2.7873,2.7279,2727.88
2022-02-17 20:30:00-05:00,LONG,SL,3.0,-1.0,-1.0911,-1091.09
2022-03-21 15:50:00-04:00,LONG,TP,3.0,3.4587,3.2979,3297.86
2022-06-19 20:55:00-04:00,SHORT,TP,3.0,3.5254,3.3956,3395.65
2022-07-06 18:30:00-04:00,SHORT,SL,3.0,-1.0,-1.1115,-1111.5
2022-08-26 10:10:00-04:00,SHORT,TP,3.0,13.919,13.7345,13734.52
2022-08-30 23:30:00-04:00,LONG,SL,3.0,-1.0,-1.3104,-1310.42
2022-09-15 13:10:00-04:00,LONG,SL,3.0,-1.0,-1.0671,-1067.1
2022-10-23 23:20:00-04:00,SHORT,SL,3.0,-1.0,-2.0045,-2004.48
2022-10-25 13:00:00-04:00,SHORT,SL,3.0,-1.0,-1.4513,-1451.33
2022-11-02 14:00:00-04:00,LONG,TP,3.0,28.883,28.518,28518.01
2023-04-30 20:15:00-04:00,SHORT,SL,3.0,-1.0,-2.3537,-2353.68
2023-04-30 20:40:00-04:00,SHORT,SL,3.0,-1.0,-1.6159,-1615.88
2023-05-08 14:20:00-04:00,SHORT,SL,3.0,-1.0,-1.3119,-1311.92
2023-05-08 14:30:00-04:00,SHORT,SL,3.0,-1.0,-1.2131,-1213.07
2023-10-16 13:30:00-04:00,SHORT,SL,3.0,-1.0,-1.2053,-1205.28
2023-10-16 13:35:00-04:00,SHORT,SL,3.0,-1.0,-1.1496,-1149.63
2023-10-16 13:40:00-04:00,SHORT,SL,3.0,-1.0,-1.1468,-1146.75
2023-11-09 13:00:00-05:00,SHORT,TP,3.0,2.0838,2.0156,2015.64
2024-01-05 12:15:00-05:00,SHORT,SL,3.0,-1.0,-1.1,-1100.02
2024-04-22 19:10:00-04:00,SHORT,SL,3.0,-1.0,-2.2226,-2222.59
2024-05-16 13:20:00-04:00,SHORT,TP,3.0,4.5979,4.3498,4349.77
2024-07-31 13:40:00-04:00,SHORT,SL,3.0,-1.0,-1.1396,-1139.59
2024-07-31 13:45:00-04:00,SHORT,SL,3.0,-1.0,-1.1101,-1110.07
2024-07-31 13:50:00-04:00,SHORT,SL,3.0,-1.0,-1.2643,-1264.26
2024-08-28 15:05:00-04:00,LONG,TP,3.0,2.1925,2.0454,2045.38
2024-09-02 19:20:00-04:00,SHORT,TP,3.0,2.194,2.08,2079.97
2025-05-01 15:50:00-04:00,SHORT,TP,3.0,2.9806,2.8629,2862.92
2025-06-23 12:40:00-04:00,SHORT,SL,3.0,-1.0,-1.0422,-1042.22
2025-08-27 15:35:00-04:00,SHORT,SL,3.0,-1.0,-1.253,-1252.99
2025-09-24 20:25:00-04:00,LONG,TP,3.0,10.7248,8.021,8021.04
2026-03-29 20:35:00-04:00,LONG,SL,3.0,-1.0,-1.1003,-1100.26
2026-04-05 23:25:00-04:00,SHORT,SL,3.0,-1.0,-1.0763,-1076.27
2026-04-07 12:10:00-04:00,LONG,SL,3.0,-1.0,-1.0528,-1052.83
2026-04-23 13:00:00-04:00,SHORT,TP,3.0,2.3272,2.2707,2270.71
2026-04-24 10:10:00-04:00,SHORT,SL,3.0,-1.0,-1.3468,-1346.81
2026-05-11 20:15:00-04:00,SHORT,TP,3.0,2.6006,2.507,2507.05
2026-07-05 20:45:00-04:00,SHORT,TP,3.0,12.3863,12.0741,12074.05
2026-07-26 20:15:00-04:00,SHORT,SL,3.0,-1.0,-1.0625,-1062.45
2026-08-10 20:20:00-04:00,LONG,TP,3.0,4.5253,4.2921,4292.06
