entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-04-07 22:00:00-04:00,LONG,TP,0.0142,6.7989,6.5442,6544.18
2020-08-30 18:00:00-04:00,LONG,SL,0.020867,-1.0,-1.1031,-1103.07
2020-12-14 11:00:00-05:00,SHORT,SL,0.020167,-1.0,-1.2256,-1225.56
2021-04-12 20:00:00-04:00,LONG,TP,0.025,2.341,2.0378,2037.8
2021-05-09 20:00:00-04:00,LONG,TP,0.0253,2.4043,2.3151,2315.09
2021-09-21 22:00:00-04:00,LONG,TP,0.023033,2.0479,1.9092,1909.2
2022-08-22 21:30:00-04:00,SHORT,SL,0.016933,-1.0,-1.137,-1137.04
2023-04-09 18:00:00-04:00,SHORT,SL,0.0316,-1.0,-1.1224,-1122.44
2023-10-30 23:00:00-04:00,LONG,TP,0.026333,6.9927,6.7557,6755.73
2024-05-08 19:30:00-04:00,SHORT,SL,0.023867,-1.0,-1.1683,-1168.29
2025-07-22 23:00:00-04:00,LONG,SL,0.021,-1.0,-1.0557,-1055.69
2025-10-30 20:30:00-04:00,SHORT,SL,0.022933,-1.0,-1.0587,-1058.66
2025-11-05 19:00:00-05:00,SHORT,TP,0.023,3.263,3.128,3128.03
2026-05-06 00:00:00-04:00,SHORT,TP,0.017,5.1639,5.09,5089.98
2026-07-08 20:00:00-04:00,SHORT,TP,0.017,8.8523,8.5194,8519.37
2026-08-13 08:30:00-04:00,SHORT,SL,0.014,-1.0,-1.0651,-1065.06
