entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-03-11 15:45:00-04:00,LONG,SL,0.414,-1.0,-1.3468,-1346.82
2020-05-15 14:15:00-04:00,SHORT,SL,0.24,-1.0,-1.28,-1279.97
2020-05-15 14:20:00-04:00,SHORT,SL,0.31,-1.0,-1.1837,-1183.7
2020-05-29 15:20:00-04:00,SHORT,SL,0.322,-1.0,-2.0081,-2008.15
2020-05-31 21:05:00-04:00,SHORT,SL,0.202,-1.0,-1.222,-1221.99
2020-06-11 11:55:00-04:00,SHORT,TP,0.21,4.3799,4.3095,4309.54
2020-07-29 15:10:00-04:00,SHORT,SL,0.37,-1.0,-1.2911,-1291.07
2020-08-24 20:20:00-04:00,LONG,SL,0.356,-1.0,-1.4091,-1409.08
2020-10-26 11:15:00-04:00,SHORT,SL,0.462,-1.0,-1.2174,-1217.45
2020-11-02 22:15:00-05:00,SHORT,SL,0.478,-1.0,-1.7885,-1788.55
2020-12-30 22:30:00-05:00,SHORT,SL,0.428,-1.0,-1.6098,-1609.79
2021-04-19 21:30:00-04:00,LONG,SL,0.422,-1.0,-2.3847,-2384.7
2021-04-19 21:35:00-04:00,LONG,SL,0.416,-1.0,-1.4677,-1467.72
2021-05-04 11:10:00-04:00,SHORT,TP,0.418,4.8106,4.7015,4701.48
2021-05-12 20:55:00-04:00,LONG,SL,0.494,-1.0,-2.6935,-2693.47
2021-05-12 21:00:00-04:00,LONG,TP,0.442,19.6169,17.7992,17799.17
2021-07-28 14:35:00-04:00,LONG,TP,0.258,2.3411,2.2722,2272.24
2021-10-10 20:00:00-04:00,LONG,TP,0.302,2.1473,1.9089,1908.87
2021-11-09 18:40:00-05:00,SHORT,TP,0.322,7.0812,6.0855,6085.48
2021-11-09 19:05:00-05:00,SHORT,SL,0.336,-1.0,-1.4592,-1459.16
2022-02-10 12:55:00-05:00,SHORT,SL,0.356,-1.0,-1.2036,-1203.62
2022-02-20 20:00:00-05:00,SHORT,TP,0.36,7.7342,7.4203,7420.29
2022-06-12 20:25:00-04:00,SHORT,TP,0.322,4.0046,3.5068,3506.77
2022-07-25 15:35:00-04:00,LONG,TP,0.284,10.5487,9.2793,9279.27
2022-08-17 14:00:00-04:00,LONG,TP,0.37,8.657,8.235,8235.02
2022-09-21 23:10:00-04:00,LONG,SL,0.37,-1.0,-1.3329,-1332.94
2023-03-26 21:25:00-04:00,LONG,SL,0.436,-1.0,-1.813,-1812.97
2023-05-08 14:00:00-04:00,SHORT,SL,0.38,-1.0,-1.2073,-1207.27
2023-06-01 21:05:00-04:00,SHORT,SL,0.388,-1.0,-1.2766,-1276.63
2023-06-26 20:50:00-04:00,LONG,TP,0.43,2.6856,2.2123,2212.35
2023-07-27 13:20:00-04:00,LONG,SL,0.368,-1.0,-1.0823,-1082.26
2023-08-13 21:55:00-04:00,LONG,SL,0.4,-1.0,-2.8909,-2890.91
2023-08-13 22:00:00-04:00,LONG,SL,0.4,-1.0,-2.0063,-2006.29
2023-08-21 20:10:00-04:00,SHORT,SL,0.39,-1.0,-1.244,-1243.97
2023-09-04 21:35:00-04:00,LONG,SL,0.4,-1.0,-2.04,-2040.01
2023-09-20 14:00:00-04:00,SHORT,SL,0.416,-1.0,-2.5406,-2540.62
2023-10-20 12:45:00-04:00,SHORT,TP,0.38,9.3448,8.7003,8700.3
2023-10-20 13:15:00-04:00,SHORT,TP,0.38,3.4167,3.3139,3313.92
2023-12-19 13:25:00-05:00,SHORT,SL,0.38,-1.0,-1.0939,-1093.86
2023-12-26 19:15:00-05:00,SHORT,SL,0.4,-1.0,-1.7994,-1799.37
