entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-09 02:30:00-05:00,SHORT,Bounce,1.11143,1.111945188763776,1.11008,2020-01-09 04:30:00-05:00,1.11008,TP,0.000177,2.6204,2.2768,2276.84
2020-01-10 03:00:00-05:00,SHORT,Breakout,1.11007,1.110205498223389,1.10915,2020-01-10 04:00:00-05:00,1.10915,TP,0.000175,6.7898,5.4982,5498.23
2020-01-13 03:00:00-05:00,SHORT,Bounce,1.11223,1.1129228587115947,1.11119,2020-01-13 04:00:00-05:00,1.1129228587115947,SL,0.000173,-1.0,-1.2492,-1249.21
2020-01-13 04:00:00-05:00,SHORT,Bounce,1.1120700000000001,1.1129441077666302,1.11119,2020-01-13 05:00:00-05:00,1.11119,TP,0.00017,1.0067,0.8126,812.64
2020-01-13 08:00:00-05:00,SHORT,Bounce,1.11238,1.1129468792506378,1.10842,2020-01-13 10:30:00-05:00,1.1129468792506378,SL,0.000172,-1.0,-1.304,-1304.0
2020-01-14 03:30:00-05:00,SHORT,Bounce,1.11344,1.114229736294451,1.11304,2020-01-14 04:00:00-05:00,1.11304,TP,0.000173,0.5065,0.2879,287.86
2020-01-14 06:00:00-05:00,SHORT,Breakout,1.11282,1.1131390283884237,1.11119,2020-01-14 06:30:00-05:00,1.1131390283884237,SL,0.000174,-1.0,-1.5454,-1545.41
2020-01-14 20:00:00-05:00,SHORT,Retest,1.11266,1.1131236302940548,1.1103399999999999,2020-01-14 23:30:00-05:00,1.1131236302940548,SL,0.000184,-1.0,-1.3969,-1396.87
2020-01-21 04:00:00-05:00,SHORT,Breakout,1.10858,1.1088894837703267,1.10758,2020-01-21 04:30:00-05:00,1.1088894837703267,SL,0.000176,-1.0,-1.5687,-1568.69
2020-01-23 08:30:00-05:00,SHORT,Bounce,1.10856,1.1100072690615694,1.10693,2020-01-23 09:00:00-05:00,1.10693,TP,0.000167,1.1263,1.0111,1011.1
2020-01-24 03:30:00-05:00,SHORT,Bounce,1.1046,1.1059361330091386,1.10355,2020-01-24 04:30:00-05:00,1.10355,TP,0.000176,0.7858,0.6539,653.88
2020-01-30 04:00:00-05:00,SHORT,Bounce,1.10154,1.1020939996332255,1.09914,2020-01-30 06:30:00-05:00,1.1020939996332255,SL,0.000176,-1.0,-1.3171,-1317.09
2020-02-05 04:30:00-05:00,SHORT,Breakout,1.1025,1.1033768473379633,1.1016,2020-02-05 06:00:00-05:00,1.1016,TP,0.000169,1.0264,0.8333,833.29
2020-02-12 03:30:00-05:00,SHORT,Bounce,1.09207,1.0924916250428212,1.08904,2020-02-12 10:00:00-05:00,1.08904,TP,0.000175,7.1865,6.7714,6771.42
2020-02-18 02:30:00-05:00,SHORT,Bounce,1.08321,1.083725315664225,1.0822,2020-02-18 05:00:00-05:00,1.0822,TP,0.000178,1.96,1.6145,1614.54
2020-02-19 04:00:00-05:00,SHORT,Bounce,1.08013,1.0803736897194327,1.07887,2020-02-19 05:00:00-05:00,1.0803736897194327,SL,0.000175,-1.0,-1.7195,-1719.49
2020-02-19 05:30:00-05:00,SHORT,Bounce,1.07996,1.0803795307265283,1.07887,2020-02-19 06:30:00-05:00,1.07887,TP,0.000173,2.5981,2.185,2184.98
2020-02-25 05:00:00-05:00,SHORT,Breakout,1.08373,1.0841824401421325,1.08041,2020-02-25 08:00:00-05:00,1.0841824401421325,SL,0.000175,-1.0,-1.3868,-1386.79
2020-02-25 09:30:00-05:00,SHORT,Breakout,1.0835,1.084198974494503,1.08041,2020-02-25 10:00:00-05:00,1.084198974494503,SL,0.00017,-1.0,-1.2427,-1242.74
2020-02-26 04:00:00-05:00,SHORT,Bounce,1.08861,1.0890911900364646,1.08616,2020-02-26 04:30:00-05:00,1.0890911900364646,SL,0.000174,-1.0,-1.3616,-1361.6
2020-02-26 04:30:00-05:00,SHORT,Bounce,1.08882,1.0890965336052885,1.08616,2020-02-26 07:00:00-05:00,1.0890965336052885,SL,0.000175,-1.0,-1.6316,-1631.63
2020-02-26 09:30:00-05:00,SHORT,Breakout,1.08587,1.086395834351651,1.08292,2020-02-26 10:00:00-05:00,1.086395834351651,SL,0.00017,-1.0,-1.3239,-1323.93
2020-02-27 01:30:00-05:00,LONG,Breakout,1.09102,1.0906290337397007,1.09247,2020-02-27 03:00:00-05:00,1.09247,TP,0.000177,3.7088,3.2552,3255.18
2020-02-28 03:00:00-05:00,LONG,Breakout,1.1024,1.100221656149325,1.1047,2020-02-28 04:00:00-05:00,1.1047,TP,0.000172,1.0558,0.9767,976.74
2020-03-02 04:30:00-05:00,LONG,Breakout,1.10787,1.107012474263033,1.11079,2020-03-02 06:30:00-05:00,1.11079,TP,0.000176,3.4051,3.2003,3200.29
2020-03-03 09:30:00-05:00,LONG,Bounce,1.11246,1.1116211504232079,1.11547,2020-03-03 10:00:00-05:00,1.11547,TP,0.000173,3.5882,3.3816,3381.62
2020-03-05 04:00:00-05:00,LONG,Breakout,1.11565,1.1140730519560351,1.11868,2020-03-05 07:00:00-05:00,1.11868,TP,0.000172,1.9214,1.8122,1812.15
2020-03-10 03:30:00-04:00,LONG,Bounce,1.13811,1.1359009300407352,1.14839,2020-03-10 04:30:00-04:00,1.1359009300407352,SL,0.000175,-1.0,-1.0791,-1079.07
2020-03-12 04:30:00-04:00,LONG,Bounce,1.12667,1.124571590812303,1.13324,2020-03-12 05:30:00-04:00,1.124571590812303,SL,0.000162,-1.0,-1.0772,-1077.2
2020-03-18 03:30:00-04:00,SHORT,Breakout,1.09673,1.0987585705010443,1.09544,2020-03-18 04:00:00-04:00,1.0987585705010443,SL,0.000124,-1.0,-1.061,-1060.96
2020-03-18 07:30:00-04:00,SHORT,Retest,1.09764,1.098835782525822,1.09544,2020-03-18 08:00:00-04:00,1.09544,TP,0.000124,1.8398,1.7364,1736.38
2020-03-23 09:00:00-04:00,SHORT,Bounce,1.07564,1.0774594204984302,1.06349,2020-03-23 09:30:00-04:00,1.0774594204984302,SL,0.000125,-1.0,-1.0685,-1068.52
2020-03-30 21:30:00-04:00,LONG,Bounce,1.10153,1.1005440693850475,1.10549,2020-03-31 02:00:00-04:00,1.1005440693850475,SL,0.000157,-1.0,-1.1596,-1159.58
2020-04-02 08:30:00-04:00,SHORT,Breakout,1.08788,1.090560711399631,1.07842,2020-04-03 07:00:00-04:00,1.07842,TP,0.000124,3.5289,3.4828,3482.78
2020-04-06 03:30:00-04:00,SHORT,Bounce,1.08169,1.082995826111976,1.07721,2020-04-06 09:30:00-04:00,1.07721,TP,0.000127,3.4308,3.3333,3333.27
2020-04-07 01:30:00-04:00,SHORT,Bounce,1.08284,1.0836861581651864,1.07676,2020-04-07 02:00:00-04:00,1.0836861581651864,SL,0.00014,-1.0,-1.1658,-1165.85
2020-04-16 10:30:00-04:00,SHORT,Breakout,1.08505,1.0858990850073835,1.08403,2020-04-16 11:00:00-04:00,1.08403,TP,0.000124,1.2013,1.0556,1055.65
2020-04-20 02:00:00-04:00,SHORT,Breakout,1.0848200000000001,1.0857538785971301,1.08113,2020-04-20 03:00:00-04:00,1.0857538785971301,SL,0.000134,-1.0,-1.1435,-1143.49
2020-04-22 07:00:00-04:00,SHORT,Bounce,1.08716,1.0881462788384237,1.08443,2020-04-22 10:00:00-04:00,1.08443,TP,0.000122,2.768,2.6439,2643.94
2020-04-22 10:00:00-04:00,SHORT,Breakout,1.08375,1.0846677363117478,1.08158,2020-04-22 12:00:00-04:00,1.08158,TP,0.000124,2.3645,2.2298,2229.76
2020-04-23 03:00:00-04:00,SHORT,Breakout,1.07881,1.0806017720932222,1.07676,2020-04-23 06:00:00-04:00,1.07676,TP,0.000122,1.1441,1.0758,1075.84
2020-04-23 10:30:00-04:00,SHORT,Bounce,1.0827,1.083718782120878,1.07452,2020-04-24 02:30:00-04:00,1.07452,TP,0.00012,8.0292,7.9114,7911.41
2020-04-24 02:30:00-04:00,SHORT,Breakout,1.07374,1.0763209903808932,1.07193,2020-04-24 05:30:00-04:00,1.0763209903808932,SL,0.000124,-1.0,-1.0479,-1047.91
2020-04-28 02:00:00-04:00,SHORT,Breakout,1.08147,1.0817182684068465,1.07263,2020-04-28 03:00:00-04:00,1.0817182684068465,SL,0.000131,-1.0,-1.5263,-1526.31
2020-05-01 04:30:00-04:00,LONG,Breakout,1.09754,1.0969491006454486,1.09901,2020-05-01 10:00:00-04:00,1.09901,TP,0.00016,2.4877,2.2164,2216.4
2020-05-06 02:00:00-04:00,SHORT,Breakout,1.082,1.0826702487304465,1.0809,2020-05-06 02:30:00-04:00,1.0826702487304465,SL,0.00016,-1.0,-1.2387,-1238.72
2020-05-06 03:30:00-04:00,SHORT,Breakout,1.08227,1.0826913332583057,1.0809,2020-05-06 04:00:00-04:00,1.0809,TP,0.000157,3.2516,2.8782,2878.17
2020-05-06 09:30:00-04:00,SHORT,Retest,1.08113,1.0827500156701266,1.07263,2020-05-07 13:30:00-04:00,1.0827500156701266,SL,0.000155,-1.0,-1.0959,-1095.88
2020-05-11 05:00:00-04:00,SHORT,Breakout,1.08155,1.0819770267172475,1.07657,2020-05-11 05:30:00-04:00,1.0819770267172475,SL,0.00016,-1.0,-1.3755,-1375.46
2020-05-11 07:30:00-04:00,SHORT,Breakout,1.08135,1.0819844762988022,1.07657,2020-05-11 08:00:00-04:00,1.0819844762988022,SL,0.00016,-1.0,-1.2527,-1252.7
2020-05-11 12:30:00-04:00,SHORT,Retest,1.08073,1.0820352158382514,1.07657,2020-05-12 02:30:00-04:00,1.0820352158382514,SL,0.000158,-1.0,-1.1213,-1121.31
2020-05-14 04:30:00-04:00,SHORT,Breakout,1.08092,1.0812407863400142,1.07836,2020-05-14 06:30:00-04:00,1.07836,TP,0.000165,7.9804,7.4671,7467.07
2020-05-15 02:00:00-04:00,SHORT,Bounce,1.08024,1.080826856675946,1.07741,2020-05-15 03:00:00-04:00,1.080826856675946,SL,0.000163,-1.0,-1.2778,-1277.75
2020-05-19 02:00:00-04:00,LONG,Breakout,1.09354,1.0921336734933031,1.09482,2020-05-19 04:00:00-04:00,1.0921336734933031,SL,0.000156,-1.0,-1.1107,-1110.69
2020-05-19 04:30:00-04:00,LONG,Breakout,1.09504,1.0920792805310828,1.10173,2020-05-19 17:00:00-04:00,1.0920792805310828,SL,0.000152,-1.0,-1.0515,-1051.45
2020-05-21 08:00:00-04:00,LONG,Breakout,1.10046,1.0996167749331633,1.10173,2020-05-21 08:30:00-04:00,1.0996167749331633,SL,0.00016,-1.0,-1.1897,-1189.75
2020-05-27 05:30:00-04:00,LONG,Breakout,1.10245,1.0992098923509916,1.10384,2020-05-27 08:00:00-04:00,1.0992098923509916,SL,0.000152,-1.0,-1.047,-1047.01
2020-05-27 16:00:00-04:00,LONG,Retest,1.09992,1.0992105426299197,1.10299,2020-05-27 21:30:00-04:00,1.10299,TP,0.000164,4.3273,4.0961,4096.09
2020-05-28 09:00:00-04:00,LONG,Breakout,1.10364,1.1031673823950727,1.10549,2020-05-28 09:30:00-04:00,1.1031673823950727,SL,0.000153,-1.0,-1.323,-1323.02
2020-05-29 01:30:00-04:00,LONG,Breakout,1.10999,1.109091429239418,1.11464,2020-05-29 02:30:00-04:00,1.109091429239418,SL,0.000162,-1.0,-1.1799,-1179.92
2020-05-29 11:00:00-04:00,LONG,Retest,1.11234,1.1089585018617616,1.11464,2020-05-29 12:30:00-04:00,1.1089585018617616,SL,0.000151,-1.0,-1.0447,-1044.65
2020-06-01 03:30:00-04:00,LONG,Breakout,1.11481,1.1142156607405884,1.11884,2020-06-01 04:00:00-04:00,1.1142156607405884,SL,0.000159,-1.0,-1.2681,-1268.08
2020-06-02 04:00:00-04:00,LONG,Breakout,1.11631,1.1135358475561707,1.11884,2020-06-02 10:00:00-04:00,1.11884,TP,0.000154,0.912,0.8566,856.6
2020-06-04 07:30:00-04:00,LONG,Breakout,1.12662,1.1254049717044037,1.13324,2020-06-04 08:00:00-04:00,1.1254049717044037,SL,0.000153,-1.0,-1.1262,-1126.2
2020-06-04 09:30:00-04:00,LONG,Breakout,1.12677,1.1253111564673437,1.13324,2020-06-04 10:30:00-04:00,1.13324,TP,0.000153,4.435,4.3304,4330.37
2020-06-05 01:30:00-04:00,LONG,Breakout,1.1368,1.1359064351275232,1.14839,2020-06-05 03:00:00-04:00,1.1359064351275232,SL,0.000166,-1.0,-1.1854,-1185.4
2020-06-09 09:30:00-04:00,LONG,Breakout,1.1348,1.1311076843644547,1.1383,2020-06-10 07:00:00-04:00,1.1383,TP,0.000152,0.9479,0.9068,906.84
2020-06-10 07:00:00-04:00,LONG,Breakout,1.13775,1.1360326580860391,1.14839,2020-06-10 09:30:00-04:00,1.1360326580860391,SL,0.000161,-1.0,-1.0936,-1093.56
2020-06-10 14:00:00-04:00,LONG,Bounce,1.14101,1.1326609970545312,1.14839,2020-06-11 01:00:00-04:00,1.1326609970545312,SL,0.000151,-1.0,-1.0181,-1018.09
2020-06-15 09:30:00-04:00,LONG,Breakout,1.12765,1.1264481672543474,1.13395,2020-06-15 11:00:00-04:00,1.1264481672543474,SL,0.000153,-1.0,-1.1273,-1127.31
2020-06-15 22:30:00-04:00,LONG,Breakout,1.13446,1.1329373938586709,1.14028,2020-06-16 02:30:00-04:00,1.1329373938586709,SL,0.00017,-1.0,-1.1114,-1111.43
2020-06-16 04:30:00-04:00,LONG,Breakout,1.13355,1.132901317991203,1.14028,2020-06-16 05:00:00-04:00,1.132901317991203,SL,0.000158,-1.0,-1.2436,-1243.57
