entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-09 04:00:00-05:00,SHORT,Breakout,1.30264,1.3083214937660363,1.285595518701891,2020-01-10 01:00:00-05:00,1.3083214937660363,SL,0.000239,-1.0,-1.042,-1042.04
2020-01-10 10:00:00-05:00,SHORT,Retest,1.306,1.3082935276578782,1.2991194170263656,2020-01-13 03:00:00-05:00,1.2991194170263656,TP,0.000232,3.0,2.8988,2898.77
2020-01-27 05:00:00-05:00,SHORT,Breakout,1.30931,1.3099093847170389,1.3075118458488832,2020-01-27 07:00:00-05:00,1.3075118458488832,TP,0.000251,3.0,2.5821,2582.07
2020-01-31 06:00:00-05:00,LONG,Breakout,1.3125200000000001,1.3105430954805941,1.3184507135582182,2020-01-31 11:00:00-05:00,1.3184507135582182,TP,0.000245,3.0,2.8763,2876.32
2020-02-04 02:00:00-05:00,SHORT,Breakout,1.2944,1.2980521907723273,1.2834434276830182,2020-02-04 03:00:00-05:00,1.2980521907723273,SL,0.000236,-1.0,-1.0645,-1064.53
2020-02-06 09:00:00-05:00,SHORT,Breakout,1.29523,1.2958657190650633,1.2933228428048105,2020-02-06 10:00:00-05:00,1.2933228428048105,TP,0.000245,3.0,2.6154,2615.4
2020-02-07 11:00:00-05:00,SHORT,Breakout,1.29047,1.2923432257610004,1.284850322716999,2020-02-10 05:00:00-05:00,1.2923432257610004,SL,0.00023,-1.0,-1.1226,-1122.6
2020-02-10 14:00:00-05:00,SHORT,Retest,1.29146,1.29230696465215,1.2889191060435505,2020-02-11 04:00:00-05:00,1.29230696465215,SL,0.000245,-1.0,-1.2891,-1289.07
2020-02-27 05:00:00-05:00,SHORT,Breakout,1.28692,1.2895923820568784,1.278902853829365,2020-02-27 07:00:00-05:00,1.2895923820568784,SL,0.000159,-1.0,-1.0594,-1059.37
2020-02-27 09:00:00-05:00,SHORT,Breakout,1.28818,1.289647110472889,1.2837786685813333,2020-02-27 10:00:00-05:00,1.289647110472889,SL,0.000157,-1.0,-1.1068,-1106.79
2020-02-27 18:00:00-05:00,SHORT,Retest,1.28865,1.289574145825005,1.2858775625249854,2020-02-28 02:00:00-05:00,1.2858775625249854,TP,0.000254,3.0,2.7257,2725.69
2020-02-28 08:00:00-05:00,SHORT,Breakout,1.2854700000000001,1.2863756449014976,1.2827530652955077,2020-02-28 09:00:00-05:00,1.2827530652955077,TP,0.000165,3.0,2.8176,2817.63
2020-03-06 02:00:00-05:00,LONG,Breakout,1.2974999999999999,1.2964401164791532,1.3006796505625398,2020-03-06 03:00:00-05:00,1.2964401164791532,SL,0.000174,-1.0,-1.1639,-1163.85
2020-03-06 04:00:00-05:00,LONG,Breakout,1.29877,1.2964114677804943,1.305845596658517,2020-03-08 18:00:00-04:00,1.305845596658517,TP,0.000171,3.0,2.9275,2927.5
