entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-08-05 18:00:00-04:00,LONG,Retest,11104.4,11093.874516091031,11152.6,2020-08-05 20:00:00-04:00,11093.874516091031,SL,3.0,-1.0,-1.285,-1285.02
2020-08-06 09:00:00-04:00,LONG,Bounce,11124.7,11067.794581852388,11152.6,2020-08-06 10:00:00-04:00,11152.6,TP,3.0,0.4903,0.4376,437.57
2020-08-07 14:00:00-04:00,LONG,Bounce,11089.0,11049.556168578243,11286.9,2020-08-10 10:00:00-04:00,11049.556168578243,SL,3.0,-1.0,-1.0761,-1076.06
2020-08-10 15:00:00-04:00,LONG,Bounce,11083.5,11030.669367878168,11272.9,2020-08-11 08:00:00-04:00,11030.669367878168,SL,3.0,-1.0,-1.0568,-1056.79
2020-08-13 08:00:00-04:00,LONG,Breakout,11195.8,11182.423927500755,11272.9,2020-08-13 09:00:00-04:00,11182.423927500755,SL,3.0,-1.0,-1.2243,-1224.28
2020-08-13 10:00:00-04:00,LONG,Retest,11243.3,11181.516243610344,11272.9,2020-08-13 14:00:00-04:00,11181.516243610344,SL,3.0,-1.0,-1.0486,-1048.56
2020-09-04 09:00:00-04:00,SHORT,Breakout,11540.8,11603.941132377488,11408.0,2020-09-04 10:00:00-04:00,11603.941132377488,SL,3.0,-1.0,-1.0475,-1047.51
2020-09-07 22:00:00-04:00,SHORT,Retest,11508.6,11597.067412709668,11371.2,2020-09-08 04:00:00-04:00,11371.2,TP,3.0,1.5531,1.5192,1519.2
2020-09-08 05:00:00-04:00,SHORT,Breakout,11284.7,11386.275965827479,11141.3,2020-09-08 09:00:00-04:00,11141.3,TP,3.0,1.4118,1.3822,1382.22
2020-09-11 12:00:00-04:00,SHORT,Breakout,11019.2,11107.40547204088,10964.1,2020-09-11 13:00:00-04:00,10964.1,TP,3.0,0.6247,0.5907,590.67
2020-09-18 12:00:00-04:00,SHORT,Breakout,10861.1,10933.523547739936,10700.3,2020-09-18 15:00:00-04:00,10933.523547739936,SL,3.0,-1.0,-1.0414,-1041.42
2020-09-21 10:00:00-04:00,SHORT,Breakout,10725.5,10773.315561746771,10513.0,2020-09-21 11:00:00-04:00,10773.315561746771,SL,3.0,-1.0,-1.0627,-1062.74
2020-09-25 11:00:00-04:00,SHORT,Bounce,10981.2,11040.487452071578,10675.3,2020-09-25 12:00:00-04:00,11040.487452071578,SL,3.0,-1.0,-1.0506,-1050.6
2020-09-30 10:00:00-04:00,LONG,Breakout,11451.4,11428.156123741732,11548.4,2020-09-30 14:00:00-04:00,11428.156123741732,SL,3.0,-1.0,-1.1291,-1129.07
2020-10-08 02:00:00-04:00,LONG,Breakout,11574.5,11529.773455372762,11611.0,2020-10-08 09:00:00-04:00,11529.773455372762,SL,3.0,-1.0,-1.0671,-1067.07
2020-10-20 11:00:00-04:00,LONG,Bounce,11694.6,11594.721939229184,11962.6,2020-10-22 10:00:00-04:00,11594.721939229184,SL,3.0,-1.0,-1.03,-1030.04
2020-10-22 10:00:00-04:00,SHORT,Breakout,11577.4,11614.634982232632,11500.0,2020-10-22 11:00:00-04:00,11614.634982232632,SL,3.0,-1.0,-1.0806,-1080.57
