Direction,Exit Type,PnL,R,Holding Bars,Duration,Position Size,Spread Cost,Commission,Slippage
BUY,LOSS,-108.70,-1.0870,6,5400.00,74074.0741,14.81481,5.00,0.00000
BUY,LOSS,-107.32,-1.0850,16,14400.00,68215.8365,13.64317,5.00,0.00000
SELL,LOSS,-104.96,-1.0727,1,900.00,42354.8595,8.47097,5.00,0.00000
SELL,LOSS,-104.69,-1.0816,6,5400.00,57958.1741,11.59163,5.00,0.00000
BUY,WIN,187.20,1.9552,13,11700.00,70920.9408,14.18419,5.00,0.00000
BUY,WIN,158.92,1.6280,56,50400.00,46044.9187,9.20898,5.00,0.00000
SELL,LOSS,-108.30,-1.0917,5,4500.00,81987.1295,16.39743,5.00,0.00000
SELL,LOSS,-106.19,-1.0822,1,900.00,61325.8681,12.26517,5.00,0.00000
BUY,LOSS,-106.04,-1.0925,8,7200.00,79556.9771,15.91140,5.00,0.00000
SELL,LOSS,-103.96,-1.0829,2,1800.00,59258.7275,11.85175,5.00,0.00000
SELL,LOSS,-102.47,-1.0791,4,3600.00,50243.1311,10.04863,5.00,0.00000
BUY,LOSS,-103.49,-1.1018,7,6300.00,91198.8359,18.23977,5.00,0.00000
BUY,WIN,94.80,1.0205,6,5400.00,62770.1713,12.55403,5.00,0.00000
BUY,LOSS,-104.00,-1.1082,8,7200.00,103129.5596,20.62591,5.00,0.00000
SELL,WIN,267.92,2.8868,80,244800.00,78650.7250,15.73015,5.00,0.00000
BUY,WIN,81.01,0.8483,6,5400.00,67721.3019,13.54426,5.00,0.00000
SELL,LOSS,-104.42,-1.0844,1,900.00,62530.5819,12.50612,5.00,0.00000
BUY,WIN,143.51,1.5066,6,5400.00,102422.4300,20.48449,5.00,0.00000
SELL,LOSS,-106.78,-1.1043,4,3600.00,101776.8265,20.35537,5.00,0.00000
BUY,LOSS,-104.57,-1.0936,6,5400.00,79024.9727,15.80499,5.00,0.00000
BUY,LOSS,-105.14,-1.1117,1,900.00,111264.1203,22.25282,5.00,0.00000
SELL,LOSS,-100.60,-1.0757,18,16200.00,41565.8334,8.31317,5.00,0.00000
SELL,LOSS,-102.66,-1.1096,7,6300.00,102796.7900,20.55936,5.00,0.00000
SELL,WIN,114.45,1.2509,1,900.00,84713.4644,16.94269,5.00,0.00000
SELL,LOSS,-101.31,-1.0937,40,208800.00,73519.8423,14.70397,5.00,0.00000
BUY,LOSS,-100.23,-1.0939,1,900.00,72143.2216,14.42864,5.00,0.00000
BUY,LOSS,-99.70,-1.1002,3,2700.00,81639.2801,16.32786,5.00,0.00000
BUY,WIN,275.26,3.0713,85,249300.00,75951.3434,15.19027,5.00,0.00000
BUY,LOSS,-102.51,-1.1097,1,900.00,102639.0998,20.52782,5.00,0.00000
BUY,LOSS,-99.02,-1.0840,7,6300.00,53421.1219,10.68422,5.00,0.00000
BUY,WIN,103.88,1.1496,58,52200.00,56124.1656,11.22483,5.00,0.00000
SELL,WIN,104.68,1.1453,11,9900.00,83089.7413,16.61795,5.00,0.00000
BUY,WIN,80.24,0.8680,1,900.00,120059.0909,24.01182,5.00,0.00000
BUY,LOSS,-104.30,-1.1186,6,5400.00,121101.1942,24.22024,5.00,0.00000
SELL,LOSS,-100.38,-1.0887,1,900.00,63589.5792,12.71792,5.00,0.00000
BUY,WIN,83.14,0.9116,13,11700.00,61208.7558,12.24175,5.00,0.00000
SELL,LOSS,-100.66,-1.0937,4,3600.00,72466.4978,14.49330,5.00,0.00000
SELL,WIN,125.32,1.3767,21,18900.00,65486.2550,13.09725,5.00,0.00000
SELL,WIN,150.15,1.6271,106,268200.00,26982.1845,5.39644,5.00,0.00000
BUY,LOSS,-104.11,-1.1101,2,1800.00,106568.8028,21.31376,5.00,0.00000
SELL,LOSS,-104.36,-1.1253,19,17100.00,132484.9380,26.49699,5.00,0.00000
SELL,LOSS,-100.28,-1.0936,11,9900.00,71637.3590,14.32747,5.00,0.00000
SELL,LOSS,-99.54,-1.0975,6,5400.00,76858.5108,15.37170,5.00,0.00000
SELL,LOSS,-98.40,-1.0971,6,5400.00,74130.3165,14.82606,5.00,0.00000
BUY,WIN,74.91,0.8443,8,7200.00,62917.4759,12.58350,5.00,0.00000
SELL,WIN,81.61,0.9122,3,2700.00,95173.0776,19.03462,5.00,0.00000
SELL,LOSS,-100.59,-1.1142,3,2700.00,106210.3153,21.24206,5.00,0.00000
BUY,LOSS,-97.01,-1.0867,36,32400.00,54768.6351,10.95373,5.00,0.00000
SELL,WIN,82.53,0.9347,4,3600.00,76785.0105,15.35700,5.00,0.00000
SELL,LOSS,-97.06,-1.0890,2,1800.00,58636.9153,11.72738,5.00,0.00000
SELL,LOSS,-96.22,-1.0914,49,44100.00,61220.4942,12.24410,5.00,0.00000
BUY,LOSS,-96.12,-1.1024,4,3600.00,78554.3480,15.71087,5.00,0.00000
SELL,LOSS,-94.77,-1.0990,1,900.00,70683.6851,14.13674,5.00,0.00000
SELL,WIN,78.91,0.9252,18,16200.00,68779.3653,13.75587,5.00,0.00000
SELL,LOSS,-95.75,-1.1124,7,6300.00,93560.3492,18.71207,5.00,0.00000
SELL,WIN,119.35,1.4021,21,18900.00,74015.6399,14.80313,5.00,0.00000
SELL,WIN,245.94,2.8495,13,11700.00,53278.6720,10.65573,5.00,0.00000
BUY,WIN,75.63,0.8520,4,3600.00,73975.7284,14.79515,5.00,0.00000
BUY,LOSS,-96.90,-1.0823,1,900.00,47368.8939,9.47378,5.00,0.00000
SELL,LOSS,-98.59,-1.1133,4,3600.00,100634.3784,20.12688,5.00,0.00000
SELL,WIN,294.30,3.3606,30,27000.00,55425.5400,11.08511,5.00,0.00000
SELL,LOSS,-99.02,-1.0940,3,2700.00,70166.9244,14.03338,5.00,0.00000
SELL,LOSS,-98.26,-1.0975,6,5400.00,74604.2464,14.92085,5.00,0.00000
SELL,LOSS,-95.46,-1.0781,6,5400.00,38330.1050,7.66602,5.00,0.00000
BUY,LOSS,-96.88,-1.1061,3,2700.00,85870.5413,17.17411,5.00,0.00000
BUY,LOSS,-95.29,-1.1001,1,900.00,73406.0486,14.68121,5.00,0.00000
BUY,LOSS,-94.01,-1.0974,4,3600.00,66926.7523,13.38535,5.00,0.00000
SELL,LOSS,-93.96,-1.1090,21,18900.00,84726.1171,16.94522,5.00,0.00000
