entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2022-08-02 05:15:00+00:00,2022-08-02 09:15:00+00:00,BUY,1.02662,1.02512,1.02517,1.02936,LOSS,-108.45,-1.08,EURUSD,,Bullish continuation setup at ob_2227_bullish confirmed by break break_2_2022-08-02T03:30:00+00:00 and nearby FVG fvg_2182_bullish,0.70
2022-11-01 11:15:00+00:00,2022-11-01 14:30:00+00:00,BUY,0.99204,0.99475,0.99069,0.99480,WIN,193.56,1.96,EURUSD,,Bullish continuation setup at ob_8493_bullish confirmed by break break_2_2022-11-01T10:00:00+00:00 and nearby FVG fvg_8484_bullish,0.68
2022-11-03 18:30:00+00:00,2022-11-04 08:30:00+00:00,BUY,0.97589,0.97945,0.97377,0.97950,WIN,164.35,1.63,EURUSD,,Bullish continuation setup at ob_8710_bullish confirmed by break break_2_2022-11-03T16:15:00+00:00 and nearby FVG fvg_7845_bullish,0.67
2022-11-23 14:15:00+00:00,2022-11-23 15:30:00+00:00,SELL,1.03197,1.03323,1.03318,1.02963,LOSS,-111.73,-1.09,EURUSD,,Bearish continuation setup at ob_10034_bearish confirmed by break break_4_2022-11-23T12:00:00+00:00 and nearby FVG fvg_10028_bearish,0.68
2022-12-05 13:30:00+00:00,2022-12-05 13:45:00+00:00,SELL,1.05497,1.05662,1.05657,1.05184,LOSS,-109.55,-1.08,EURUSD,,Bearish continuation setup at ob_10802_bearish confirmed by break break_4_2022-12-05T12:15:00+00:00 and nearby FVG fvg_10790_bearish,0.70
2023-01-17 14:00:00+00:00,2023-01-17 14:30:00+00:00,SELL,1.08294,1.08461,1.08456,1.08088,LOSS,-108.38,-1.08,EURUSD,,Bearish continuation setup at ob_13609_bearish confirmed by break break_12_2023-01-17T12:15:00+00:00 and nearby FVG fvg_13604_bearish,0.32
2023-02-16 18:45:00+00:00,2023-02-16 19:45:00+00:00,SELL,1.06754,1.06948,1.06943,1.06546,LOSS,-106.82,-1.08,EURUSD,,Bearish continuation setup at ob_15843_bearish confirmed by break break_0_2023-02-16T16:00:00+00:00 and nearby FVG fvg_15840_bearish,0.65
2023-03-31 06:15:00+00:00,2023-03-31 08:15:00+00:00,BUY,1.09066,1.08970,1.08975,1.09257,LOSS,-108.52,-1.11,EURUSD,,Bullish continuation setup at ob_18758_bullish confirmed by break break_1_2023-03-31T03:15:00+00:00 and nearby FVG fvg_18710_bullish,0.34
2023-04-07 19:00:00+00:00,2023-04-10 15:00:00+00:00,SELL,1.09109,1.08762,1.09227,1.08757,WIN,280.38,2.89,EURUSD,,Bearish continuation setup at ob_19288_bearish confirmed by break break_1_2023-04-07T15:30:00+00:00 and nearby FVG fvg_19220_bearish,0.33
2023-04-20 12:15:00+00:00,2023-04-20 13:45:00+00:00,BUY,1.09601,1.09728,1.09460,1.09733,WIN,84.93,0.85,EURUSD,,Bullish continuation setup at ob_20133_bullish confirmed by break break_0_2023-04-20T11:15:00+00:00 and nearby FVG fvg_20102_bullish,0.33
2023-05-26 12:15:00+00:00,2023-05-26 13:45:00+00:00,BUY,1.07295,1.07440,1.07202,1.07445,WIN,152.00,1.51,EURUSD,,Bullish continuation setup at ob_22605_bullish confirmed by break break_0_2023-05-26T04:45:00+00:00 and nearby FVG fvg_22570_bullish,0.65
