Ay,Trade,WinRate%,PF,CemiR,NetP&L
2025-08,6,16.7,0.43,-2.8,-2837.18
2025-09,10,20.0,0.2,-6.4,-6403.0
2025-10,24,29.2,0.84,-2.7,-2654.52
2025-11,20,20.0,0.51,-7.8,-7831.04
2025-12,14,7.1,0.05,-12.3,-12330.5
2026-01,24,37.5,1.75,11.2,11188.0
2026-02,18,50.0,2.55,13.9,13935.38
2026-03,26,34.6,1.3,5.0,5035.4
2026-04,8,12.5,0.32,-4.8,-4775.96
2026-05,26,15.4,0.25,-16.4,-16395.63
2026-06,16,50.0,1.79,6.3,6331.35
2026-07,19,26.3,0.6,-5.6,-5632.17
2026-08,11,27.3,2.48,11.8,11800.81
CƏMİ,222,,,-10.6,-10569.06
