trade_num,entry_time,result,pnl,cumulative_pnl
1,2024-12-10T15:30:00+00:00,LOSS,-101.64,-101.64
2,2024-12-11T19:25:00+00:00,LOSS,-99.13,-200.77
3,2024-12-19T15:35:00+00:00,LOSS,-100.13,-300.90
4,2024-12-23T15:45:00+00:00,LOSS,-97.73,-398.63
5,2024-12-26T16:45:00+00:00,LOSS,-97.17,-495.80
6,2024-12-27T15:45:00+00:00,WIN,184.18,-311.62
7,2025-01-06T17:35:00+00:00,LOSS,-97.03,-408.65
8,2025-01-08T15:05:00+00:00,LOSS,-96.57,-505.22
9,2025-01-09T15:30:00+00:00,LOSS,-96.39,-601.61
10,2025-01-10T15:00:00+00:00,LOSS,-95.85,-697.46
11,2025-01-13T16:05:00+00:00,LOSS,-94.16,-791.62
12,2025-01-14T15:35:00+00:00,LOSS,-92.56,-884.18
13,2025-01-15T15:35:00+00:00,WIN,181.70,-702.48
14,2025-01-22T15:15:00+00:00,WIN,177.73,-524.75
15,2025-01-23T16:40:00+00:00,LOSS,-96.56,-621.31
16,2025-01-24T16:20:00+00:00,LOSS,-95.43,-716.74
17,2025-01-27T15:10:00+00:00,WIN,182.08,-534.66
18,2025-01-28T14:55:00+00:00,LOSS,-95.88,-630.54
19,2025-01-29T14:55:00+00:00,WIN,180.19,-450.35
20,2025-01-30T15:10:00+00:00,LOSS,-96.89,-547.24
21,2025-01-31T15:35:00+00:00,LOSS,-96.44,-643.68
22,2025-02-03T15:05:00+00:00,WIN,181.83,-461.85
23,2025-02-04T15:10:00+00:00,LOSS,-97.46,-559.31
24,2025-02-05T15:10:00+00:00,LOSS,-96.09,-655.40
25,2025-02-06T15:50:00+00:00,WIN,178.94,-476.46
26,2025-02-07T15:10:00+00:00,LOSS,-97.06,-573.52
27,2025-02-10T15:15:00+00:00,WIN,182.16,-391.36
28,2025-02-12T15:00:00+00:00,LOSS,-97.99,-489.35
29,2025-02-13T15:30:00+00:00,WIN,181.40,-307.95
30,2025-02-14T15:35:00+00:00,WIN,187.67,-120.28
31,2025-02-17T16:30:00+00:00,WIN,189.26,68.98
32,2025-02-18T15:05:00+00:00,LOSS,-102.78,-33.80
33,2025-02-19T15:00:00+00:00,WIN,191.03,157.23
34,2025-02-20T16:05:00+00:00,LOSS,-103.81,53.42
35,2025-02-21T15:45:00+00:00,LOSS,-101.83,-48.41
36,2025-02-24T16:35:00+00:00,WIN,192.63,144.22
37,2025-02-25T14:55:00+00:00,LOSS,-103.05,41.17
38,2025-02-26T15:25:00+00:00,LOSS,-102.00,-60.83
39,2025-02-27T14:55:00+00:00,WIN,192.69,131.86
40,2025-02-28T15:35:00+00:00,LOSS,-102.58,29.28
41,2025-03-03T15:40:00+00:00,LOSS,-101.77,-72.49
42,2025-03-04T14:55:00+00:00,WIN,192.33,119.84
43,2025-03-05T19:55:00+00:00,LOSS,-102.31,17.53
44,2025-03-06T15:05:00+00:00,LOSS,-101.47,-83.94
45,2025-03-07T15:15:00+00:00,LOSS,-100.97,-184.91
46,2025-03-11T14:00:00+00:00,LOSS,-99.90,-284.81
47,2025-03-12T14:05:00+00:00,LOSS,-98.55,-383.36
48,2025-03-13T13:55:00+00:00,LOSS,-97.96,-481.32
49,2025-03-14T15:35:00+00:00,LOSS,-95.79,-577.11
50,2025-03-17T14:05:00+00:00,LOSS,-95.56,-672.67
51,2025-03-18T14:30:00+00:00,LOSS,-95.15,-767.82
52,2025-03-19T14:05:00+00:00,LOSS,-94.31,-862.13
53,2025-03-20T14:50:00+00:00,WIN,174.30,-687.83
54,2025-03-21T13:55:00+00:00,LOSS,-94.43,-782.26
55,2025-03-24T14:25:00+00:00,LOSS,-94.24,-876.50
56,2025-03-25T15:05:00+00:00,LOSS,-92.61,-969.11
