day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2020-01-02,reversal,LONG,2020-01-02 10:00:00-05:00,2020-01-02 10:30:00-05:00,1528.87,1525.565530512412,1535.4789389751759,2020-01-02 11:45:00-05:00,1525.565530512412,SL,-1.118,-559.01
2020-01-09,reversal,SHORT,2020-01-09 09:45:00-05:00,2020-01-09 10:30:00-05:00,1547.97,1552.7846762561348,1538.3406474877304,2020-01-09 13:00:00-05:00,1552.7846762561348,SL,-1.081,-540.5
2020-01-17,reversal,SHORT,2020-01-17 09:45:00-05:00,2020-01-17 10:15:00-05:00,1555.43,1558.9627148151037,1548.3645703697928,2020-01-17 12:15:00-05:00,1558.9627148151037,SL,-1.1104,-555.2
2020-01-22,reversal,SHORT,2020-01-22 09:45:00-05:00,2020-01-22 10:15:00-05:00,1555.4,1558.9263736757018,1548.3472526485966,2020-01-22 18:15:00-05:00,1558.9263736757018,SL,-1.1106,-555.3
2020-01-23,reversal,SHORT,2020-01-23 09:45:00-05:00,2020-01-23 10:15:00-05:00,1561.6,1564.9407784305347,1554.9184431389303,2020-01-23 11:15:00-05:00,1564.9407784305347,SL,-1.1167,-558.37
2020-02-05,reversal,LONG,2020-02-05 09:45:00-05:00,2020-02-05 10:30:00-05:00,1556.41,1552.6403313965136,1563.949337206973,2020-02-05 23:45:00-05:00,1553.02,EOD,-1.0027,-501.37
2020-03-11,reversal,SHORT,2020-03-11 10:00:00-04:00,2020-03-11 10:45:00-04:00,1652.92,1663.3141435582772,1632.1317128834457,2020-03-11 22:00:00-04:00,1632.1317128834457,TP,1.9625,981.24
2020-04-08,reversal,SHORT,2020-04-08 09:45:00-04:00,2020-04-08 10:15:00-04:00,1647.34,1657.299693492083,1627.4206130158339,2020-04-08 23:45:00-04:00,1648.61,EOD,-0.1667,-83.34
2020-05-04,reversal,SHORT,2020-05-04 09:45:00-04:00,2020-05-04 10:45:00-04:00,1701.6,1710.561522656874,1683.6769546862515,2020-05-04 23:45:00-04:00,1698.13,EOD,0.3437,171.85
2020-05-06,reversal,SHORT,2020-05-06 09:45:00-04:00,2020-05-06 10:15:00-04:00,1689.86,1698.4429417386943,1672.694116522611,2020-05-06 23:45:00-04:00,1691.69,EOD,-0.2587,-129.33
2020-05-19,reversal,LONG,2020-05-19 09:45:00-04:00,2020-05-19 10:30:00-04:00,1743.7,1737.4369512590376,1756.2260974819249,2020-05-19 23:45:00-04:00,1749.19,EOD,0.8143,407.15
2020-06-11,reversal,LONG,2020-06-11 09:45:00-04:00,2020-06-11 10:15:00-04:00,1742.03,1734.2292272659834,1757.6315454680332,2020-06-11 11:30:00-04:00,1734.2292272659834,SL,-1.05,-525.0
2020-07-17,reversal,LONG,2020-07-17 09:45:00-04:00,2020-07-17 10:45:00-04:00,1808.71,1804.9179197326835,1816.2941605346332,2020-07-17 15:45:00-04:00,1810.57,EOD,0.3877,193.83
2020-08-31,reversal,SHORT,2020-08-31 09:45:00-04:00,2020-08-31 10:45:00-04:00,1962.87,1972.5142403581262,1943.5815192837472,2020-08-31 12:00:00-04:00,1972.5142403581262,SL,-1.0404,-520.22
2020-11-03,reversal,LONG,2020-11-03 10:00:00-05:00,2020-11-03 10:45:00-05:00,1907.23,1899.9546010454462,1921.7807979091076,2020-11-03 19:45:00-05:00,1899.9546010454462,SL,-1.0536,-526.8
2020-11-18,reversal,LONG,2020-11-18 10:00:00-05:00,2020-11-18 10:30:00-05:00,1881.65,1874.7029125480153,1895.5441749039696,2020-11-18 12:45:00-05:00,1874.7029125480153,SL,-1.0561,-528.07
2020-11-20,reversal,SHORT,2020-11-20 09:45:00-05:00,2020-11-20 10:45:00-05:00,1874.29,1878.8845448106863,1865.1009103786273,2020-11-20 15:45:00-05:00,1873.28,EOD,0.1349,67.47
2020-12-10,reversal,SHORT,2020-12-10 09:45:00-05:00,2020-12-10 10:30:00-05:00,1839.75,1850.246577962043,1818.7568440759142,2020-12-10 23:45:00-05:00,1837.38,EOD,0.1886,94.32
2021-01-04,reversal,SHORT,2021-01-04 09:45:00-05:00,2021-01-04 10:15:00-05:00,1934.31,1943.9546083144396,1915.0207833711206,2021-01-04 18:15:00-05:00,1943.9546083144396,SL,-1.0404,-520.22
2021-01-19,reversal,LONG,2021-01-19 09:45:00-05:00,2021-01-19 10:45:00-05:00,1839.2,1833.7684765854608,1850.0630468290785,2021-01-19 21:45:00-05:00,1850.0630468290785,TP,1.9282,964.1
2021-01-20,reversal,LONG,2021-01-20 10:00:00-05:00,2021-01-20 10:30:00-05:00,1867.18,1853.9479805828068,1893.6440388343865,2021-01-20 23:45:00-05:00,1870.91,EOD,0.2524,126.21
