day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2022-12-12,reversal,LONG,2022-12-12 09:40:00-05:00,2022-12-12 09:50:00-05:00,1788.72,1785.3400568807187,1795.4798862385626,2022-12-12 10:35:00-05:00,1785.3400568807187,SL,-1.0,-500.0
2022-12-13,reversal,LONG,2022-12-13 09:35:00-05:00,2022-12-13 09:55:00-05:00,1822.1,1814.7195168879603,1836.8609662240792,2022-12-13 10:25:00-05:00,1814.7195168879603,SL,-1.0,-500.0
2023-01-06,reversal,SHORT,2023-01-06 09:35:00-05:00,2023-01-06 09:45:00-05:00,1841.77,1849.209523410112,1826.8909531797758,2023-01-06 10:00:00-05:00,1849.209523410112,SL,-1.0,-500.0
2023-02-23,reversal,LONG,2023-02-23 09:35:00-05:00,2023-02-23 09:50:00-05:00,1828.3,1822.8386191872298,1839.2227616255402,2023-02-23 10:30:00-05:00,1822.8386191872298,SL,-1.0,-500.0
2023-02-24,reversal,LONG,2023-02-24 09:45:00-05:00,2023-02-24 09:55:00-05:00,1812.84,1808.7087491789653,1821.1025016420692,2023-02-24 16:55:00-05:00,1809.54,EOD,-0.7988,-399.39
2023-03-02,reversal,LONG,2023-03-02 09:45:00-05:00,2023-03-02 09:55:00-05:00,1836.5,1832.803950955196,1843.8920980896082,2023-03-02 12:15:00-05:00,1832.803950955196,SL,-1.0,-500.0
2023-04-04,reversal,LONG,2023-04-04 09:35:00-04:00,2023-04-04 09:45:00-04:00,1992.31,1986.5269653944795,2003.8760692110409,2023-04-04 10:05:00-04:00,2003.8760692110409,TP,2.0,1000.0
2023-04-11,reversal,LONG,2023-04-11 09:45:00-04:00,2023-04-11 09:55:00-04:00,2001.44,1998.0786698903596,2008.162660219281,2023-04-11 21:20:00-04:00,2008.162660219281,TP,2.0,1000.0
2023-05-01,reversal,SHORT,2023-05-01 09:40:00-04:00,2023-05-01 09:50:00-04:00,1998.68,2004.1017464332597,1987.8365071334808,2023-05-01 10:00:00-04:00,1987.8365071334808,TP,2.0,1000.0
2023-05-10,reversal,LONG,2023-05-10 09:35:00-04:00,2023-05-10 09:50:00-04:00,2039.0,2031.5134457057231,2053.9731085885537,2023-05-10 10:35:00-04:00,2031.5134457057231,SL,-1.0,-500.0
2023-05-26,reversal,SHORT,2023-05-26 09:45:00-04:00,2023-05-26 09:55:00-04:00,1946.81,1950.2485160851832,1939.9329678296335,2023-05-26 10:05:00-04:00,1950.2485160851832,SL,-1.0,-500.0
2023-05-29,reversal,SHORT,2023-05-29 09:35:00-04:00,2023-05-29 09:45:00-04:00,1945.99,1948.2729944866003,1941.4240110267995,2023-05-29 19:25:00-04:00,1941.4240110267995,TP,2.0,1000.0
2023-06-13,reversal,SHORT,2023-06-13 09:35:00-04:00,2023-06-13 09:45:00-04:00,1954.29,1964.6446112578517,1933.5807774842965,2023-06-13 23:55:00-04:00,1949.18,EOD,0.4935,246.75
2023-07-03,reversal,LONG,2023-07-03 09:35:00-04:00,2023-07-03 09:50:00-04:00,1926.19,1921.555285014082,1935.459429971836,2023-07-03 13:00:00-04:00,1921.555285014082,SL,-1.0,-500.0
2023-07-10,reversal,LONG,2023-07-10 09:35:00-04:00,2023-07-10 09:50:00-04:00,1923.11,1919.684730339085,1929.9605393218296,2023-07-10 23:55:00-04:00,1926.63,EOD,1.0277,513.83
2023-07-25,reversal,SHORT,2023-07-25 09:40:00-04:00,2023-07-25 09:55:00-04:00,1956.61,1960.7585191697392,1948.3129616605213,2023-07-25 10:55:00-04:00,1960.7585191697392,SL,-1.0,-500.0
2023-08-01,reversal,LONG,2023-08-01 09:35:00-04:00,2023-08-01 09:50:00-04:00,1948.35,1944.5667233371141,1955.9165533257715,2023-08-01 10:00:00-04:00,1944.5667233371141,SL,-1.0,-500.0
2023-08-17,reversal,SHORT,2023-08-17 09:40:00-04:00,2023-08-17 09:50:00-04:00,1897.56,1902.5079175566552,1887.6641648866894,2023-08-17 13:00:00-04:00,1887.6641648866894,TP,2.0,1000.0
2023-09-07,reversal,SHORT,2023-09-07 09:40:00-04:00,2023-09-07 09:50:00-04:00,1919.07,1922.449872545011,1912.3102549099779,2023-09-07 20:35:00-04:00,1922.449872545011,SL,-1.0,-500.0
2023-09-19,reversal,LONG,2023-09-19 09:35:00-04:00,2023-09-19 09:45:00-04:00,1935.83,1932.590834015116,1942.308331969768,2023-09-19 10:05:00-04:00,1932.590834015116,SL,-1.0,-500.0
2023-09-26,reversal,LONG,2023-09-26 09:35:00-04:00,2023-09-26 09:45:00-04:00,1906.49,1904.3903913630054,1910.6892172739892,2023-09-26 11:05:00-04:00,1904.3903913630054,SL,-1.0,-500.0
2023-10-04,reversal,SHORT,2023-10-04 09:35:00-04:00,2023-10-04 09:50:00-04:00,1820.22,1825.1477377929805,1810.3645244140391,2023-10-04 11:20:00-04:00,1825.1477377929805,SL,-1.0,-500.0
2023-11-03,reversal,SHORT,2023-11-03 09:35:00-04:00,2023-11-03 09:55:00-04:00,2000.18,2002.7686180308779,1995.0027639382445,2023-11-03 10:20:00-04:00,1995.0027639382445,TP,2.0,1000.0
2023-11-23,reversal,LONG,2023-11-23 09:35:00-05:00,2023-11-23 09:45:00-05:00,1994.35,1992.3419344515798,1998.36613109684,2023-11-23 10:30:00-05:00,1992.3419344515798,SL,-1.0,-500.0
2024-01-03,reversal,LONG,2024-01-03 09:40:00-05:00,2024-01-03 09:50:00-05:00,2038.15,2034.071397251021,2046.3072054979584,2024-01-03 10:00:00-05:00,2046.3072054979584,TP,2.0,1000.0
2024-02-02,reversal,LONG,2024-02-02 09:35:00-05:00,2024-02-02 09:50:00-05:00,2033.05,2027.5433591606577,2044.0632816786845,2024-02-02 16:55:00-05:00,2039.21,EOD,1.1186,559.32
2024-02-05,reversal,LONG,2024-02-05 09:40:00-05:00,2024-02-05 09:50:00-05:00,2022.65,2016.8664170421107,2034.2171659157789,2024-02-05 10:00:00-05:00,2016.8664170421107,SL,-1.0,-500.0
2024-02-14,reversal,SHORT,2024-02-14 09:35:00-05:00,2024-02-14 09:50:00-05:00,1988.77,1992.4063206240587,1981.4973587518825,2024-02-14 11:30:00-05:00,1992.4063206240587,SL,-1.0,-500.0
2024-02-19,reversal,LONG,2024-02-19 09:35:00-05:00,2024-02-19 09:55:00-05:00,2017.29,2016.0930914751075,2019.683817049785,2024-02-19 10:40:00-05:00,2016.0930914751075,SL,-1.0,-500.0
2024-03-04,reversal,LONG,2024-03-04 09:35:00-05:00,2024-03-04 09:45:00-05:00,2099.44,2093.2423453801434,2111.8353092397133,2024-03-04 11:10:00-05:00,2111.8353092397133,TP,2.0,1000.0
2024-03-18,reversal,SHORT,2024-03-18 09:40:00-04:00,2024-03-18 09:55:00-04:00,2159.05,2163.342520454242,2150.464959091517,2024-03-18 23:55:00-04:00,2160.78,EOD,-0.403,-201.51
2024-05-02,reversal,SHORT,2024-05-02 09:35:00-04:00,2024-05-02 09:50:00-04:00,2289.13,2296.0533530908097,2275.283293818381,2024-05-02 10:15:00-04:00,2296.0533530908097,SL,-1.0,-500.0
2024-05-15,reversal,SHORT,2024-05-15 09:35:00-04:00,2024-05-15 09:45:00-04:00,2359.17,2370.7582715034237,2335.993456993153,2024-05-15 10:35:00-04:00,2370.7582715034237,SL,-1.0,-500.0
2024-05-31,reversal,SHORT,2024-05-31 09:40:00-04:00,2024-05-31 09:55:00-04:00,2348.1,2354.507071310739,2335.285857378522,2024-05-31 10:40:00-04:00,2335.285857378522,TP,2.0,1000.0
2024-06-06,reversal,SHORT,2024-06-06 09:40:00-04:00,2024-06-06 09:50:00-04:00,2361.17,2367.2254399943927,2349.059120011215,2024-06-06 11:05:00-04:00,2367.2254399943927,SL,-1.0,-500.0
2024-08-19,reversal,LONG,2024-08-19 09:40:00-04:00,2024-08-19 09:55:00-04:00,2494.69,2486.182451103855,2511.7050977922904,2024-08-19 23:55:00-04:00,2501.72,EOD,0.8263,413.16
2024-08-21,reversal,SHORT,2024-08-21 09:35:00-04:00,2024-08-21 09:45:00-04:00,2502.17,2508.104932043239,2490.3001359135224,2024-08-21 11:25:00-04:00,2508.104932043239,SL,-1.0,-500.0
2024-09-04,reversal,SHORT,2024-09-04 09:35:00-04:00,2024-09-04 09:45:00-04:00,2484.9,2490.2103061990356,2474.279387601929,2024-09-04 10:00:00-04:00,2490.2103061990356,SL,-1.0,-500.0
