day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2020-01-13,reversal,SHORT,2020-01-13 09:45:00-05:00,2020-01-13 10:45:00-05:00,1551.08,1556.268061885371,1540.7038762292577,2020-01-13 21:00:00-05:00,1540.7038762292577,TP,1.9692,984.58
2020-02-18,reversal,SHORT,2020-02-18 09:45:00-05:00,2020-02-18 10:45:00-05:00,1589.78,1592.0500846832074,1585.2398306335851,2020-02-18 11:00:00-05:00,1592.0500846832074,SL,-1.0705,-535.24
2020-02-21,reversal,SHORT,2020-02-21 09:45:00-05:00,2020-02-21 10:15:00-05:00,1640.54,1645.7345993372692,1630.1508013254615,2020-02-21 10:45:00-05:00,1645.7345993372692,SL,-1.0308,-515.4
2020-02-24,reversal,LONG,2020-02-24 09:45:00-05:00,2020-02-24 10:15:00-05:00,1682.43,1673.9322058392756,1699.425588321449,2020-02-24 10:45:00-05:00,1673.9322058392756,SL,-1.0188,-509.41
2020-02-28,reversal,SHORT,2020-02-28 10:15:00-05:00,2020-02-28 10:45:00-05:00,1615.79,1628.6551620090463,1590.0596759819073,2020-02-28 11:30:00-05:00,1590.0596759819073,TP,1.9876,993.78
2020-03-02,reversal,LONG,2020-03-02 09:45:00-05:00,2020-03-02 10:45:00-05:00,1598.91,1591.9427005226146,1612.844598954771,2020-03-02 11:30:00-05:00,1591.9427005226146,SL,-1.023,-511.48
2020-03-06,reversal,LONG,2020-03-06 09:45:00-05:00,2020-03-06 10:15:00-05:00,1682.17,1667.9703605545103,1710.5692788909796,2020-03-06 11:15:00-05:00,1667.9703605545103,SL,-1.0113,-505.63
2020-04-01,reversal,SHORT,2020-04-01 09:45:00-04:00,2020-04-01 10:30:00-04:00,1576.45,1586.6254805531487,1556.0990388937028,2020-04-01 11:15:00-04:00,1586.6254805531487,SL,-1.0157,-507.86
2020-04-14,reversal,LONG,2020-04-14 09:45:00-04:00,2020-04-14 10:45:00-04:00,1736.94,1724.5880026607442,1761.6439946785117,2020-04-14 16:00:00-04:00,1724.5880026607442,SL,-1.013,-506.48
2020-04-20,reversal,LONG,2020-04-20 09:45:00-04:00,2020-04-20 10:45:00-04:00,1689.78,1684.0145225725987,1701.3109548548025,2020-04-20 11:00:00-04:00,1684.0145225725987,SL,-1.0278,-513.88
2020-04-23,reversal,LONG,2020-04-23 10:00:00-04:00,2020-04-23 10:45:00-04:00,1728.5,1719.5263003283949,1746.4473993432102,2020-04-23 23:45:00-04:00,1723.2,EOD,-0.6084,-304.22
2020-05-01,reversal,LONG,2020-05-01 09:45:00-04:00,2020-05-01 10:45:00-04:00,1685.53,1675.902418666096,1704.7851626678078,2020-05-01 16:00:00-04:00,1704.7851626678078,TP,1.9834,991.69
2020-05-05,reversal,LONG,2020-05-05 10:00:00-04:00,2020-05-05 10:30:00-04:00,1702.64,1692.9180172727886,1722.0839654544232,2020-05-05 23:45:00-04:00,1702.85,EOD,0.0051,2.57
2020-05-08,reversal,LONG,2020-05-08 09:45:00-04:00,2020-05-08 10:45:00-04:00,1717.37,1705.5936247386321,1740.9227505227354,2020-05-08 15:00:00-04:00,1705.5936247386321,SL,-1.0136,-506.79
2020-06-12,reversal,LONG,2020-06-12 10:00:00-04:00,2020-06-12 10:45:00-04:00,1741.21,1736.0796626999665,1751.470674600067,2020-06-12 11:00:00-04:00,1736.0796626999665,SL,-1.0312,-515.59
2020-06-16,reversal,SHORT,2020-06-16 09:45:00-04:00,2020-06-16 10:15:00-04:00,1721.88,1729.1083574641864,1707.4232850716276,2020-06-16 11:45:00-04:00,1729.1083574641864,SL,-1.0221,-511.07
2020-07-13,reversal,LONG,2020-07-13 10:00:00-04:00,2020-07-13 10:30:00-04:00,1811.91,1806.0239908225735,1823.6820183548532,2020-07-13 11:30:00-04:00,1806.0239908225735,SL,-1.0272,-513.59
2020-07-16,reversal,LONG,2020-07-16 10:00:00-04:00,2020-07-16 10:30:00-04:00,1806.1,1802.9364573208431,1812.4270853583134,2020-07-16 13:45:00-04:00,1802.9364573208431,SL,-1.0506,-525.29
2020-07-27,reversal,LONG,2020-07-27 09:45:00-04:00,2020-07-27 10:45:00-04:00,1939.76,1930.8298531620985,1957.620293675803,2020-07-27 20:30:00-04:00,1957.620293675803,TP,1.9821,991.04
2020-08-07,reversal,SHORT,2020-08-07 09:45:00-04:00,2020-08-07 10:15:00-04:00,2050.97,2064.366851919122,2024.1762961617555,2020-08-07 11:00:00-04:00,2024.1762961617555,TP,1.9881,994.03
2020-08-25,reversal,LONG,2020-08-25 09:45:00-04:00,2020-08-25 10:15:00-04:00,1927.39,1922.5691976439068,1937.0316047121867,2020-08-25 10:45:00-04:00,1922.5691976439068,SL,-1.0332,-516.59
2020-08-27,reversal,SHORT,2020-08-27 09:45:00-04:00,2020-08-27 10:45:00-04:00,1940.9,1944.8454262432035,1932.18,2020-08-27 11:00:00-04:00,1932.18,TP,2.1696,1084.8
2020-09-28,reversal,LONG,2020-09-28 09:45:00-04:00,2020-09-28 10:15:00-04:00,1872.31,1865.8331730239502,1885.2636539520995,2020-09-28 10:45:00-04:00,1865.8331730239502,SL,-1.0247,-512.35
2020-10-12,reversal,SHORT,2020-10-12 09:45:00-04:00,2020-10-12 10:15:00-04:00,1923.37,1928.6495440176761,1912.8109119646474,2020-10-12 23:15:00-04:00,1912.8109119646474,TP,1.9697,984.85
2020-10-20,reversal,SHORT,2020-10-20 09:45:00-04:00,2020-10-20 10:15:00-04:00,1902.41,1907.534407818653,1892.161184362694,2020-10-20 11:45:00-04:00,1907.534407818653,SL,-1.0312,-515.61
2020-11-03,reversal,SHORT,2020-11-03 10:15:00-05:00,2020-11-03 10:45:00-05:00,1900.5,1908.3701889806118,1884.7596220387763,2020-11-03 11:30:00-05:00,1908.3701889806118,SL,-1.0203,-510.16
2020-11-05,reversal,LONG,2020-11-05 10:15:00-05:00,2020-11-05 10:45:00-05:00,1932.48,1926.6076628759947,1944.2246742480106,2020-11-05 11:15:00-05:00,1944.2246742480106,TP,1.9728,986.38
2020-11-06,reversal,SHORT,2020-11-06 09:45:00-05:00,2020-11-06 10:30:00-05:00,1946.76,1960.7571360228312,1918.7657279543375,2020-11-06 17:45:00-05:00,1951.81,EOD,-0.3722,-186.11
2020-12-03,reversal,LONG,2020-12-03 09:45:00-05:00,2020-12-03 10:15:00-05:00,1840.29,1834.4419322574665,1851.9861354850668,2020-12-03 10:30:00-05:00,1834.4419322574665,SL,-1.0274,-513.68
2020-12-03,reversal,SHORT,2020-12-03 10:00:00-05:00,2020-12-03 10:45:00-05:00,1831.57,1841.4574206555517,1811.7951586888964,2020-12-03 16:45:00-05:00,1841.4574206555517,SL,-1.0162,-508.09
2020-12-15,reversal,SHORT,2020-12-15 09:45:00-05:00,2020-12-15 10:15:00-05:00,1849.08,1855.6360334844155,1835.9679330311687,2020-12-15 22:30:00-05:00,1855.6360334844155,SL,-1.0244,-512.2
2020-12-22,reversal,SHORT,2020-12-22 09:45:00-05:00,2020-12-22 10:45:00-05:00,1874.38,1879.424475040789,1864.2910499184222,2020-12-22 11:45:00-05:00,1864.2910499184222,TP,1.9683,984.14
2021-01-05,reversal,SHORT,2021-01-05 09:45:00-05:00,2021-01-05 10:45:00-05:00,1943.83,1952.255857858097,1926.9782842838058,2021-01-05 15:15:00-05:00,1952.255857858097,SL,-1.019,-509.49
2021-01-13,reversal,SHORT,2021-01-13 09:45:00-05:00,2021-01-13 10:30:00-05:00,1852.9,1859.5622412216312,1839.5755175567379,2021-01-13 10:45:00-05:00,1859.5622412216312,SL,-1.024,-512.01
2021-01-27,reversal,SHORT,2021-01-27 10:00:00-05:00,2021-01-27 10:45:00-05:00,1837.16,1845.3064143034421,1820.867171393116,2021-01-27 11:00:00-05:00,1845.3064143034421,SL,-1.0196,-509.82
2021-03-05,reversal,SHORT,2021-03-05 09:45:00-05:00,2021-03-05 10:45:00-05:00,1694.52,1701.6083539570188,1680.3432920859623,2021-03-05 11:00:00-05:00,1701.6083539570188,SL,-1.0226,-511.29
2021-04-15,reversal,LONG,2021-04-15 10:00:00-04:00,2021-04-15 10:30:00-04:00,1753.78,1745.550467611752,1770.2390647764958,2021-04-15 23:45:00-04:00,1761.4,EOD,0.9065,453.25
2021-04-19,reversal,SHORT,2021-04-19 09:45:00-04:00,2021-04-19 10:15:00-04:00,1771.41,1778.9270628056947,1756.3758743886108,2021-04-19 23:45:00-04:00,1768.69,EOD,0.3406,170.28
2021-04-20,reversal,LONG,2021-04-20 10:00:00-04:00,2021-04-20 10:45:00-04:00,1773.54,1765.7207582072604,1789.1784835854792,2021-04-20 23:45:00-04:00,1782.71,EOD,1.1523,576.14
2021-05-25,reversal,LONG,2021-05-25 10:00:00-04:00,2021-05-25 10:45:00-04:00,1884.25,1879.9499378511196,1892.8501242977609,2021-05-25 11:00:00-04:00,1892.8501242977609,TP,1.9628,981.4
2021-07-08,reversal,SHORT,2021-07-08 09:45:00-04:00,2021-07-08 10:45:00-04:00,1808.47,1818.6868966227266,1788.0362067545468,2021-07-08 23:45:00-04:00,1806.41,EOD,0.186,92.98
2021-07-29,reversal,LONG,2021-07-29 09:45:00-04:00,2021-07-29 10:45:00-04:00,1826.98,1823.0103021980012,1834.9193956039976,2021-07-29 23:45:00-04:00,1827.47,EOD,0.0831,41.56
2021-08-17,reversal,LONG,2021-08-17 10:15:00-04:00,2021-08-17 10:45:00-04:00,1789.76,1786.4489904304785,1796.382019139043,2021-08-17 11:00:00-04:00,1786.4489904304785,SL,-1.0483,-524.16
2021-08-19,reversal,SHORT,2021-08-19 10:15:00-04:00,2021-08-19 10:45:00-04:00,1784.04,1791.679645834374,1768.7607083312519,2021-08-19 23:45:00-04:00,1783.83,EOD,0.0065,3.27
2021-09-09,reversal,LONG,2021-09-09 09:45:00-04:00,2021-09-09 10:15:00-04:00,1798.13,1790.8792152961025,1812.6315694077953,2021-09-09 10:45:00-04:00,1790.8792152961025,SL,-1.0221,-511.03
2021-10-07,reversal,LONG,2021-10-07 10:15:00-04:00,2021-10-07 10:45:00-04:00,1758.8,1751.8432425503704,1772.713514899259,2021-10-07 23:45:00-04:00,1759.67,EOD,0.1021,51.03
2021-12-13,reversal,LONG,2021-12-13 09:45:00-05:00,2021-12-13 10:15:00-05:00,1786.53,1781.8638434539891,1795.8623130920216,2021-12-13 23:45:00-05:00,1785.92,EOD,-0.165,-82.51
2021-12-22,reversal,SHORT,2021-12-22 10:00:00-05:00,2021-12-22 10:45:00-05:00,1790.37,1795.0741980873947,1780.9616038252102,2021-12-22 11:45:00-05:00,1795.0741980873947,SL,-1.034,-517.01
2022-01-06,reversal,LONG,2022-01-06 10:00:00-05:00,2022-01-06 10:45:00-05:00,1793.79,1786.7654245561987,1807.8391508876025,2022-01-06 15:00:00-05:00,1786.7654245561987,SL,-1.0228,-511.39
2022-01-10,reversal,LONG,2022-01-10 09:45:00-05:00,2022-01-10 10:45:00-05:00,1794.23,1791.2876357351727,1800.1147285296547,2022-01-10 14:00:00-05:00,1800.1147285296547,TP,1.9456,972.81
2022-01-18,reversal,SHORT,2022-01-18 09:45:00-05:00,2022-01-18 10:15:00-05:00,1816.49,1820.1827019712605,1806.99,2022-01-18 23:45:00-05:00,1811.7,EOD,1.2538,626.91
2022-02-17,reversal,SHORT,2022-02-17 09:45:00-05:00,2022-02-17 10:15:00-05:00,1892.57,1898.1571195016902,1881.3957609966194,2022-02-17 12:45:00-05:00,1898.1571195016902,SL,-1.0286,-514.32
2022-03-30,reversal,LONG,2022-03-30 10:15:00-04:00,2022-03-30 10:45:00-04:00,1931.92,1922.2020379905453,1951.3559240189097,2022-03-30 23:45:00-04:00,1925.01,EOD,-0.7275,-363.76
2022-04-22,reversal,LONG,2022-04-22 10:15:00-04:00,2022-04-22 10:45:00-04:00,1943.17,1930.9003579062612,1967.7092841874778,2022-04-22 12:00:00-04:00,1930.9003579062612,SL,-1.013,-506.52
2022-05-09,reversal,SHORT,2022-05-09 10:15:00-04:00,2022-05-09 10:45:00-04:00,1863.49,1871.8477135936369,1846.7745728127263,2022-05-09 23:45:00-04:00,1860.15,EOD,0.3805,190.24
2022-05-10,reversal,SHORT,2022-05-10 09:45:00-04:00,2022-05-10 10:45:00-04:00,1857.13,1863.7912211230346,1843.8075577539312,2022-05-10 12:45:00-04:00,1843.8075577539312,TP,1.976,987.99
2022-06-06,reversal,SHORT,2022-06-06 09:45:00-04:00,2022-06-06 10:45:00-04:00,1850.43,1854.8003741271914,1841.6892517456174,2022-06-06 13:00:00-04:00,1841.6892517456174,TP,1.9634,981.69
2022-08-19,reversal,SHORT,2022-08-19 10:15:00-04:00,2022-08-19 10:45:00-04:00,1751.61,1758.3844730388082,1738.0610539223833,2022-08-19 17:45:00-04:00,1747.28,EOD,0.6155,307.77
2022-08-26,reversal,LONG,2022-08-26 09:45:00-04:00,2022-08-26 10:15:00-04:00,1750.89,1744.3338028943458,1764.0023942113087,2022-08-26 11:00:00-04:00,1744.3338028943458,SL,-1.0244,-512.2
2022-08-30,reversal,LONG,2022-08-30 09:45:00-04:00,2022-08-30 10:15:00-04:00,1731.55,1727.9086250143596,1738.8327499712807,2022-08-30 11:15:00-04:00,1727.9086250143596,SL,-1.0439,-521.97
2022-08-31,reversal,LONG,2022-08-31 09:45:00-04:00,2022-08-31 10:45:00-04:00,1716.18,1709.5040716476333,1729.5318567047336,2022-08-31 19:15:00-04:00,1709.5040716476333,SL,-1.024,-511.98
2022-09-07,reversal,LONG,2022-09-07 09:45:00-04:00,2022-09-07 10:45:00-04:00,1704.12,1698.7368921840684,1714.8862156318628,2022-09-07 13:45:00-04:00,1714.8862156318628,TP,1.9703,985.14
2022-09-12,reversal,SHORT,2022-09-12 10:00:00-04:00,2022-09-12 10:45:00-04:00,1725.86,1732.9207267024137,1711.7385465951722,2022-09-12 12:45:00-04:00,1732.9207267024137,SL,-1.0227,-511.33
2022-09-15,reversal,SHORT,2022-09-15 09:45:00-04:00,2022-09-15 10:30:00-04:00,1684.0,1692.5775854220828,1666.8448291558343,2022-09-15 11:45:00-04:00,1666.8448291558343,TP,1.9813,990.67
2022-09-22,reversal,SHORT,2022-09-22 09:45:00-04:00,2022-09-22 10:45:00-04:00,1673.37,1685.3436594692732,1649.4226810614532,2022-09-22 23:45:00-04:00,1670.53,EOD,0.2238,111.91
2022-09-28,reversal,LONG,2022-09-28 10:00:00-04:00,2022-09-28 10:30:00-04:00,1646.18,1633.4290399674678,1671.6819200650646,2022-09-28 23:45:00-04:00,1653.45,EOD,0.5576,278.8
2022-09-30,reversal,LONG,2022-09-30 10:00:00-04:00,2022-09-30 10:45:00-04:00,1670.08,1661.9874303174083,1686.2651393651831,2022-09-30 14:30:00-04:00,1661.9874303174083,SL,-1.0198,-509.89
2022-10-14,reversal,SHORT,2022-10-14 10:15:00-04:00,2022-10-14 10:45:00-04:00,1650.6,1659.9734003898502,1631.8531992202993,2022-10-14 17:45:00-04:00,1644.29,EOD,0.6561,328.06
2022-10-17,reversal,SHORT,2022-10-17 09:45:00-04:00,2022-10-17 10:15:00-04:00,1664.18,1668.451071590764,1655.637856818472,2022-10-17 10:30:00-04:00,1668.451071590764,SL,-1.0375,-518.73
2022-11-16,reversal,SHORT,2022-11-16 09:45:00-05:00,2022-11-16 10:45:00-05:00,1775.33,1781.7952431248211,1762.3995137503575,2022-11-16 23:45:00-05:00,1763.92,EOD,1.7401,870.04
2022-11-21,reversal,SHORT,2022-11-21 10:15:00-05:00,2022-11-21 10:45:00-05:00,1741.36,1746.687900326457,1730.7041993470855,2022-11-21 23:45:00-05:00,1744.25,EOD,-0.5725,-286.23
2022-11-28,reversal,SHORT,2022-11-28 09:45:00-05:00,2022-11-28 10:15:00-05:00,1750.22,1757.022774917867,1736.614450164266,2022-11-28 23:45:00-05:00,1750.45,EOD,-0.0573,-28.66
2022-12-27,reversal,SHORT,2022-12-27 09:45:00-05:00,2022-12-27 10:15:00-05:00,1804.42,1808.4873849050587,1796.285230189883,2022-12-27 10:30:00-05:00,1808.4873849050587,SL,-1.0393,-519.67
2023-01-03,reversal,LONG,2023-01-03 10:00:00-05:00,2023-01-03 10:45:00-05:00,1844.9,1836.367503120858,1861.9649937582844,2023-01-03 11:15:00-05:00,1836.367503120858,SL,-1.0188,-509.38
2023-01-10,reversal,LONG,2023-01-10 09:45:00-05:00,2023-01-10 10:15:00-05:00,1877.21,1870.640208373023,1890.3495832539543,2023-01-10 23:45:00-05:00,1877.71,EOD,0.0518,25.88
2023-03-03,reversal,SHORT,2023-03-03 09:45:00-05:00,2023-03-03 10:30:00-05:00,1843.81,1848.2136228486202,1835.0027543027595,2023-03-03 12:45:00-05:00,1848.2136228486202,SL,-1.0363,-518.17
2023-03-07,reversal,SHORT,2023-03-07 09:45:00-05:00,2023-03-07 10:45:00-05:00,1831.59,1837.5918245376436,1819.5863509247126,2023-03-07 11:45:00-05:00,1819.5863509247126,TP,1.9733,986.67
2023-03-23,reversal,LONG,2023-03-23 09:45:00-04:00,2023-03-23 10:30:00-04:00,1976.03,1966.168831724727,1995.752336550546,2023-03-23 14:30:00-04:00,1995.752336550546,TP,1.9838,991.89
2023-04-05,reversal,SHORT,2023-04-05 09:45:00-04:00,2023-04-05 10:30:00-04:00,2025.72,2032.556654758137,2012.046690483726,2023-04-05 11:30:00-04:00,2012.046690483726,TP,1.9766,988.3
2023-05-29,reversal,SHORT,2023-05-29 10:15:00-04:00,2023-05-29 10:45:00-04:00,1946.61,1948.3801475132575,1943.0697049734847,2023-05-29 14:00:00-04:00,1943.0697049734847,TP,1.9096,954.81
2023-06-06,reversal,SHORT,2023-06-06 10:15:00-04:00,2023-06-06 10:45:00-04:00,1957.27,1964.5889939202893,1942.6320121594213,2023-06-06 13:00:00-04:00,1964.5889939202893,SL,-1.0219,-510.93
2023-07-05,reversal,SHORT,2023-07-05 09:45:00-04:00,2023-07-05 10:45:00-04:00,1925.18,1930.4099645461033,1914.7200709077936,2023-07-05 23:45:00-04:00,1918.74,EOD,1.2008,600.39
2023-07-07,reversal,LONG,2023-07-07 09:45:00-04:00,2023-07-07 10:45:00-04:00,1923.26,1918.0733620653696,1933.6332758692608,2023-07-07 11:45:00-04:00,1933.6332758692608,TP,1.9692,984.58
2023-07-10,reversal,LONG,2023-07-10 10:00:00-04:00,2023-07-10 10:30:00-04:00,1920.54,1913.7146223930001,1934.1907552139996,2023-07-10 23:45:00-04:00,1927.76,EOD,1.0344,517.19
2023-07-24,reversal,SHORT,2023-07-24 09:45:00-04:00,2023-07-24 10:30:00-04:00,1963.16,1967.892721716364,1953.6945565672725,2023-07-24 16:00:00-04:00,1953.6945565672725,TP,1.9662,983.1
2023-08-14,reversal,SHORT,2023-08-14 09:45:00-04:00,2023-08-14 10:30:00-04:00,1905.91,1912.3906407236336,1892.948718552733,2023-08-14 13:00:00-04:00,1912.3906407236336,SL,-1.0247,-512.34
2023-08-17,reversal,SHORT,2023-08-17 10:00:00-04:00,2023-08-17 10:45:00-04:00,1895.96,1902.9138466846898,1882.0523066306205,2023-08-17 23:45:00-04:00,1893.23,EOD,0.3696,184.79
2023-08-23,reversal,LONG,2023-08-23 10:00:00-04:00,2023-08-23 10:30:00-04:00,1909.27,1902.7259404807414,1922.358119038517,2023-08-23 23:45:00-04:00,1919.95,EOD,1.6076,803.78
2023-09-25,reversal,SHORT,2023-09-25 09:45:00-04:00,2023-09-25 10:15:00-04:00,1923.41,1926.9787934618419,1916.2724130763165,2023-09-25 11:15:00-04:00,1916.2724130763165,TP,1.9552,977.58
2023-09-26,reversal,SHORT,2023-09-26 09:45:00-04:00,2023-09-26 10:15:00-04:00,1906.31,1911.514899235083,1895.9002015298338,2023-09-26 23:45:00-04:00,1900.86,EOD,1.0164,508.18
2023-10-03,reversal,LONG,2023-10-03 10:00:00-04:00,2023-10-03 10:45:00-04:00,1828.92,1823.8949333340047,1838.9701333319908,2023-10-03 11:00:00-04:00,1823.8949333340047,SL,-1.0318,-515.92
2023-10-04,reversal,SHORT,2023-10-04 09:45:00-04:00,2023-10-04 10:30:00-04:00,1823.03,1829.5080604569393,1810.0738790861212,2023-10-04 23:45:00-04:00,1826.19,EOD,-0.5125,-256.25
2023-11-02,reversal,SHORT,2023-11-02 10:00:00-04:00,2023-11-02 10:30:00-04:00,1985.26,1991.3054951314502,1973.1690097370995,2023-11-02 23:45:00-04:00,1987.39,EOD,-0.3788,-189.4
2023-12-07,reversal,SHORT,2023-12-07 09:45:00-05:00,2023-12-07 10:15:00-05:00,2033.18,2040.216333072019,2019.107333855962,2023-12-07 23:45:00-05:00,2032.4,EOD,0.0881,44.06
2024-01-08,reversal,LONG,2024-01-08 10:00:00-05:00,2024-01-08 10:45:00-05:00,2026.33,2018.4483835644467,2042.0932328711065,2024-01-08 23:45:00-05:00,2033.57,EOD,0.8983,449.15
2024-03-01,reversal,LONG,2024-03-01 09:45:00-05:00,2024-03-01 10:15:00-05:00,2054.87,2050.330057817023,2063.949884365954,2024-03-01 10:45:00-05:00,2050.330057817023,SL,-1.0352,-517.62
2024-03-11,reversal,LONG,2024-03-11 09:45:00-04:00,2024-03-11 10:45:00-04:00,2181.85,2176.045251503754,2193.4594969924915,2024-03-11 11:00:00-04:00,2176.045251503754,SL,-1.0276,-513.78
2024-03-19,reversal,SHORT,2024-03-19 09:45:00-04:00,2024-03-19 10:45:00-04:00,2151.25,2158.891598124618,2135.9668037507636,2024-03-19 19:15:00-04:00,2158.891598124618,SL,-1.0209,-510.47
2024-03-21,reversal,SHORT,2024-03-21 09:45:00-04:00,2024-03-21 10:15:00-04:00,2202.19,2208.8704637875503,2188.8290724248996,2024-03-21 11:00:00-04:00,2188.8290724248996,TP,1.976,988.02
2024-03-27,reversal,LONG,2024-03-27 10:00:00-04:00,2024-03-27 10:45:00-04:00,2193.25,2183.127486595946,2213.4950268081084,2024-03-27 23:45:00-04:00,2194.78,EOD,0.1353,67.67
2024-04-12,reversal,LONG,2024-04-12 09:45:00-04:00,2024-04-12 10:45:00-04:00,2404.22,2391.7303025291403,2429.1993949417188,2024-04-12 12:00:00-04:00,2429.1993949417188,TP,1.9872,993.59
2024-04-30,reversal,LONG,2024-04-30 10:00:00-04:00,2024-04-30 10:45:00-04:00,2306.74,2302.71358965,2314.7928206999995,2024-04-30 11:00:00-04:00,2302.71358965,SL,-1.0397,-519.87
2024-05-09,reversal,SHORT,2024-05-09 09:45:00-04:00,2024-05-09 10:15:00-04:00,2317.59,2329.748288347846,2293.2734233043084,2024-05-09 11:00:00-04:00,2329.748288347846,SL,-1.0132,-506.58
2024-05-13,reversal,SHORT,2024-05-13 09:45:00-04:00,2024-05-13 10:45:00-04:00,2344.03,2348.538767154479,2335.0124656910425,2024-05-13 12:00:00-04:00,2335.0124656910425,TP,1.9645,982.26
2024-05-28,reversal,LONG,2024-05-28 10:00:00-04:00,2024-05-28 10:30:00-04:00,2357.84,2351.986459978538,2369.547080042925,2024-05-28 11:00:00-04:00,2351.986459978538,SL,-1.0273,-513.67
2024-06-06,reversal,LONG,2024-06-06 09:45:00-04:00,2024-06-06 10:30:00-04:00,2364.74,2354.963071358976,2384.2938572820476,2024-06-06 23:45:00-04:00,2376.64,EOD,1.2008,600.39
2024-06-07,reversal,SHORT,2024-06-07 10:00:00-04:00,2024-06-07 10:45:00-04:00,2309.55,2326.915133168356,2274.8197336632884,2024-06-07 17:45:00-04:00,2293.38,EOD,0.922,460.98
2024-06-17,reversal,SHORT,2024-06-17 09:45:00-04:00,2024-06-17 10:45:00-04:00,2320.81,2321.432902621128,2316.89,2024-06-17 11:15:00-04:00,2321.432902621128,SL,-1.2569,-628.43
2024-06-28,reversal,SHORT,2024-06-28 10:00:00-04:00,2024-06-28 10:30:00-04:00,2330.91,2340.0589833114323,2312.612033377135,2024-06-28 17:45:00-04:00,2326.4,EOD,0.4755,237.73
