day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2022-12-01,reversal,SHORT,2022-12-01 10:00:00-05:00,2022-12-01 10:30:00-05:00,1798.63,1804.3313195064325,1787.2273609871354,2022-12-01 18:15:00-05:00,1804.3313195064325,SL,-1.0684,-534.2
2022-12-09,reversal,LONG,2022-12-09 09:45:00-05:00,2022-12-09 10:45:00-05:00,1794.84,1795.1255703811353,1795.4111407622706,2022-12-09 11:00:00-05:00,1795.4111407622706,TP,0.6343,317.16
2022-12-12,reversal,SHORT,2022-12-12 09:45:00-05:00,2022-12-12 10:45:00-05:00,1786.43,1790.1143510314566,1779.061297937087,2022-12-12 14:00:00-05:00,1779.061297937087,TP,1.8941,947.07
2022-12-19,reversal,SHORT,2022-12-19 10:00:00-05:00,2022-12-19 10:45:00-05:00,1789.88,1792.7337461884297,1784.172507623141,2022-12-19 11:00:00-05:00,1784.172507623141,TP,1.8633,931.67
2023-01-03,reversal,SHORT,2023-01-03 09:45:00-05:00,2023-01-03 10:15:00-05:00,1840.01,1850.1977439457123,1819.6345121085753,2023-01-03 23:45:00-05:00,1846.59,EOD,-0.6842,-342.08
2023-01-23,reversal,LONG,2023-01-23 09:45:00-05:00,2023-01-23 10:30:00-05:00,1917.51,1912.905391766663,1926.7192164666742,2023-01-23 13:00:00-05:00,1926.7192164666742,TP,1.9153,957.65
2023-01-24,reversal,LONG,2023-01-24 10:15:00-05:00,2023-01-24 10:45:00-05:00,1933.46,1926.5462555045176,1947.287488990965,2023-01-24 23:45:00-05:00,1928.51,EOD,-0.7724,-386.19
2023-02-07,reversal,LONG,2023-02-07 10:00:00-05:00,2023-02-07 10:45:00-05:00,1873.29,1866.862110158322,1886.145779683356,2023-02-07 13:45:00-05:00,1866.862110158322,SL,-1.0607,-530.34
2023-02-20,reversal,SHORT,2023-02-20 09:45:00-05:00,2023-02-20 10:30:00-05:00,1843.32,1847.1195865643733,1835.7208268712532,2023-02-20 23:45:00-05:00,1839.12,EOD,1.0027,501.37
2023-03-23,reversal,LONG,2023-03-23 09:45:00-04:00,2023-03-23 10:30:00-04:00,1975.17,1966.1318327236054,1993.2463345527894,2023-03-23 13:30:00-04:00,1993.2463345527894,TP,1.9568,978.42
