entry_time,direction,entry_price,stop,target,exit_reason,r_multiple_net
2020-01-02 10:30:00-05:00,BUY,1528.84,1525.56599,1535.38801,SL,-1.1191
2020-01-09 10:30:00-05:00,SELL,1548.55,1552.78468,1540.08065,SL,-1.0921
2020-01-17 10:15:00-05:00,SELL,1556.54,1558.96271,1551.69457,SL,-1.161
2020-01-22 10:15:00-05:00,SELL,1556.06,1558.92637,1550.32725,SL,-1.1361
2020-01-23 10:15:00-05:00,SELL,1561.75,1564.94078,1555.36844,SL,-1.1222
2020-02-05 10:30:00-05:00,BUY,1556.35,1552.64033,1563.76934,SL,-1.1051
2020-03-06 10:30:00-05:00,SELL,1660.94,1686.54346,1609.73308,SL,-1.0152
2020-03-11 10:45:00-04:00,SELL,1655.87,1663.31414,1640.98171,TP,1.9476
2020-03-16 10:45:00-04:00,BUY,1479.65,1449.98812,1538.97377,TP,1.9869
2020-04-08 10:15:00-04:00,SELL,1650.18,1657.29969,1635.94061,SL,-1.0548
2020-05-04 10:45:00-04:00,SELL,1704.12,1710.56152,1691.23695,TP,1.9395
2020-05-06 10:15:00-04:00,SELL,1692.52,1698.44294,1680.67412,SL,-1.0658
2020-05-19 10:30:00-04:00,BUY,1741.69,1737.43695,1750.1961,TP,1.9083
2020-06-11 10:15:00-04:00,BUY,1740.44,1734.22923,1752.86155,SL,-1.0628
2020-06-22 10:45:00-04:00,SELL,1757.52,1762.12318,1748.31363,TP,1.9153
2020-07-17 10:45:00-04:00,BUY,1808.65,1804.91792,1816.11416,TP,1.8955
2020-07-29 10:45:00-04:00,BUY,1953.85,1940.91849,1979.71301,TP,1.9698
2020-07-30 10:30:00-04:00,SELL,1949.67,1962.31385,1924.38231,SL,-1.0308
2020-08-31 10:45:00-04:00,SELL,1968.04,1972.51424,1959.09152,SL,-1.0872
2020-09-08 10:15:00-04:00,BUY,1917.2,1905.90118,1939.79763,TP,1.9655
2020-09-18 10:30:00-04:00,BUY,1951.98,1945.53946,1964.86108,SL,-1.0606
