day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2024-09-16,reversal,LONG,2024-09-16 09:35:00-04:00,2024-09-16 09:50:00-04:00,2585.7,2581.3492913906857,2594.401417218628,2024-09-16 10:05:00-04:00,2581.3492913906857,SL,-1.0,-500.0
2024-09-19,reversal,SHORT,2024-09-19 09:35:00-04:00,2024-09-19 09:45:00-04:00,2575.72,2581.4926323715526,2564.174735256894,2024-09-19 10:30:00-04:00,2581.4926323715526,SL,-1.0,-500.0
2024-09-24,reversal,LONG,2024-09-24 09:45:00-04:00,2024-09-24 09:55:00-04:00,2635.18,2631.3499130029327,2642.840173994134,2024-09-24 10:40:00-04:00,2642.840173994134,TP,2.0,1000.0
2024-10-16,reversal,SHORT,2024-10-16 09:35:00-04:00,2024-10-16 09:50:00-04:00,2680.33,2685.4878648763365,2670.0142702473267,2024-10-16 11:00:00-04:00,2670.0142702473267,TP,2.0,1000.0
2024-10-17,reversal,LONG,2024-10-17 09:35:00-04:00,2024-10-17 09:45:00-04:00,2685.85,2680.9362851560277,2695.6774296879444,2024-10-17 10:45:00-04:00,2695.6774296879444,TP,2.0,1000.0
2024-10-30,reversal,LONG,2024-10-30 09:35:00-04:00,2024-10-30 09:55:00-04:00,2776.2,2770.549926981408,2787.500146037183,2024-10-30 13:20:00-04:00,2787.500146037183,TP,2.0,1000.0
2024-11-05,reversal,SHORT,2024-11-05 09:35:00-05:00,2024-11-05 09:45:00-05:00,2745.16,2750.1013434718398,2735.27731305632,2024-11-05 10:20:00-05:00,2735.27731305632,TP,2.0,1000.0
2024-11-21,reversal,SHORT,2024-11-21 09:35:00-05:00,2024-11-21 09:45:00-05:00,2667.9,2671.2491519920977,2661.201696015805,2024-11-21 12:50:00-05:00,2671.2491519920977,SL,-1.0,-500.0
2024-11-27,reversal,SHORT,2024-11-27 09:35:00-05:00,2024-11-27 09:55:00-05:00,2652.52,2655.383426445075,2646.7931471098495,2024-11-27 10:00:00-05:00,2646.7931471098495,TP,2.0,1000.0
2024-12-12,reversal,LONG,2024-12-12 09:35:00-05:00,2024-12-12 09:50:00-05:00,2686.94,2680.4407300081057,2699.938539983789,2024-12-12 10:35:00-05:00,2680.4407300081057,SL,-1.0,-500.0
2024-12-20,reversal,LONG,2024-12-20 09:35:00-05:00,2024-12-20 09:55:00-05:00,2616.13,2613.5300544026204,2621.3298911947595,2024-12-20 10:10:00-05:00,2621.3298911947595,TP,2.0,1000.0
2025-01-13,reversal,LONG,2025-01-13 09:40:00-05:00,2025-01-13 09:50:00-05:00,2671.88,2663.8276008788507,2687.984798242299,2025-01-13 10:55:00-05:00,2663.8276008788507,SL,-1.0,-500.0
2025-01-14,reversal,LONG,2025-01-14 09:35:00-05:00,2025-01-14 09:55:00-05:00,2664.47,2660.110126345621,2673.189747308757,2025-01-14 11:15:00-05:00,2673.189747308757,TP,2.0,1000.0
2025-01-22,reversal,LONG,2025-01-22 09:35:00-05:00,2025-01-22 09:50:00-05:00,2755.44,2749.9861561044854,2766.3476877910293,2025-01-22 22:25:00-05:00,2749.9861561044854,SL,-1.0,-500.0
2025-02-25,reversal,SHORT,2025-02-25 09:35:00-05:00,2025-02-25 09:45:00-05:00,2939.91,2945.122637960802,2929.4847240783956,2025-02-25 10:05:00-05:00,2929.4847240783956,TP,2.0,1000.0
2025-03-12,reversal,LONG,2025-03-12 09:35:00-04:00,2025-03-12 09:50:00-04:00,2914.86,2909.5077966483636,2925.564406703273,2025-03-12 11:10:00-04:00,2925.564406703273,TP,2.0,1000.0
2025-04-17,reversal,SHORT,2025-04-17 09:45:00-04:00,2025-04-17 09:55:00-04:00,3318.49,3330.1842893070398,3295.10142138592,2025-04-17 10:30:00-04:00,3295.10142138592,TP,2.0,1000.0
2025-04-29,reversal,SHORT,2025-04-29 09:40:00-04:00,2025-04-29 09:50:00-04:00,3307.29,3321.0931961834503,3279.683607633099,2025-04-29 12:35:00-04:00,3321.0931961834503,SL,-1.0,-500.0
2025-05-12,reversal,LONG,2025-05-12 09:35:00-04:00,2025-05-12 09:45:00-04:00,3240.76,3231.276595432759,3259.726809134482,2025-05-12 12:10:00-04:00,3231.276595432759,SL,-1.0,-500.0
2025-05-21,reversal,SHORT,2025-05-21 09:35:00-04:00,2025-05-21 09:50:00-04:00,3301.37,3310.0540640351715,3284.0018719296568,2025-05-21 11:05:00-04:00,3310.0540640351715,SL,-1.0,-500.0
