day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2022-12-05,reversal,SHORT,2022-12-05 09:35:00-05:00,2022-12-05 09:50:00-05:00,1786.68,1791.6807656008473,1776.6784687983056,2022-12-05 10:05:00-05:00,1776.6784687983056,TP,2.0,1000.0
2022-12-12,reversal,LONG,2022-12-12 09:40:00-05:00,2022-12-12 09:50:00-05:00,1788.67,1785.3400568807187,1795.3298862385627,2022-12-12 10:35:00-05:00,1785.3400568807187,SL,-1.0,-500.0
2022-12-13,reversal,LONG,2022-12-13 09:35:00-05:00,2022-12-13 09:55:00-05:00,1821.93,1814.7195168879603,1836.3509662240797,2022-12-13 10:25:00-05:00,1814.7195168879603,SL,-1.0,-500.0
2022-12-16,reversal,LONG,2022-12-16 09:40:00-05:00,2022-12-16 09:50:00-05:00,1787.11,1781.9095690536262,1797.5108618927472,2022-12-16 16:55:00-05:00,1792.91,EOD,1.1153,557.65
2023-01-06,reversal,SHORT,2023-01-06 09:35:00-05:00,2023-01-06 09:45:00-05:00,1842.94,1849.209523410112,1830.400953179776,2023-01-06 10:00:00-05:00,1849.209523410112,SL,-1.0,-500.0
2023-02-23,reversal,LONG,2023-02-23 09:35:00-05:00,2023-02-23 09:50:00-05:00,1827.0,1822.8386191872298,1835.3227616255404,2023-02-23 10:30:00-05:00,1822.8386191872298,SL,-1.0,-500.0
2023-02-24,reversal,LONG,2023-02-24 09:45:00-05:00,2023-02-24 09:55:00-05:00,1812.82,1808.7087491789653,1821.0425016420693,2023-02-24 16:55:00-05:00,1809.54,EOD,-0.7978,-398.91
2023-04-04,reversal,LONG,2023-04-04 09:35:00-04:00,2023-04-04 09:45:00-04:00,1991.11,1986.5269653944795,2000.2760692110407,2023-04-04 10:00:00-04:00,2000.2760692110407,TP,2.0,1000.0
2023-04-11,reversal,LONG,2023-04-11 09:45:00-04:00,2023-04-11 09:55:00-04:00,2000.91,1998.0786698903596,2006.572660219281,2023-04-11 15:30:00-04:00,2006.572660219281,TP,2.0,1000.0
2023-05-10,reversal,LONG,2023-05-10 09:35:00-04:00,2023-05-10 09:50:00-04:00,2037.54,2031.5134457057231,2049.5931085885536,2023-05-10 10:35:00-04:00,2031.5134457057231,SL,-1.0,-500.0
2023-05-26,reversal,SHORT,2023-05-26 09:45:00-04:00,2023-05-26 09:55:00-04:00,1947.15,1950.2485160851832,1940.952967829634,2023-05-26 10:05:00-04:00,1950.2485160851832,SL,-1.0,-500.0
